Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4479,0.7947,0.4927,0.7690,0.7871,0.7690,0.7713,0.8285,0.7293
2,0.4208,0.8076,0.4737,0.7823,0.7955,0.7823,0.7843,0.8233,0.7548
3,0.4112,0.8112,0.4894,0.7755,0.7915,0.7755,0.7777,0.8278,0.7406
4,0.4039,0.8142,0.4888,0.7835,0.7943,0.7835,0.7854,0.8130,0.7638
5,0.3971,0.8170,0.4874,0.7778,0.7907,0.7778,0.7799,0.8160,0.7523
6,0.3915,0.8194,0.5138,0.7738,0.7910,0.7738,0.7761,0.8307,0.7359
7,0.3866,0.8214,0.5082,0.7762,0.7897,0.7762,0.7784,0.8169,0.7490
8,0.3829,0.8234,0.5152,0.7764,0.7889,0.7764,0.7785,0.8125,0.7522
9,0.3673,0.8302,0.5249,0.7716,0.7830,0.7716,0.7737,0.8005,0.7524
10,0.3582,0.8340,0.5383,0.7726,0.7850,0.7726,0.7747,0.8068,0.7498
11,0.3516,0.8370,0.5417,0.7692,0.7762,0.7692,0.7709,0.7722,0.7671
12,0.3454,0.8407,0.5606,0.7622,0.7754,0.7622,0.7645,0.7977,0.7385
