Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6122,0.5402,0.6988,0.4248,0.5955,0.4248,0.3173,0.0658,0.0896,0.9461
2,0.5923,0.5638,0.6999,0.4297,0.6131,0.4297,0.3241,0.0827,0.0950,0.9503
3,0.5805,0.5788,0.6833,0.4734,0.6222,0.4734,0.4165,0.1299,0.2006,0.8975
4,0.5732,0.5860,0.6857,0.4733,0.6234,0.4733,0.4158,0.1310,0.1993,0.8993
5,0.5696,0.5888,0.6913,0.4762,0.6208,0.4762,0.4225,0.1307,0.2090,0.8915
6,0.5677,0.5898,0.7044,0.4754,0.6139,0.4754,0.4241,0.1234,0.2134,0.8828
7,0.5650,0.5934,0.6878,0.4905,0.6174,0.4905,0.4511,0.1379,0.2506,0.8637
8,0.5619,0.5966,0.6959,0.4762,0.6183,0.4762,0.4237,0.1284,0.2115,0.8879
9,0.5602,0.6008,0.7023,0.4821,0.6163,0.4821,0.4358,0.1307,0.2289,0.8757
10,0.5586,0.6028,0.6837,0.5071,0.6220,0.5071,0.4783,0.1541,0.2903,0.8441
11,0.5567,0.6062,0.6924,0.4729,0.6173,0.4729,0.4176,0.1249,0.2036,0.8917
12,0.5542,0.6100,0.6980,0.5038,0.6197,0.5038,0.4737,0.1493,0.2842,0.8452
13,0.5526,0.6118,0.7024,0.4999,0.6171,0.4999,0.4680,0.1439,0.2765,0.8472
14,0.5510,0.6139,0.7051,0.4885,0.6176,0.4885,0.4473,0.1366,0.2449,0.8673
15,0.5446,0.6215,0.7038,0.5000,0.6129,0.5000,0.4700,0.1392,0.2822,0.8387
16,0.5436,0.6236,0.7019,0.4965,0.6126,0.4965,0.4640,0.1365,0.2727,0.8444
17,0.5412,0.6272,0.7056,0.4872,0.6101,0.4872,0.4483,0.1277,0.2498,0.8565
18,0.5391,0.6301,0.7066,0.4947,0.6080,0.4947,0.4629,0.1302,0.2735,0.8387
19,0.5355,0.6338,0.7013,0.5060,0.6160,0.5060,0.4791,0.1465,0.2952,0.8339
20,0.5342,0.6358,0.7076,0.5063,0.6116,0.5063,0.4815,0.1415,0.3020,0.8240
21,0.5341,0.6364,0.7076,0.5045,0.6135,0.5045,0.4776,0.1427,0.2942,0.8315
22,0.5311,0.6395,0.7123,0.4961,0.6093,0.4961,0.4649,0.1326,0.2760,0.8385
23,0.5282,0.6422,0.7088,0.5079,0.6104,0.5079,0.4847,0.1411,0.3084,0.8182
24,0.5296,0.6413,0.7160,0.5085,0.6108,0.5085,0.4855,0.1419,0.3095,0.8180
25,0.5280,0.6435,0.7146,0.5006,0.6094,0.5006,0.4727,0.1355,0.2886,0.8303
