Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4510,0.7893,0.5284,0.7301,0.7877,0.7301,0.7304,0.9053,0.6132
2,0.4221,0.8030,0.5398,0.6218,0.6167,0.6218,0.5484,0.1582,0.9314
3,0.4105,0.8079,0.5993,0.7297,0.7902,0.7297,0.7297,0.9117,0.6081
4,0.4017,0.8112,0.4901,0.7457,0.7507,0.7457,0.7330,0.5162,0.8989
5,0.3938,0.8144,1.8862,0.6240,0.7790,0.6240,0.6030,0.9720,0.3916
6,0.3868,0.8169,1.2841,0.6900,0.7812,0.6900,0.6853,0.9342,0.5269
7,0.3795,0.8195,5.4066,0.5562,0.7640,0.5562,0.5099,0.9820,0.2718
8,0.3721,0.8221,0.7258,0.7309,0.7828,0.7309,0.7317,0.8922,0.6231
9,0.3541,0.8291,0.7026,0.7452,0.7851,0.7452,0.7470,0.8756,0.6581
10,0.3459,0.8324,16.3468,0.4559,0.7489,0.4559,0.3425,0.9950,0.0958
11,0.3386,0.8357,1.0404,0.7355,0.7762,0.7355,0.7372,0.8672,0.6475
12,0.3320,0.8390,1.0022,0.6066,0.5922,0.6066,0.4993,0.0735,0.9626
13,0.3246,0.8427,0.6792,0.7738,0.7810,0.7738,0.7755,0.7794,0.7700
14,0.3182,0.8460,2.5096,0.6533,0.7710,0.6533,0.6422,0.9456,0.4581
15,0.3114,0.8494,3.8914,0.6128,0.7503,0.6128,0.5936,0.9430,0.3923
16,0.3048,0.8529,0.5591,0.7682,0.7831,0.7682,0.7704,0.8136,0.7378
17,0.2982,0.8567,0.6121,0.7725,0.7714,0.7725,0.7718,0.6997,0.8211
18,0.2808,0.8653,2.8296,0.6784,0.7713,0.6784,0.6729,0.9268,0.5124
19,0.2756,0.8682,1.0396,0.7461,0.7732,0.7461,0.7485,0.8355,0.6864
20,0.2711,0.8704,0.7135,0.7741,0.7801,0.7741,0.7756,0.7719,0.7755
21,0.2671,0.8728,1.7940,0.7014,0.7703,0.7014,0.7000,0.9014,0.5677
22,0.2634,0.8749,2.4915,0.6928,0.7698,0.6928,0.6902,0.9099,0.5477
23,0.2600,0.8768,3.4379,0.6678,0.7653,0.6678,0.6611,0.9253,0.4958
24,0.2566,0.8787,2.1344,0.6688,0.7654,0.6688,0.6624,0.9245,0.4981
