Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4565,0.7866,0.4573,0.7790,0.7896,0.7790,0.7810,0.8058,0.7611
2,0.4244,0.8025,0.4471,0.7854,0.7862,0.7854,0.7858,0.7418,0.8146
3,0.4132,0.8065,0.4557,0.7839,0.7898,0.7839,0.7854,0.7841,0.7838
4,0.4058,0.8090,0.4547,0.7885,0.7921,0.7885,0.7896,0.7734,0.7985
5,0.3993,0.8117,0.4497,0.7833,0.7841,0.7833,0.7837,0.7393,0.8127
6,0.3935,0.8140,0.4779,0.7831,0.7905,0.7831,0.7847,0.7930,0.7764
7,0.3876,0.8159,0.4713,0.7811,0.7836,0.7811,0.7819,0.7543,0.7989
8,0.3817,0.8182,0.4709,0.7805,0.7831,0.7805,0.7814,0.7536,0.7986
9,0.3690,0.8228,0.4854,0.7768,0.7814,0.7768,0.7781,0.7651,0.7846
10,0.3634,0.8253,0.4897,0.7771,0.7822,0.7771,0.7785,0.7695,0.7822
11,0.3589,0.8276,0.4962,0.7761,0.7770,0.7761,0.7765,0.7311,0.8062
12,0.3546,0.8300,0.5070,0.7765,0.7811,0.7765,0.7778,0.7652,0.7840
