Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6141,0.5370,0.6961,0.4282,0.5979,0.4282,0.3252,0.0708,0.0977,0.9421
2,0.5974,0.5581,0.6934,0.4766,0.6201,0.4766,0.4238,0.1304,0.2109,0.8898
3,0.5856,0.5725,0.6994,0.4497,0.6319,0.4497,0.3641,0.1169,0.1354,0.9385
4,0.5821,0.5747,0.6915,0.4417,0.6314,0.4417,0.3466,0.1082,0.1165,0.9474
5,0.5766,0.5784,0.6832,0.4523,0.6261,0.4523,0.3717,0.1150,0.1449,0.9304
6,0.5738,0.5812,0.6889,0.4529,0.6273,0.4529,0.3724,0.1165,0.1455,0.9308
7,0.5689,0.5855,0.6881,0.4735,0.6209,0.4735,0.4173,0.1288,0.2021,0.8956
8,0.5675,0.5862,0.6804,0.4932,0.6219,0.4932,0.4540,0.1445,0.2528,0.8669
9,0.5657,0.5867,0.6922,0.4603,0.6233,0.4603,0.3895,0.1200,0.1664,0.9172
10,0.5656,0.5842,0.6930,0.4493,0.6213,0.4493,0.3667,0.1084,0.1401,0.9301
11,0.5626,0.5904,0.6949,0.4611,0.6224,0.4611,0.3916,0.1199,0.1692,0.9151
12,0.5640,0.5896,0.6838,0.4699,0.6192,0.4699,0.4108,0.1244,0.1941,0.8988
13,0.5605,0.5899,0.6950,0.4630,0.6209,0.4630,0.3961,0.1203,0.1750,0.9108
14,0.5605,0.5894,0.6950,0.4632,0.6199,0.4632,0.3969,0.1196,0.1763,0.9094
15,0.5593,0.5919,0.6915,0.4689,0.6206,0.4689,0.4082,0.1248,0.1903,0.9020
16,0.5594,0.5934,0.6918,0.4697,0.6160,0.4697,0.4118,0.1212,0.1963,0.8949
17,0.5584,0.5959,0.6858,0.4829,0.6155,0.4829,0.4377,0.1305,0.2319,0.8731
18,0.5580,0.5970,0.7046,0.4661,0.6141,0.4661,0.4053,0.1166,0.1884,0.8980
19,0.5577,0.5998,0.6947,0.4844,0.6181,0.4844,0.4394,0.1342,0.2333,0.8748
20,0.5566,0.5987,0.6940,0.4637,0.6151,0.4637,0.4000,0.1156,0.1813,0.9029
21,0.5564,0.5994,0.6937,0.4841,0.6149,0.4841,0.4403,0.1308,0.2358,0.8702
22,0.5556,0.6019,0.6966,0.4792,0.6155,0.4792,0.4308,0.1278,0.2221,0.8791
23,0.5562,0.6019,0.6948,0.4738,0.6114,0.4738,0.4220,0.1198,0.2115,0.8818
