Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.1264,0.5357,0.2987,0.4539,0.7568,0.4539,0.3376,0.9972,0.0910
2,0.1160,0.5706,0.3131,0.4814,0.7601,0.4814,0.3878,0.9951,0.1382
3,0.1142,0.5784,0.3326,0.4625,0.7562,0.4625,0.3540,0.9961,0.1061
4,0.1126,0.5845,0.3738,0.4842,0.7575,0.4842,0.3933,0.9937,0.1440
5,0.1129,0.5896,0.3206,0.4679,0.7572,0.4679,0.3640,0.9958,0.1154
6,0.1121,0.5905,0.3576,0.4811,0.7583,0.4811,0.3877,0.9945,0.1383
7,0.1127,0.5903,0.3149,0.5027,0.7626,0.5027,0.4245,0.9931,0.1753
8,0.1164,0.5827,0.3251,0.4752,0.7568,0.4752,0.3773,0.9947,0.1283
9,0.1125,0.5867,0.3164,0.4848,0.7603,0.4848,0.3938,0.9947,0.1442
10,0.1121,0.5880,0.3634,0.4798,0.7597,0.4798,0.3851,0.9952,0.1357
11,0.1123,0.5861,0.3514,0.4817,0.7582,0.4817,0.3886,0.9944,0.1393
12,0.1090,0.5978,0.3572,0.4749,0.7568,0.4749,0.3767,0.9948,0.1277
13,0.1086,0.5991,0.3475,0.4800,0.7584,0.4800,0.3856,0.9947,0.1363
14,0.1084,0.6002,0.6006,0.4910,0.7593,0.4910,0.4049,0.9934,0.1555
15,0.1085,0.5995,0.5745,0.4793,0.7569,0.4793,0.3847,0.9942,0.1355
