Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6896,0.5018,0.7023,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6409,0.4998,0.7173,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
3,0.6405,0.4997,0.7198,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
4,0.6403,0.4996,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
5,0.6404,0.4994,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
6,0.6379,0.5026,0.6856,0.4571,0.5877,0.4571,0.3986,0.0845,0.1874,0.8764
7,0.6187,0.5524,0.6957,0.4496,0.5831,0.4496,0.3841,0.0751,0.1695,0.8852
8,0.6090,0.5614,0.7033,0.4348,0.5905,0.4348,0.3447,0.0710,0.1201,0.9241
9,0.6006,0.5681,0.7019,0.4480,0.5909,0.4480,0.3763,0.0815,0.1576,0.8995
10,0.5940,0.5731,0.7005,0.4683,0.5888,0.4683,0.4219,0.0926,0.2199,0.8546
11,0.5912,0.5794,0.6994,0.4706,0.5919,0.4706,0.4248,0.0973,0.2229,0.8557
12,0.5907,0.5812,0.7024,0.4547,0.5890,0.4547,0.3926,0.0842,0.1790,0.8834
13,0.5876,0.5843,0.6938,0.4867,0.5943,0.4867,0.4549,0.1094,0.2684,0.8261
14,0.5863,0.5869,0.6902,0.4911,0.5966,0.4911,0.4618,0.1146,0.2784,0.8217
15,0.5848,0.5894,0.7055,0.4557,0.5921,0.4557,0.3933,0.0879,0.1790,0.8860
16,0.5835,0.5900,0.7006,0.4903,0.5971,0.4903,0.4601,0.1148,0.2752,0.8246
17,0.5821,0.5932,0.7073,0.4601,0.5939,0.4601,0.4019,0.0927,0.1899,0.8802
