Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.1239,0.5528,0.2832,0.4919,0.7606,0.4919,0.4063,0.9938,0.1567
2,0.1185,0.5709,0.3091,0.5069,0.7628,0.5069,0.4314,0.9925,0.1825
3,0.1160,0.5826,0.3145,0.5245,0.7644,0.5245,0.4603,0.9901,0.2136
4,0.1139,0.5932,0.3069,0.5062,0.7622,0.5062,0.4304,0.9923,0.1816
5,0.1115,0.6064,0.3385,0.4784,0.7576,0.4784,0.3830,0.9946,0.1337
6,0.1087,0.6214,0.3296,0.4567,0.7536,0.4567,0.3435,0.9961,0.0965
7,0.1057,0.6374,0.3388,0.5550,0.7645,0.5550,0.5080,0.9828,0.2694
8,0.1024,0.6534,0.3392,0.5027,0.7577,0.5027,0.4253,0.9907,0.1767
9,0.0994,0.6674,0.3522,0.5722,0.7662,0.5722,0.5333,0.9789,0.3006
10,0.0967,0.6801,0.3630,0.5955,0.7674,0.5955,0.5663,0.9716,0.3443
11,0.0941,0.6907,0.3688,0.5826,0.7632,0.5826,0.5489,0.9726,0.3222
12,0.0920,0.6999,0.3782,0.5823,0.7656,0.5823,0.5481,0.9748,0.3202
13,0.0897,0.7092,0.3999,0.6198,0.7693,0.6198,0.5992,0.9627,0.3908
14,0.0880,0.7156,0.3874,0.5964,0.7658,0.5964,0.5679,0.9695,0.3472
15,0.0863,0.7225,0.3819,0.5585,0.7584,0.5585,0.5145,0.9769,0.2791
16,0.0848,0.7286,0.3900,0.6049,0.7656,0.6049,0.5797,0.9657,0.3639
17,0.0833,0.7338,0.4294,0.6285,0.7676,0.6285,0.6111,0.9561,0.4097
18,0.0820,0.7389,0.4196,0.6095,0.7654,0.6095,0.5861,0.9632,0.3733
19,0.0808,0.7428,0.4482,0.6285,0.7686,0.6285,0.6109,0.9574,0.4089
20,0.0796,0.7478,0.4383,0.6012,0.7637,0.6012,0.5750,0.9653,0.3580
21,0.0788,0.7504,0.4384,0.6212,0.7662,0.6212,0.6016,0.9583,0.3960
22,0.0727,0.7702,0.5116,0.6392,0.7682,0.6392,0.6248,0.9507,0.4311
23,0.0711,0.7764,0.4483,0.6082,0.7632,0.6082,0.5847,0.9614,0.3724
24,0.0701,0.7797,0.5125,0.6349,0.7665,0.6349,0.6196,0.9509,0.4239
25,0.0694,0.7823,0.5172,0.6464,0.7667,0.6464,0.6343,0.9439,0.4478
26,0.0688,0.7844,0.4764,0.6286,0.7660,0.6286,0.6115,0.9540,0.4114
27,0.0681,0.7865,0.5453,0.6529,0.7664,0.6529,0.6426,0.9389,0.4620
28,0.0676,0.7883,0.5441,0.6408,0.7649,0.6408,0.6274,0.9450,0.4376
29,0.0671,0.7902,0.5546,0.6471,0.7660,0.6471,0.6353,0.9424,0.4498
30,0.0665,0.7919,0.5282,0.6417,0.7646,0.6417,0.6287,0.9440,0.4398
31,0.0660,0.7938,0.5317,0.6374,0.7652,0.6374,0.6231,0.9476,0.4303
32,0.0631,0.8028,0.5814,0.6578,0.7649,0.6578,0.6489,0.9329,0.4740
33,0.0620,0.8065,0.5991,0.6604,0.7662,0.6604,0.6519,0.9329,0.4783
34,0.0616,0.8083,0.5953,0.6652,0.7672,0.6652,0.6577,0.9308,0.4878
35,0.0611,0.8099,0.5441,0.6390,0.7626,0.6390,0.6256,0.9429,0.4360
36,0.0610,0.8102,0.6089,0.6589,0.7658,0.6589,0.6501,0.9335,0.4755
37,0.0606,0.8114,0.6495,0.6626,0.7667,0.6626,0.6546,0.9321,0.4827
38,0.0602,0.8126,0.6074,0.6606,0.7658,0.6606,0.6522,0.9321,0.4792
39,0.0587,0.8172,0.5813,0.6488,0.7630,0.6488,0.6380,0.9367,0.4566
40,0.0582,0.8189,0.6356,0.6607,0.7654,0.6607,0.6525,0.9313,0.4800
41,0.0580,0.8195,0.6678,0.6722,0.7667,0.6722,0.6663,0.9239,0.5041
42,0.0578,0.8203,0.6722,0.6693,0.7663,0.6693,0.6628,0.9258,0.4981
43,0.0576,0.8213,0.7219,0.6803,0.7672,0.6803,0.6758,0.9175,0.5218
44,0.0574,0.8218,0.6409,0.6597,0.7650,0.6597,0.6513,0.9315,0.4782
45,0.0573,0.8224,0.6479,0.6667,0.7652,0.6667,0.6598,0.9261,0.4934
46,0.0570,0.8232,0.6599,0.6627,0.7650,0.6627,0.6550,0.9292,0.4848
47,0.0568,0.8237,0.6705,0.6618,0.7650,0.6618,0.6538,0.9299,0.4828
48,0.0562,0.8257,0.6877,0.6706,0.7659,0.6706,0.6644,0.9240,0.5013
49,0.0558,0.8268,0.6772,0.6672,0.7652,0.6672,0.6605,0.9257,0.4947
50,0.0556,0.8276,0.6868,0.6740,0.7666,0.6740,0.6684,0.9221,0.5082
