Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6169,0.5544,0.6825,0.4937,0.6099,0.4937,0.4603,0.1317,0.2683,0.8442
2,0.6042,0.5640,0.6952,0.4885,0.6142,0.4885,0.4488,0.1331,0.2486,0.8615
3,0.6002,0.5688,0.7093,0.4475,0.6123,0.4475,0.3660,0.0995,0.1408,0.9243
4,0.5981,0.5732,0.6853,0.4939,0.6188,0.4939,0.4566,0.1416,0.2581,0.8604
5,0.5967,0.5751,0.7198,0.4211,0.6021,0.4211,0.3054,0.0662,0.0769,0.9562
6,0.5947,0.5772,0.7034,0.5281,0.6152,0.5281,0.5150,0.1587,0.3603,0.7890
7,0.5927,0.5788,0.7416,0.3989,0.5948,0.3989,0.2438,0.0309,0.0199,0.9882
8,0.5907,0.5813,0.6916,0.4778,0.6246,0.4778,0.4243,0.1357,0.2101,0.8942
9,0.5894,0.5818,0.7008,0.4840,0.6178,0.4840,0.4388,0.1336,0.2325,0.8750
10,0.5859,0.5863,0.7249,0.4745,0.6145,0.4745,0.4219,0.1233,0.2103,0.8852
11,0.5788,0.5922,0.8187,0.4496,0.6192,0.4496,0.3681,0.1069,0.1420,0.9278
12,0.5726,0.5980,0.7339,0.5544,0.6037,0.5544,0.5558,0.1551,0.4688,0.6874
13,0.5645,0.6083,0.7107,0.4833,0.6046,0.4833,0.4435,0.1191,0.2450,0.8537
14,0.5533,0.6228,0.6936,0.5502,0.6002,0.5502,0.5514,0.1480,0.4630,0.6858
15,0.5366,0.6408,0.7353,0.4700,0.5907,0.4700,0.4243,0.0956,0.2227,0.8546
16,0.5257,0.6534,0.7478,0.4860,0.5860,0.4860,0.4580,0.0990,0.2787,0.8085
17,0.5172,0.6639,0.7702,0.5007,0.5978,0.5007,0.4781,0.1214,0.3057,0.8038
18,0.5051,0.6753,0.7394,0.5147,0.5750,0.5147,0.5111,0.0955,0.3982,0.6958
19,0.4941,0.6859,0.7497,0.5326,0.5813,0.5326,0.5339,0.1115,0.4482,0.6639
20,0.4867,0.6938,0.7674,0.5146,0.5831,0.5146,0.5076,0.1079,0.3790,0.7256
21,0.4801,0.6998,0.7858,0.4982,0.5774,0.4982,0.4839,0.0930,0.3342,0.7532
