Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4471,0.7980,0.4766,0.7753,0.7917,0.7753,0.7775,0.8292,0.7393
2,0.4237,0.8066,0.4779,0.7800,0.7930,0.7800,0.7821,0.8197,0.7535
3,0.4161,0.8093,0.4932,0.7724,0.7907,0.7724,0.7746,0.8339,0.7312
4,0.4112,0.8113,0.4742,0.7870,0.7942,0.7870,0.7886,0.7965,0.7806
5,0.4076,0.8127,0.4873,0.7765,0.7887,0.7765,0.7786,0.8110,0.7535
6,0.4046,0.8138,0.5182,0.7708,0.7915,0.7708,0.7731,0.8417,0.7234
7,0.4027,0.8149,0.4908,0.7827,0.7929,0.7827,0.7846,0.8083,0.7656
8,0.4007,0.8156,0.4884,0.7811,0.7917,0.7811,0.7830,0.8085,0.7627
9,0.3909,0.8191,0.5042,0.7770,0.7898,0.7770,0.7791,0.8145,0.7519
10,0.3878,0.8200,0.5057,0.7789,0.7919,0.7789,0.7810,0.8177,0.7530
11,0.3860,0.8204,0.4992,0.7807,0.7903,0.7807,0.7826,0.8027,0.7660
12,0.3846,0.8211,0.5226,0.7749,0.7891,0.7749,0.7771,0.8187,0.7457
