Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6050,0.5490,0.7129,0.4477,0.6164,0.4477,0.3650,0.1030,0.1389,0.9278
2,0.5863,0.5738,0.7060,0.4435,0.6147,0.4435,0.3561,0.0978,0.1292,0.9322
3,0.5754,0.5797,0.6835,0.4926,0.6159,0.4926,0.4555,0.1377,0.2579,0.8576
4,0.5702,0.5824,0.6909,0.4674,0.6109,0.4674,0.4092,0.1145,0.1944,0.8917
5,0.5667,0.5851,0.6929,0.4746,0.6126,0.4746,0.4230,0.1216,0.2124,0.8823
6,0.5632,0.5903,0.6802,0.4873,0.6095,0.4873,0.4487,0.1272,0.2506,0.8554
7,0.5590,0.5961,0.6964,0.4695,0.6140,0.4695,0.4122,0.1191,0.1974,0.8925
8,0.5547,0.6020,0.6932,0.4844,0.6141,0.4844,0.4413,0.1301,0.2376,0.8683
9,0.5536,0.6030,0.6932,0.4806,0.6124,0.4806,0.4347,0.1256,0.2288,0.8720
10,0.5501,0.6095,0.6973,0.4735,0.6079,0.4735,0.4229,0.1160,0.2139,0.8770
11,0.5496,0.6119,0.6839,0.5265,0.6209,0.5265,0.5104,0.1650,0.3466,0.8063
12,0.5497,0.6119,0.6760,0.5285,0.6187,0.5285,0.5143,0.1634,0.3558,0.7970
