Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.5868,0.5693,9.3964,0.6079,0.4573,0.6079,0.4607,-0.0123,0.9984,0.0007
2,0.5546,0.6039,7.3961,0.6068,0.4840,0.6068,0.4619,-0.0136,0.9949,0.0033
3,0.5343,0.6334,0.7383,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
4,0.5103,0.6706,0.6880,0.3919,0.5843,0.3919,0.2218,0.0068,0.0013,0.9992
5,0.4893,0.6965,4.7791,0.6038,0.5124,0.6038,0.4693,-0.0077,0.9816,0.0164
6,0.4736,0.7067,0.6959,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
7,0.4847,0.6967,3.2400,0.6056,0.4977,0.6056,0.4641,-0.0124,0.9905,0.0072
8,0.4718,0.7061,23.7021,0.6060,0.5109,0.6060,0.4651,-0.0063,0.9904,0.0084
9,0.4736,0.7046,15.7189,0.6035,0.5120,0.6035,0.4697,-0.0081,0.9805,0.0173
10,0.4445,0.7228,257.5348,0.6071,0.4910,0.6071,0.4620,-0.0108,0.9954,0.0032
11,0.4368,0.7301,0.6879,0.3920,0.5678,0.3920,0.2223,0.0059,0.0018,0.9987
12,0.4457,0.7230,62.2270,0.6048,0.5007,0.6048,0.4654,-0.0126,0.9876,0.0097
13,0.4426,0.7261,0.8287,0.3926,0.5629,0.3926,0.2249,0.0080,0.0040,0.9970
14,0.4477,0.7216,48.6489,0.6035,0.5032,0.6035,0.4676,-0.0133,0.9826,0.0140
15,0.4370,0.7266,0.6564,0.3999,0.5288,0.3999,0.2605,0.0033,0.0370,0.9643
16,0.4300,0.7327,10.6154,0.6077,0.5659,0.6077,0.4990,0.0470,0.9581,0.0628
17,0.4242,0.7361,0.8018,0.3955,0.5400,0.3955,0.2383,0.0068,0.0159,0.9858
18,0.4235,0.7356,26.3115,0.6035,0.5388,0.6035,0.4830,0.0144,0.9668,0.0386
19,0.4191,0.7364,0.8517,0.3936,0.5461,0.3936,0.2296,0.0066,0.0081,0.9931
20,0.4285,0.7329,29.0654,0.6020,0.5279,0.6020,0.4798,0.0040,0.9667,0.0348
21,0.4339,0.7299,0.7741,0.3953,0.5354,0.3953,0.2381,0.0049,0.0158,0.9855
22,0.4347,0.7299,0.8969,0.3943,0.5287,0.3943,0.2347,0.0019,0.0127,0.9877
23,0.4263,0.7351,18.2104,0.6037,0.5446,0.6037,0.4880,0.0215,0.9618,0.0470
24,0.4235,0.7353,0.6794,0.7663,0.7639,0.7663,0.7641,0.5030,0.8361,0.6577
25,0.4220,0.7368,0.6431,0.7026,0.7271,0.7026,0.6642,0.3594,0.9450,0.3256
26,0.4240,0.7349,0.8859,0.3957,0.5291,0.3957,0.2413,0.0025,0.0188,0.9819
27,0.4201,0.7386,0.9314,0.3952,0.5294,0.3952,0.2387,0.0025,0.0164,0.9842
28,0.4187,0.7384,0.8904,0.3969,0.5309,0.3969,0.2460,0.0037,0.0231,0.9780
29,0.4182,0.7385,1.3786,0.3945,0.5279,0.3945,0.2354,0.0017,0.0135,0.9869
30,0.4196,0.7383,13.9442,0.6099,0.5749,0.6099,0.5012,0.0566,0.9605,0.0646
31,0.4131,0.7412,0.6936,0.4006,0.5316,0.4006,0.2622,0.0052,0.0385,0.9635
32,0.4123,0.7414,1.2771,0.3975,0.5340,0.3975,0.2480,0.0054,0.0248,0.9769
33,0.4113,0.7414,1.1619,0.3982,0.5347,0.3982,0.2512,0.0061,0.0279,0.9742
34,0.4118,0.7423,0.7675,0.3962,0.5302,0.3962,0.2432,0.0031,0.0205,0.9804
35,0.4165,0.7373,0.6331,0.3981,0.5260,0.3981,0.2534,0.0014,0.0302,0.9703
36,0.4113,0.7427,1.1140,0.3938,0.5344,0.3938,0.2312,0.0035,0.0096,0.9911
37,0.4096,0.7425,0.7438,0.3961,0.5344,0.3961,0.2418,0.0049,0.0192,0.9822
38,0.4079,0.7427,1.4151,0.3944,0.5447,0.3944,0.2329,0.0072,0.0110,0.9905
39,0.4073,0.7439,1.4382,0.3939,0.5444,0.3939,0.2308,0.0065,0.0092,0.9921
