Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6420,0.4989,0.7134,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6400,0.5007,0.7244,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
3,0.6407,0.4995,0.7212,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
4,0.6407,0.4995,0.7173,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
5,0.6401,0.5006,0.7244,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
6,0.6410,0.4989,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
7,0.6397,0.5010,0.7207,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
8,0.6404,0.4998,0.7191,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
9,0.6402,0.5001,0.7173,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
10,0.6406,0.4996,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
11,0.6404,0.4998,0.7177,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
12,0.6405,0.4997,0.7187,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
13,0.6412,0.4985,0.7163,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
14,0.6405,0.4997,0.7177,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
15,0.6392,0.5018,0.7184,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
