Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.6233,0.6746,0.6708,0.6103,0.6437,0.6103,0.4648,0.9988,0.0042
2,0.5215,0.7621,0.5219,0.7574,0.7737,0.7574,0.7389,0.9389,0.4743
3,0.4923,0.7807,0.5189,0.7540,0.7813,0.7540,0.7303,0.9572,0.4370
4,0.4966,0.7758,0.5078,0.7650,0.7793,0.7650,0.7487,0.9368,0.4971
5,0.5060,0.7693,0.4958,0.7733,0.7797,0.7733,0.7620,0.9180,0.5476
6,0.4753,0.7889,0.4867,0.7735,0.7885,0.7735,0.7584,0.9409,0.5125
7,0.4552,0.7980,0.4518,0.7940,0.7982,0.7940,0.7863,0.9167,0.6026
8,0.4496,0.8002,0.4482,0.7927,0.8006,0.7927,0.7831,0.9292,0.5798
9,0.4430,0.8030,0.4319,0.8010,0.8049,0.8010,0.7941,0.9179,0.6188
10,0.4451,0.8012,0.4332,0.8015,0.8053,0.8015,0.7946,0.9179,0.6199
11,0.4414,0.8035,0.4297,0.8025,0.8075,0.8025,0.7952,0.9230,0.6145
12,0.4379,0.8053,0.4620,0.7863,0.7995,0.7863,0.7736,0.9413,0.5443
13,0.4327,0.8077,0.5620,0.7487,0.7453,0.7487,0.7446,0.8389,0.6080
