Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6412,0.4999,0.7116,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6405,0.4999,0.7160,0.3916,0.7618,0.3916,0.2205,0.0102,0.0003,1.0000
3,0.6397,0.5009,0.7157,0.3916,0.6682,0.3916,0.2207,0.0084,0.0004,0.9999
4,0.6392,0.5012,0.7195,0.3922,0.5746,0.3922,0.2231,0.0079,0.0024,0.9983
5,0.6342,0.5045,0.6986,0.3935,0.5352,0.3935,0.2298,0.0035,0.0083,0.9923
6,0.5996,0.5089,0.6351,0.3963,0.5308,0.3963,0.2437,0.0035,0.0210,0.9800
7,0.5506,0.5324,0.6040,0.3988,0.5240,0.3988,0.2572,0.0003,0.0339,0.9662
8,0.5356,0.6048,0.5980,0.3988,0.5285,0.3988,0.2557,0.0030,0.0323,0.9688
9,0.5286,0.6590,0.5734,0.6865,0.7251,0.6865,0.6895,0.4035,0.6165,0.7952
10,0.5221,0.6759,0.5648,0.7179,0.7353,0.7179,0.7212,0.4375,0.6964,0.7513
11,0.5172,0.6886,0.5465,0.7279,0.7403,0.7279,0.7308,0.4505,0.7205,0.7395
12,0.5095,0.6973,0.5539,0.7010,0.7336,0.7010,0.7043,0.4245,0.6428,0.7915
13,0.5059,0.7017,0.5577,0.6672,0.7315,0.6672,0.6675,0.3984,0.5510,0.8480
14,0.5001,0.7068,0.5636,0.6607,0.7327,0.6607,0.6597,0.3948,0.5325,0.8599
15,0.4957,0.7120,0.5357,0.7224,0.7455,0.7224,0.7257,0.4551,0.6840,0.7822
16,0.4924,0.7151,0.5293,0.7474,0.7543,0.7474,0.7494,0.4823,0.7563,0.7336
17,0.4883,0.7207,0.5380,0.7030,0.7433,0.7030,0.7058,0.4391,0.6277,0.8201
18,0.4850,0.7231,0.5588,0.6504,0.7386,0.6504,0.6465,0.3940,0.4993,0.8855
19,0.4804,0.7278,0.5242,0.7295,0.7515,0.7295,0.7327,0.4680,0.6929,0.7865
20,0.4782,0.7289,0.5382,0.7010,0.7468,0.7010,0.7035,0.4422,0.6153,0.8344
21,0.4723,0.7310,0.5264,0.7177,0.7508,0.7177,0.7208,0.4592,0.6557,0.8140
22,0.4680,0.7344,0.5177,0.7325,0.7552,0.7325,0.7357,0.4752,0.6932,0.7936
23,0.4673,0.7348,0.5176,0.7291,0.7545,0.7291,0.7324,0.4720,0.6837,0.7998
24,0.4673,0.7339,0.5118,0.7340,0.7561,0.7340,0.7372,0.4773,0.6962,0.7928
25,0.4611,0.7375,0.5244,0.7139,0.7532,0.7139,0.7167,0.4598,0.6393,0.8298
26,0.4602,0.7382,0.5171,0.7264,0.7568,0.7264,0.7296,0.4732,0.6696,0.8148
27,0.4592,0.7390,0.5130,0.7280,0.7570,0.7280,0.7312,0.4747,0.6739,0.8122
28,0.4580,0.7397,0.5248,0.7118,0.7557,0.7118,0.7143,0.4615,0.6283,0.8415
29,0.4567,0.7395,0.5098,0.7337,0.7591,0.7337,0.7369,0.4814,0.6874,0.8057
30,0.4549,0.7393,0.5131,0.7260,0.7580,0.7260,0.7290,0.4746,0.6652,0.8204
