Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4085,0.8120,0.4468,0.8011,0.8116,0.8011,0.7913,0.9402,0.5841
2,0.3946,0.8174,0.4458,0.7916,0.8047,0.7916,0.7797,0.9431,0.5552
3,0.3898,0.8193,0.4788,0.7579,0.8014,0.7579,0.7299,0.9783,0.4141
4,0.3866,0.8207,0.4463,0.7881,0.8070,0.7881,0.7736,0.9542,0.5289
5,0.3840,0.8213,0.4314,0.8006,0.8078,0.8006,0.7920,0.9302,0.5983
6,0.3813,0.8221,0.4593,0.7785,0.8019,0.7785,0.7610,0.9587,0.4972
7,0.3776,0.8235,0.4539,0.7893,0.8030,0.7893,0.7769,0.9436,0.5486
8,0.3737,0.8248,0.4491,0.7880,0.8035,0.7880,0.7748,0.9470,0.5400
9,0.3696,0.8266,0.4682,0.7841,0.8014,0.7841,0.7697,0.9494,0.5263
10,0.3591,0.8313,0.4664,0.7805,0.7999,0.7805,0.7648,0.9522,0.5127
11,0.3545,0.8338,0.4566,0.7941,0.8007,0.7941,0.7851,0.9256,0.5888
12,0.3511,0.8357,0.4615,0.7821,0.7962,0.7821,0.7685,0.9420,0.5325
13,0.3476,0.8377,0.4892,0.7662,0.7846,0.7662,0.7485,0.9456,0.4864
