Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.4628,0.7176,0.5482,0.7617,0.7613,0.7617,0.7538,0.4878,0.8826,0.5737
2,0.4137,0.7402,0.9174,0.7379,0.7425,0.7379,0.7221,0.4346,0.9035,0.4805
3,0.4056,0.7467,0.5217,0.7812,0.7814,0.7812,0.7813,0.5412,0.8186,0.7231
4,0.3979,0.7509,1.0043,0.4162,0.6131,0.4162,0.2899,0.0666,0.0611,0.9685
5,0.3953,0.7518,0.4614,0.7474,0.7903,0.7474,0.7498,0.5321,0.6620,0.8803
6,0.3929,0.7536,0.4541,0.7828,0.7962,0.7828,0.7851,0.5656,0.7603,0.8178
7,0.3906,0.7545,0.5951,0.5949,0.7569,0.5949,0.5712,0.3654,0.3625,0.9562
8,0.3893,0.7562,0.4622,0.7362,0.7971,0.7362,0.7373,0.5315,0.6219,0.9141
9,0.3871,0.7579,0.5337,0.6618,0.7811,0.6618,0.6535,0.4505,0.4763,0.9503
10,0.3845,0.7593,0.4971,0.6723,0.7756,0.6723,0.6670,0.4536,0.5041,0.9338
11,0.3782,0.7645,0.4677,0.7563,0.7953,0.7563,0.7588,0.5452,0.6770,0.8797
12,0.3772,0.7665,0.4670,0.7685,0.7947,0.7685,0.7713,0.5536,0.7143,0.8528
13,0.3759,0.7665,0.4927,0.7534,0.7900,0.7534,0.7560,0.5363,0.6791,0.8690
14,0.3725,0.7705,0.5359,0.7887,0.7919,0.7887,0.7897,0.5624,0.8051,0.7630
