Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.6303,0.3855,1.9630,0.3538,0.3475,0.3538,0.3189,0.0387,0.0495,0.0297,0.2289,0.0265,0.3784,0.0971,0.5957,0.6505,0.5436,0.7226,0.0005,0.2236,0.0000
2,1.3194,0.4988,1.9225,0.3446,0.3511,0.3446,0.3311,0.0000,0.1979,0.1498,0.3736,0.0816,0.3575,0.4680,0.6092,0.5445,0.2708,0.1650,0.0234,0.2543,0.0660
3,1.1956,0.5375,1.8346,0.3758,0.3658,0.3758,0.3655,0.0028,0.3263,0.1920,0.2961,0.2279,0.4355,0.2180,0.5279,0.4698,0.3338,0.8305,0.1079,0.4522,0.2488
4,1.0842,0.5702,1.8097,0.3785,0.3841,0.3785,0.3680,0.0003,0.4558,0.2458,0.3370,0.0628,0.4683,0.2630,0.6151,0.4947,0.4810,0.7740,0.1788,0.3032,0.3299
5,1.0089,0.5958,1.8559,0.3710,0.3900,0.3710,0.3647,0.0000,0.4888,0.4325,0.2029,0.0769,0.5432,0.3296,0.6081,0.4208,0.3702,0.9128,0.2940,0.3349,0.4248
6,0.9556,0.6161,1.7567,0.4062,0.4035,0.4062,0.3943,0.0003,0.5112,0.1818,0.2589,0.0410,0.4839,0.4397,0.5532,0.4990,0.4793,0.9396,0.3377,0.4313,0.4688
7,0.9132,0.6320,1.7916,0.3835,0.4011,0.3835,0.3823,0.0031,0.4582,0.2686,0.3104,0.1060,0.4773,0.4807,0.6129,0.4022,0.3089,0.9653,0.3079,0.4280,0.1968
8,0.8808,0.6462,1.8996,0.3998,0.4307,0.3998,0.3892,0.0028,0.5241,0.2616,0.1956,0.0740,0.5990,0.4301,0.6070,0.4624,0.5045,0.9189,0.3113,0.3786,0.5069
9,0.8554,0.6557,1.7498,0.4155,0.4255,0.4155,0.4081,0.0038,0.4605,0.2372,0.2711,0.1295,0.5475,0.4375,0.6859,0.4860,0.3334,0.9430,0.3533,0.4252,0.4016
10,0.8310,0.6656,1.8004,0.4222,0.4397,0.4222,0.4143,0.0044,0.5536,0.2864,0.2470,0.0769,0.5537,0.4193,0.6701,0.4827,0.5416,0.9916,0.3938,0.4230,0.4178
11,0.8145,0.6717,1.9052,0.3951,0.4227,0.3951,0.3892,0.0028,0.5889,0.3995,0.2690,0.0457,0.5747,0.3337,0.6309,0.4224,0.5305,0.9625,0.3795,0.3244,0.5949
12,0.7958,0.6808,1.8961,0.3958,0.4308,0.3958,0.3931,0.0018,0.4782,0.3448,0.2808,0.1829,0.6227,0.4650,0.7027,0.3691,0.3122,0.9961,0.3595,0.3871,0.3229
13,0.7800,0.6866,1.7785,0.4186,0.4411,0.4186,0.4158,0.0087,0.4982,0.3616,0.2921,0.1136,0.5878,0.4070,0.6624,0.4397,0.3917,0.9787,0.3758,0.4313,0.3912
14,0.7671,0.6929,1.8746,0.4197,0.4275,0.4197,0.4126,0.0100,0.6325,0.2920,0.3002,0.1422,0.5741,0.3731,0.6727,0.3873,0.4059,0.9760,0.4176,0.5102,0.5660
15,0.7555,0.6961,1.9092,0.4114,0.4448,0.4114,0.4085,0.0031,0.5277,0.3161,0.2658,0.2108,0.5807,0.4435,0.6844,0.4519,0.3857,0.9933,0.3779,0.3662,0.4734
16,0.7433,0.7015,1.8826,0.4153,0.4430,0.4153,0.4116,0.0241,0.6325,0.2880,0.2549,0.3563,0.6081,0.3185,0.6789,0.4229,0.2637,0.9799,0.4156,0.4317,0.4711
17,0.7330,0.7063,1.8910,0.4254,0.4338,0.4254,0.4153,0.0054,0.5713,0.2633,0.2550,0.0896,0.5501,0.3955,0.6697,0.4694,0.4749,0.9760,0.3856,0.4878,0.3900
18,0.6851,0.7254,2.0221,0.4197,0.4484,0.4197,0.4150,0.0061,0.6160,0.3138,0.2848,0.2242,0.5896,0.3709,0.7232,0.4397,0.3654,0.9916,0.4492,0.3968,0.4444
19,0.6720,0.7309,1.9498,0.4241,0.4469,0.4241,0.4210,0.0126,0.6137,0.3702,0.2781,0.1560,0.5795,0.3568,0.6466,0.4521,0.3712,0.9609,0.4051,0.4461,0.5231
20,0.6638,0.7340,2.0493,0.4151,0.4335,0.4151,0.4111,0.0046,0.5995,0.3563,0.3070,0.1655,0.5594,0.3981,0.6818,0.4181,0.2661,0.9855,0.4490,0.4496,0.3009
21,0.6560,0.7379,2.0936,0.4151,0.4421,0.4151,0.4097,0.0197,0.6148,0.3124,0.2639,0.1669,0.5933,0.3943,0.6910,0.4284,0.4112,0.9978,0.4497,0.3967,0.5012
22,0.6460,0.7424,2.1115,0.4187,0.4407,0.4187,0.4154,0.0064,0.6243,0.3919,0.2828,0.2192,0.5886,0.3564,0.6705,0.4273,0.2866,0.9754,0.4183,0.4368,0.4838
23,0.6401,0.7447,2.0565,0.4335,0.4564,0.4335,0.4301,0.0187,0.6019,0.2854,0.2861,0.1742,0.5704,0.3813,0.6873,0.4513,0.4628,0.9883,0.4301,0.4862,0.3750
24,0.6340,0.7475,2.1117,0.4356,0.4546,0.4356,0.4275,0.0118,0.5748,0.3547,0.2361,0.2311,0.5711,0.2426,0.7280,0.4962,0.3685,0.9899,0.4215,0.4779,0.4491
25,0.6264,0.7510,2.1356,0.4297,0.4508,0.4297,0.4243,0.0200,0.5819,0.3336,0.2690,0.1513,0.5574,0.3810,0.6804,0.4856,0.3351,0.9922,0.4435,0.4484,0.3796
26,0.6204,0.7539,2.1303,0.4323,0.4556,0.4323,0.4280,0.0200,0.6537,0.3184,0.2739,0.1567,0.5652,0.3899,0.6382,0.4892,0.3863,0.9866,0.4658,0.4228,0.5706
27,0.6135,0.7551,2.1526,0.4346,0.4494,0.4346,0.4295,0.0210,0.6302,0.3016,0.3103,0.1992,0.5584,0.3553,0.7159,0.4371,0.3793,0.9709,0.4817,0.4947,0.4525
28,0.5851,0.7680,2.1922,0.4358,0.4502,0.4358,0.4320,0.0220,0.6266,0.3590,0.2994,0.2293,0.5648,0.3389,0.6525,0.4962,0.3183,0.9586,0.4190,0.4388,0.4352
29,0.5779,0.7709,2.2408,0.4282,0.4556,0.4282,0.4255,0.0246,0.5854,0.3636,0.2640,0.2014,0.5944,0.3635,0.6433,0.4791,0.3415,0.9687,0.3924,0.4269,0.4850
30,0.5713,0.7743,2.2702,0.4276,0.4500,0.4276,0.4256,0.0272,0.6266,0.3514,0.2972,0.1665,0.5737,0.4070,0.6628,0.4257,0.3274,0.9944,0.4219,0.4909,0.4410
