Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.7912,0.3587,1.9792,0.3323,0.3631,0.3323,0.2891,0.0756,0.0942,0.1498,0.0901,0.0791,0.3940,0.0093,0.5209,0.6952,0.2432,0.5123,0.0000,0.1852,0.0509
2,1.4488,0.4552,2.0901,0.2763,0.3691,0.2763,0.2728,0.0469,0.3263,0.1993,0.1584,0.0065,0.3824,0.6194,0.5660,0.4557,0.0647,0.1678,0.0118,0.1426,0.0995
3,1.3316,0.4911,1.9462,0.3235,0.3596,0.3235,0.3210,0.0443,0.4217,0.2461,0.1736,0.1473,0.5329,0.2214,0.6415,0.4127,0.2449,0.6711,0.0613,0.2622,0.2315
4,1.2451,0.5187,1.8322,0.3589,0.3843,0.3589,0.3566,0.0174,0.4111,0.2207,0.3047,0.0845,0.4043,0.1209,0.6129,0.4677,0.4736,0.7411,0.0534,0.3871,0.1944
5,1.1984,0.5370,1.9642,0.3283,0.3679,0.3283,0.3313,0.0054,0.3698,0.3533,0.2287,0.0312,0.4211,0.1272,0.6206,0.3840,0.3863,0.2886,0.1043,0.4315,0.2025
6,1.1542,0.5537,1.8636,0.3669,0.3917,0.3669,0.3662,0.0026,0.4405,0.2273,0.3125,0.0051,0.4899,0.2798,0.6639,0.3866,0.5106,0.6678,0.2184,0.4085,0.4039
7,1.1362,0.5614,1.8112,0.3888,0.4036,0.3888,0.3876,0.0023,0.5289,0.2230,0.3160,0.1005,0.4449,0.3326,0.6360,0.4769,0.3557,0.6326,0.1463,0.4675,0.2662
8,1.0929,0.5756,1.8583,0.3743,0.3905,0.3743,0.3683,0.0023,0.4252,0.2801,0.3334,0.0102,0.4995,0.2526,0.6595,0.3582,0.3180,0.4284,0.1859,0.5590,0.3183
9,1.1181,0.5676,1.9580,0.3901,0.3900,0.3901,0.3815,0.0026,0.5218,0.2095,0.3201,0.0776,0.5133,0.2139,0.6873,0.4906,0.3974,0.6471,0.1338,0.3938,0.4618
10,1.0679,0.5824,1.8251,0.3905,0.4202,0.3905,0.3904,0.0005,0.5972,0.2946,0.3527,0.0472,0.4611,0.3129,0.7229,0.3718,0.4507,0.8512,0.1470,0.5317,0.4236
11,1.0472,0.5895,1.9390,0.3755,0.3969,0.3755,0.3763,0.0000,0.5100,0.3372,0.3364,0.0269,0.5257,0.2299,0.6345,0.4064,0.4517,0.3082,0.2520,0.4046,0.5046
12,1.0528,0.5891,1.8093,0.3817,0.3984,0.3817,0.3816,0.0000,0.5183,0.3398,0.3526,0.0486,0.4862,0.4420,0.6701,0.4530,0.1890,0.3350,0.1929,0.4065,0.4352
13,1.0879,0.5763,1.7451,0.4223,0.4230,0.4223,0.4124,0.0003,0.6384,0.2408,0.3414,0.0388,0.4135,0.3914,0.7064,0.5423,0.3062,0.5302,0.1911,0.5446,0.4641
14,1.0324,0.5927,1.8481,0.4079,0.4210,0.4079,0.4047,0.0005,0.5748,0.2728,0.3900,0.0581,0.4220,0.4368,0.6899,0.5108,0.3247,0.1790,0.1359,0.5049,0.5093
15,1.0174,0.5996,1.7674,0.3963,0.4152,0.3963,0.3969,0.0000,0.6090,0.2580,0.3011,0.0483,0.4623,0.4725,0.6232,0.4895,0.3759,0.3786,0.2870,0.4321,0.5255
16,1.0074,0.6018,1.8279,0.4094,0.4270,0.4094,0.4105,0.0008,0.5771,0.2682,0.4666,0.2725,0.4119,0.4509,0.6499,0.5210,0.1640,0.2746,0.1634,0.4149,0.5868
17,1.0168,0.6018,1.8458,0.3891,0.4107,0.3891,0.3855,0.0003,0.5559,0.1999,0.2815,0.0308,0.4526,0.5283,0.7130,0.3906,0.3452,0.3020,0.3383,0.5588,0.6979
18,0.9625,0.6198,1.8129,0.4119,0.4245,0.4119,0.4106,0.0000,0.6243,0.2517,0.3597,0.0599,0.4655,0.5320,0.6525,0.5027,0.3634,0.2830,0.1970,0.4867,0.4225
19,0.9561,0.6221,1.9527,0.4007,0.4199,0.4007,0.4030,0.0000,0.5995,0.2441,0.3702,0.1274,0.4459,0.4859,0.6525,0.4178,0.3109,0.3216,0.2318,0.5592,0.4722
20,0.9406,0.6267,1.9324,0.4042,0.4164,0.4042,0.4026,0.0000,0.5889,0.2768,0.3630,0.0486,0.4842,0.4903,0.6543,0.4377,0.2304,0.6532,0.2881,0.4797,0.5799
21,0.9384,0.6282,1.8958,0.4113,0.4146,0.4113,0.4045,0.0005,0.5277,0.2293,0.2914,0.0483,0.4749,0.3795,0.6639,0.4969,0.3843,0.3015,0.2897,0.5455,0.4132
