Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5747,0.4107,1.9254,0.3026,0.3072,0.3026,0.2657,0.0592,0.3204,0.2145,0.0871,0.0000,0.5816,0.0372,0.4978,0.3689,0.2506,0.8177,0.0023,0.3504,0.0069
2,1.1238,0.5490,1.6987,0.3619,0.4221,0.3619,0.3504,0.0003,0.6254,0.6622,0.2739,0.0943,0.7294,0.4062,0.4238,0.2964,0.0404,0.9251,0.3406,0.3078,0.1204
3,0.9634,0.6061,1.7754,0.3956,0.4089,0.3956,0.3744,0.0000,0.6031,0.2478,0.2052,0.0250,0.4512,0.2991,0.6400,0.5023,0.3398,0.9894,0.5415,0.4117,0.0185
4,0.8988,0.6318,1.8228,0.3889,0.4152,0.3889,0.3716,0.0003,0.7232,0.2926,0.2327,0.0664,0.5907,0.2712,0.6136,0.3554,0.5062,0.9994,0.6210,0.3990,0.0729
5,0.8605,0.6442,1.9905,0.3841,0.4371,0.3841,0.3609,0.0069,0.4181,0.4391,0.2457,0.0377,0.6988,0.3311,0.4102,0.2727,0.0994,1.0000,0.9314,0.3961,0.3877
6,0.8323,0.6570,1.8172,0.3770,0.3826,0.3770,0.3643,0.0000,0.6737,0.3454,0.3052,0.0552,0.4449,0.2039,0.6452,0.3633,0.3206,0.9978,0.7098,0.3776,0.2245
7,0.8143,0.6657,1.7927,0.4132,0.4516,0.4132,0.4001,0.0061,0.6490,0.3105,0.2400,0.1299,0.6902,0.4115,0.4949,0.3392,0.5099,0.9983,0.7278,0.4117,0.4757
8,0.7969,0.6733,1.8763,0.4099,0.4687,0.4099,0.3937,0.0008,0.4452,0.2177,0.1936,0.1422,0.7037,0.5554,0.5297,0.3420,0.6298,0.9989,0.8060,0.3689,0.3310
9,0.7823,0.6795,1.7773,0.4241,0.4520,0.4241,0.4079,0.0005,0.4122,0.2715,0.2057,0.1499,0.5752,0.4855,0.5231,0.4419,0.2977,1.0000,0.9014,0.4128,0.6088
10,0.7697,0.6852,1.8053,0.4198,0.4531,0.4198,0.4068,0.0018,0.5053,0.4101,0.2614,0.1433,0.6658,0.5450,0.6096,0.3635,0.4059,1.0000,0.8003,0.3484,0.5231
11,0.7623,0.6887,1.9688,0.4114,0.4536,0.4114,0.3874,0.0328,0.7067,0.4174,0.1898,0.0192,0.6712,0.3069,0.5304,0.2979,0.5049,1.0000,0.9152,0.4635,0.5741
12,0.7514,0.6938,1.8406,0.4283,0.4750,0.4283,0.4105,0.0028,0.4441,0.3398,0.2337,0.1593,0.7647,0.5673,0.5044,0.3516,0.2385,1.0000,0.8657,0.4094,0.4942
13,0.7431,0.6967,1.7753,0.4245,0.4596,0.4245,0.4091,0.0074,0.5253,0.4042,0.2543,0.0675,0.6944,0.5655,0.4879,0.3686,0.1687,0.9978,0.7555,0.4479,0.5324
14,0.7355,0.7004,2.0008,0.4127,0.4300,0.4127,0.3892,0.0020,0.5630,0.4474,0.2686,0.0450,0.6411,0.4062,0.6624,0.2880,0.3382,0.9978,0.8878,0.4592,0.4965
15,0.7287,0.7036,1.8906,0.4329,0.4690,0.4329,0.4242,0.0136,0.5359,0.4484,0.2929,0.1216,0.5949,0.4565,0.5224,0.4061,0.4773,1.0000,0.8400,0.3902,0.4965
16,0.7218,0.7061,1.9664,0.4286,0.4606,0.4286,0.4073,0.0100,0.5913,0.3194,0.1876,0.2718,0.6243,0.5577,0.6320,0.3813,0.1408,1.0000,0.9307,0.4574,0.6076
17,0.7138,0.7107,1.9571,0.4290,0.4717,0.4290,0.4111,0.0156,0.5477,0.2831,0.1921,0.1245,0.5874,0.6086,0.5568,0.4406,0.3072,1.0000,0.9018,0.4010,0.6481
18,0.7090,0.7125,2.0337,0.4338,0.4980,0.4338,0.4203,0.0141,0.4676,0.2474,0.2289,0.0867,0.6577,0.6860,0.4872,0.3974,0.3294,1.0000,0.9257,0.4243,0.6123
19,0.7025,0.7150,2.0389,0.4261,0.4635,0.4261,0.4070,0.0131,0.5936,0.3213,0.1922,0.1488,0.5933,0.4769,0.6532,0.4081,0.3846,1.0000,0.8998,0.4084,0.6458
20,0.6738,0.7277,1.9831,0.4297,0.4620,0.4297,0.4123,0.0079,0.5866,0.2930,0.2321,0.1136,0.6289,0.5539,0.5847,0.4094,0.2408,1.0000,0.9291,0.4074,0.5509
21,0.6647,0.7324,1.9799,0.4411,0.4836,0.4411,0.4266,0.0200,0.4782,0.2752,0.2182,0.1430,0.6249,0.5383,0.5858,0.4364,0.4092,1.0000,0.8900,0.4271,0.5613
22,0.6602,0.7349,2.0152,0.4366,0.4630,0.4366,0.4225,0.0138,0.5913,0.4154,0.2592,0.1234,0.6695,0.4349,0.5858,0.3777,0.3651,1.0000,0.8628,0.4360,0.5243
23,0.6551,0.7360,2.1575,0.4362,0.4847,0.4362,0.4148,0.0115,0.5642,0.2544,0.1880,0.0940,0.6724,0.5588,0.6257,0.3662,0.4705,1.0000,0.9457,0.4728,0.5000
24,0.6510,0.7379,1.9616,0.4470,0.4702,0.4470,0.4343,0.0369,0.5701,0.3933,0.2522,0.1277,0.6029,0.4211,0.5990,0.4342,0.3496,1.0000,0.8432,0.4709,0.5903
25,0.6483,0.7396,1.9083,0.4441,0.4725,0.4441,0.4270,0.0095,0.5395,0.2788,0.2436,0.0809,0.5920,0.6380,0.5528,0.3961,0.3631,1.0000,0.8964,0.5247,0.5810
26,0.6449,0.7415,1.9507,0.4382,0.4711,0.4382,0.4221,0.0192,0.6702,0.3738,0.2095,0.1350,0.6637,0.4617,0.5843,0.3715,0.4392,1.0000,0.8434,0.4879,0.5150
27,0.6401,0.7435,2.0203,0.4405,0.4844,0.4405,0.4247,0.0192,0.5595,0.2758,0.2280,0.1941,0.6911,0.5711,0.6045,0.3870,0.3267,1.0000,0.8971,0.4345,0.5475
