Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.9026,0.2960,1.9973,0.3102,0.3825,0.3102,0.1848,0.0356,0.0000,0.0016,0.0016,0.0000,0.1138,0.0316,0.0535,0.9475,0.2967,0.9877,0.0000,0.0106,0.0000
2,1.7953,0.3226,1.9573,0.3200,0.3875,0.3200,0.2134,0.0310,0.0000,0.0475,0.0630,0.0051,0.1310,0.0294,0.1243,0.9308,0.2550,0.9883,0.0000,0.0209,0.0000
3,1.7755,0.3300,1.9897,0.3266,0.3079,0.3266,0.2655,0.0246,0.0000,0.0069,0.0552,0.0058,0.3133,0.0751,0.1602,0.7027,0.2789,0.9827,0.0000,0.2913,0.0000
4,1.7715,0.3314,1.9854,0.3407,0.3093,0.3407,0.2852,0.0218,0.0000,0.0168,0.1877,0.0000,0.2160,0.0316,0.2848,0.7459,0.4779,0.9636,0.0000,0.2227,0.0000
5,1.7692,0.3314,1.9640,0.3096,0.4322,0.3096,0.1764,0.0179,0.0000,0.0162,0.0032,0.0011,0.0643,0.0216,0.0620,0.9705,0.3045,0.9955,0.0000,0.0073,0.0000
6,1.7682,0.3319,1.9434,0.3297,0.3169,0.3297,0.2649,0.0236,0.0000,0.0201,0.0810,0.0018,0.2260,0.0673,0.0865,0.7528,0.4028,0.9888,0.0000,0.2647,0.0000
7,1.7671,0.3320,1.9916,0.3199,0.3144,0.3199,0.2467,0.0218,0.0000,0.0016,0.0369,0.0011,0.0898,0.1317,0.1917,0.7099,0.4123,0.9966,0.0000,0.3948,0.0000
8,1.7655,0.3333,1.9611,0.3358,0.3358,0.3358,0.2482,0.0223,0.0000,0.0063,0.0801,0.0664,0.1924,0.1842,0.3952,0.8856,0.1879,0.9950,0.0000,0.0602,0.0000
9,1.7602,0.3349,1.9435,0.3320,0.3211,0.3320,0.2497,0.0238,0.0000,0.0145,0.0562,0.0073,0.2311,0.0298,0.1738,0.8536,0.3153,0.9950,0.0000,0.1330,0.0000
10,1.7566,0.3366,1.9645,0.3426,0.3110,0.3426,0.2864,0.0279,0.0000,0.1122,0.1502,0.0022,0.3004,0.0539,0.4117,0.7543,0.3570,0.9944,0.0000,0.1508,0.0000
11,1.7555,0.3375,1.9501,0.3375,0.3383,0.3375,0.2615,0.0233,0.0000,0.0488,0.1211,0.0004,0.3753,0.0160,0.1510,0.7954,0.4338,0.9827,0.0000,0.0696,0.0000
12,1.7567,0.3355,1.9533,0.3361,0.3112,0.3361,0.2728,0.0192,0.0000,0.0465,0.2154,0.0011,0.2814,0.0722,0.2152,0.7776,0.2637,0.9832,0.0000,0.1066,0.0000
13,1.7561,0.3364,1.9402,0.3254,0.3381,0.3254,0.2349,0.0282,0.0000,0.0574,0.0621,0.0044,0.2310,0.0193,0.0751,0.8817,0.2031,0.9927,0.0000,0.0758,0.0000
14,1.7575,0.3359,1.9405,0.3325,0.3394,0.3325,0.2411,0.0243,0.0000,0.0089,0.0384,0.0022,0.2743,0.0565,0.1943,0.8707,0.3318,0.9944,0.0000,0.0752,0.0000
15,1.7536,0.3373,1.9461,0.3324,0.3584,0.3324,0.2447,0.0213,0.0000,0.0538,0.1144,0.0054,0.2375,0.0770,0.1224,0.8728,0.3304,0.9888,0.0000,0.0413,0.0000
16,1.7514,0.3392,1.9400,0.3303,0.3390,0.3303,0.2469,0.0228,0.0000,0.0119,0.1089,0.0911,0.2090,0.0837,0.0894,0.8750,0.2159,0.9916,0.0000,0.0741,0.0000
17,1.7507,0.3395,1.9537,0.3335,0.3284,0.3335,0.2532,0.0218,0.0000,0.0178,0.0848,0.0065,0.2663,0.1172,0.1422,0.8446,0.3301,0.9944,0.0000,0.0910,0.0000
18,1.7526,0.3378,1.9425,0.3304,0.3703,0.3304,0.2385,0.0220,0.0000,0.0271,0.0827,0.0192,0.2627,0.1120,0.1041,0.8743,0.3294,0.9899,0.0000,0.0309,0.0000
