Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.8757,0.3247,2.0588,0.3179,0.3909,0.3179,0.2551,0.2797,0.0012,0.0353,0.0757,0.0018,0.4225,0.0015,0.6477,0.6684,0.0273,0.8098,0.0000,0.0885,0.2708
2,1.5523,0.4189,1.9449,0.3310,0.3202,0.3310,0.2910,0.1232,0.1802,0.1241,0.1363,0.0000,0.5851,0.1373,0.5982,0.5164,0.0000,0.9200,0.0000,0.2400,0.1192
3,1.4726,0.4424,1.9333,0.3468,0.3497,0.3468,0.3031,0.0638,0.3157,0.1142,0.0993,0.0000,0.6861,0.0807,0.6818,0.4635,0.0303,0.9267,0.0000,0.3720,0.1019
4,1.4253,0.4575,1.9092,0.3464,0.3410,0.3464,0.3209,0.0689,0.3934,0.0878,0.1636,0.0022,0.4111,0.0789,0.5916,0.4996,0.1991,0.9334,0.0000,0.4638,0.1285
5,1.3875,0.4707,1.9142,0.3373,0.3479,0.3373,0.2999,0.0546,0.4959,0.1250,0.0638,0.0011,0.7387,0.2113,0.6169,0.4100,0.0856,0.7388,0.0023,0.3680,0.2361
6,1.3559,0.4786,1.8824,0.3213,0.3270,0.3213,0.3100,0.0274,0.4323,0.1627,0.2016,0.0000,0.5325,0.2772,0.6378,0.3308,0.1997,0.8730,0.0261,0.3924,0.3611
7,1.3363,0.4857,1.8926,0.3317,0.3369,0.3317,0.3111,0.0056,0.5124,0.1970,0.2159,0.0029,0.5391,0.3824,0.6360,0.2956,0.0879,0.8596,0.0077,0.5138,0.1968
8,1.3153,0.4930,1.8344,0.3316,0.3313,0.3316,0.3102,0.0277,0.6066,0.1175,0.2289,0.0000,0.5581,0.5004,0.7199,0.2967,0.0037,0.7925,0.0436,0.4532,0.4190
9,1.2795,0.5043,1.8245,0.3426,0.3445,0.3426,0.3239,0.0238,0.5053,0.1894,0.1797,0.0044,0.5381,0.3344,0.6129,0.4296,0.0428,0.8591,0.0995,0.3791,0.1620
10,1.2674,0.5089,1.9191,0.3207,0.3463,0.3207,0.3081,0.0223,0.5501,0.2385,0.1808,0.0007,0.4704,0.4836,0.6609,0.3319,0.0795,0.9178,0.0259,0.4273,0.0671
11,1.2602,0.5110,1.9075,0.3134,0.3375,0.3134,0.3037,0.0082,0.4605,0.2752,0.1941,0.0000,0.5562,0.4282,0.5964,0.3501,0.1600,0.8154,0.0414,0.2787,0.1632
12,1.2506,0.5134,1.9115,0.3108,0.3349,0.3108,0.2997,0.0138,0.5736,0.2738,0.2686,0.0058,0.5532,0.5268,0.6851,0.2754,0.0519,0.6152,0.0504,0.3313,0.1562
13,1.2468,0.5163,2.0214,0.3140,0.3477,0.3140,0.2942,0.0146,0.5041,0.2527,0.1469,0.0047,0.5382,0.3843,0.6056,0.2648,0.0694,0.9044,0.0239,0.4946,0.2407
14,1.2218,0.5251,1.9227,0.3268,0.3409,0.3268,0.3109,0.0095,0.5771,0.2065,0.1993,0.0047,0.5101,0.4193,0.5993,0.3789,0.0310,0.8669,0.0439,0.3703,0.2384
15,1.2171,0.5267,1.9008,0.3171,0.3521,0.3171,0.3092,0.0195,0.5159,0.2276,0.2776,0.0171,0.4842,0.5368,0.6235,0.3603,0.0411,0.8428,0.0395,0.2706,0.2060
16,1.2133,0.5277,1.9776,0.3221,0.3382,0.3221,0.3062,0.0092,0.5618,0.2448,0.1820,0.0733,0.5604,0.3374,0.5576,0.3634,0.0064,0.8462,0.0316,0.3537,0.2512
17,1.2077,0.5294,1.9993,0.3104,0.3412,0.3104,0.2958,0.0090,0.5041,0.1561,0.1712,0.0160,0.5887,0.4810,0.6122,0.2913,0.0320,0.8518,0.0445,0.3674,0.3542
