Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5870,0.4046,1.9594,0.3541,0.3761,0.3541,0.3236,0.0359,0.0283,0.1646,0.1745,0.0011,0.3761,0.3173,0.6250,0.6452,0.3590,0.8328,0.0000,0.2359,0.0000
2,1.2186,0.5208,1.8041,0.3593,0.3951,0.3593,0.3572,0.0013,0.3663,0.1887,0.2395,0.0468,0.4510,0.6566,0.5924,0.4701,0.2247,0.9446,0.1109,0.3436,0.0000
3,1.0822,0.5715,1.7606,0.3899,0.3920,0.3899,0.3817,0.0000,0.5336,0.2415,0.2525,0.3048,0.5206,0.2433,0.6580,0.4293,0.3132,0.8350,0.1372,0.5109,0.0567
4,0.9993,0.6031,1.7526,0.3953,0.3907,0.3953,0.3844,0.0000,0.6078,0.2804,0.3153,0.1049,0.4879,0.2102,0.7276,0.4521,0.3446,0.9256,0.2970,0.4357,0.0081
5,0.9446,0.6224,1.7358,0.4042,0.4284,0.4042,0.4047,0.0000,0.4841,0.3276,0.3593,0.0856,0.5223,0.3441,0.7045,0.3929,0.5083,0.8859,0.3072,0.4683,0.0891
6,0.9057,0.6384,1.7439,0.4075,0.4242,0.4075,0.4023,0.0000,0.5783,0.2798,0.2733,0.0936,0.5683,0.3512,0.6727,0.4345,0.5143,0.9279,0.3867,0.4218,0.1632
7,0.8764,0.6481,1.7705,0.4170,0.4372,0.4170,0.4130,0.0036,0.6243,0.2940,0.3096,0.2380,0.4854,0.3783,0.6789,0.4321,0.2927,0.9413,0.3395,0.5474,0.0880
8,0.8526,0.6583,1.7704,0.4138,0.4396,0.4138,0.4089,0.0010,0.6549,0.3200,0.2509,0.0773,0.5670,0.4156,0.6767,0.4413,0.4830,0.9860,0.3327,0.4615,0.1597
9,0.8325,0.6667,1.6649,0.4259,0.4481,0.4259,0.4244,0.0005,0.6832,0.2580,0.3798,0.2108,0.5773,0.3876,0.6499,0.4671,0.3489,0.8753,0.3935,0.3952,0.2199
10,0.8139,0.6749,1.8016,0.4263,0.4579,0.4263,0.4252,0.0013,0.6749,0.3768,0.3308,0.0729,0.5548,0.3955,0.6899,0.4519,0.5224,0.9883,0.3297,0.4484,0.1296
11,0.7977,0.6801,1.8870,0.4077,0.4460,0.4077,0.4029,0.0028,0.7020,0.4536,0.2967,0.0446,0.6060,0.3039,0.6353,0.4432,0.4523,0.9927,0.3890,0.3412,0.1748
12,0.7837,0.6877,1.8622,0.4192,0.4624,0.4192,0.4183,0.0013,0.5701,0.3042,0.3137,0.2758,0.6370,0.4226,0.7071,0.4438,0.3200,0.9485,0.3656,0.3731,0.1435
13,0.7715,0.6917,1.8253,0.4343,0.4471,0.4343,0.4290,0.0005,0.6702,0.4477,0.3119,0.0867,0.5566,0.3196,0.6719,0.4649,0.3385,0.9983,0.3772,0.5130,0.1435
14,0.7551,0.6986,1.8868,0.4457,0.4610,0.4457,0.4368,0.0038,0.6678,0.2969,0.3127,0.1847,0.5702,0.3051,0.7108,0.5365,0.3422,0.9446,0.4385,0.4415,0.1979
15,0.7468,0.7017,1.9987,0.4291,0.4576,0.4291,0.4219,0.0044,0.7091,0.2880,0.3053,0.1139,0.5460,0.4412,0.6316,0.5512,0.4230,0.9340,0.4210,0.3319,0.2118
16,0.7354,0.7070,1.8681,0.4366,0.4564,0.4366,0.4353,0.0041,0.5795,0.2547,0.3531,0.3632,0.5595,0.3043,0.6785,0.4967,0.3089,0.9435,0.4374,0.4165,0.2882
17,0.7260,0.7103,1.9476,0.4332,0.4503,0.4332,0.4243,0.0028,0.6478,0.2679,0.3088,0.0689,0.5542,0.3069,0.7144,0.4559,0.5490,0.9927,0.4899,0.4797,0.2014
18,0.7164,0.7148,2.0506,0.4319,0.4632,0.4319,0.4305,0.0036,0.6620,0.3395,0.3505,0.1756,0.5309,0.4092,0.6745,0.5136,0.3867,0.9771,0.3835,0.3831,0.1609
19,0.6638,0.7360,2.0408,0.4404,0.4560,0.4404,0.4341,0.0028,0.6525,0.2847,0.2932,0.1520,0.5819,0.3996,0.6866,0.4746,0.4281,0.9810,0.4633,0.4835,0.2373
20,0.6482,0.7422,2.0377,0.4390,0.4529,0.4390,0.4326,0.0044,0.6820,0.3685,0.3028,0.1455,0.5847,0.3590,0.6694,0.4732,0.2765,0.9849,0.4358,0.4994,0.2326
21,0.6389,0.7462,2.1508,0.4360,0.4537,0.4360,0.4305,0.0064,0.6938,0.3355,0.2830,0.1513,0.5845,0.3441,0.6536,0.4631,0.3813,0.9843,0.4554,0.4967,0.2269
22,0.6300,0.7505,2.2489,0.4276,0.4480,0.4276,0.4227,0.0049,0.7102,0.3669,0.3018,0.1597,0.6056,0.3166,0.6771,0.4456,0.3577,0.9782,0.4558,0.4385,0.2361
