Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5323,0.2022,3.1878,0.1081,0.1317,0.1081,0.0691,0.0817,0.6114,0.6875,0.0015,0.1132,0.0569,0.0178,0.0000,0.1835,0.0000,0.0011,0.8169,0.4444,0.0007,0.5566
2,1.0560,0.3478,3.0051,0.1333,0.1483,0.1333,0.1030,0.0929,0.5664,0.7438,0.0205,0.1662,0.1641,0.0768,0.0126,0.3979,0.0000,0.0000,0.7865,0.3708,0.0268,0.4811
3,0.9294,0.4139,3.0154,0.1768,0.3320,0.1768,0.1694,0.1329,0.6517,0.6750,0.0615,0.1658,0.1685,0.2302,0.0227,0.4522,0.0007,0.0011,0.6517,0.4681,0.1152,0.5094
4,0.8529,0.4596,3.0349,0.1810,0.3656,0.1810,0.1772,0.1349,0.6019,0.7125,0.0908,0.1965,0.3217,0.1900,0.0252,0.5349,0.0047,0.0023,0.5708,0.4292,0.1450,0.5566
5,0.8014,0.4876,2.8462,0.2152,0.3689,0.2152,0.2115,0.1626,0.4550,0.6750,0.1142,0.2134,0.3895,0.2750,0.0504,0.5969,0.0194,0.0057,0.7596,0.3667,0.1838,0.4623
6,0.7515,0.5101,3.1298,0.2013,0.3752,0.2013,0.2048,0.1520,0.7251,0.6438,0.1274,0.2257,0.2757,0.2335,0.0378,0.5891,0.0323,0.0068,0.5292,0.3875,0.1610,0.4151
7,0.7049,0.5316,3.0156,0.2080,0.3658,0.2080,0.2068,0.1510,0.4953,0.6000,0.1288,0.2142,0.3501,0.2986,0.1108,0.6047,0.0154,0.0319,0.4955,0.3583,0.1875,0.4245
8,0.6581,0.5533,2.9463,0.2346,0.3749,0.2346,0.2321,0.1788,0.4882,0.6000,0.1303,0.2622,0.3523,0.3346,0.0630,0.6202,0.0226,0.0274,0.6483,0.3597,0.2176,0.4057
9,0.6116,0.5743,3.0067,0.2202,0.3619,0.2202,0.2188,0.1589,0.3555,0.7188,0.1581,0.3071,0.4158,0.2743,0.1108,0.6176,0.0181,0.0764,0.4045,0.3153,0.2193,0.4340
10,0.5666,0.5944,3.1967,0.2290,0.3791,0.2290,0.2326,0.1719,0.3839,0.5563,0.1977,0.2967,0.3917,0.3009,0.0781,0.5891,0.0347,0.1095,0.5090,0.3750,0.1835,0.4340
11,0.5274,0.6109,3.1398,0.2429,0.3967,0.2429,0.2462,0.1845,0.3412,0.5687,0.1874,0.3298,0.4048,0.2789,0.1209,0.6227,0.0340,0.1425,0.5461,0.3486,0.2431,0.4057
12,0.4959,0.6275,3.0988,0.2475,0.3702,0.2475,0.2448,0.1882,0.1801,0.6312,0.1977,0.3536,0.4179,0.2996,0.1637,0.6667,0.0293,0.1699,0.6382,0.3347,0.2062,0.4151
13,0.4635,0.6419,3.1003,0.2657,0.4076,0.2657,0.2645,0.2044,0.1943,0.6937,0.1830,0.4061,0.3479,0.3346,0.1788,0.6124,0.0439,0.2109,0.6640,0.2903,0.2186,0.3774
14,0.4326,0.6587,3.1172,0.2611,0.4006,0.2611,0.2614,0.1964,0.1730,0.5875,0.2020,0.4242,0.3326,0.3223,0.1788,0.5891,0.0410,0.2338,0.5461,0.2750,0.2340,0.3868
15,0.4098,0.6707,3.1968,0.2688,0.3845,0.2688,0.2713,0.2061,0.2085,0.5437,0.2108,0.3900,0.3195,0.3123,0.1688,0.6357,0.0606,0.2520,0.6506,0.3194,0.2380,0.4151
16,0.3849,0.6834,3.3148,0.2630,0.3904,0.2630,0.2690,0.1969,0.1635,0.4875,0.2152,0.4081,0.2604,0.3281,0.2141,0.5969,0.0702,0.3044,0.4281,0.2986,0.2310,0.4057
17,0.3649,0.6942,3.2227,0.2631,0.3968,0.2631,0.2624,0.1980,0.1161,0.5813,0.2211,0.4626,0.2626,0.2474,0.2317,0.6460,0.0563,0.2657,0.5854,0.2417,0.2538,0.4528
18,0.3498,0.7032,3.2307,0.2745,0.3982,0.2745,0.2814,0.2080,0.1232,0.5563,0.2445,0.4069,0.2057,0.3314,0.2897,0.6072,0.0757,0.3044,0.5461,0.2250,0.2675,0.3208
19,0.3290,0.7154,3.1234,0.2752,0.3715,0.2752,0.2779,0.2039,0.1398,0.6062,0.2826,0.4084,0.2123,0.3476,0.2922,0.6150,0.0678,0.2360,0.4708,0.2000,0.2939,0.3962
20,0.3141,0.7228,3.3890,0.2663,0.3941,0.2663,0.2718,0.2002,0.0995,0.5312,0.3250,0.4065,0.2385,0.3418,0.2443,0.6279,0.0700,0.1938,0.5360,0.2194,0.2354,0.3868
21,0.3029,0.7307,3.4363,0.2716,0.3986,0.2716,0.2776,0.2054,0.1327,0.5750,0.2460,0.4234,0.1707,0.3132,0.2695,0.6512,0.0779,0.3067,0.5584,0.2333,0.2444,0.3302
22,0.2880,0.7397,3.2695,0.2836,0.4007,0.2836,0.2877,0.2155,0.1209,0.6687,0.2416,0.4618,0.2079,0.2866,0.2620,0.6382,0.0993,0.2873,0.6371,0.1861,0.2638,0.5000
23,0.2731,0.7485,3.4694,0.2850,0.3999,0.2850,0.2849,0.2166,0.1090,0.5250,0.2928,0.4296,0.1488,0.3343,0.2569,0.6305,0.0762,0.3295,0.6056,0.2458,0.2816,0.2547
24,0.2643,0.7543,3.4484,0.2839,0.4087,0.2839,0.2829,0.2161,0.0853,0.5312,0.2416,0.5010,0.1969,0.3213,0.2418,0.5995,0.0722,0.3569,0.5921,0.1667,0.2544,0.4151
25,0.2554,0.7596,3.4395,0.2921,0.4125,0.2921,0.2964,0.2242,0.0782,0.6188,0.2884,0.5090,0.2276,0.3006,0.2217,0.5995,0.1102,0.3158,0.6270,0.2028,0.2447,0.3585
26,0.2418,0.7688,3.5400,0.2839,0.3925,0.2839,0.2873,0.2135,0.0806,0.5938,0.3324,0.4983,0.1794,0.2815,0.2393,0.6279,0.1040,0.3136,0.5067,0.1708,0.2745,0.2358
27,0.2375,0.7715,3.5524,0.2906,0.4009,0.2906,0.2960,0.2193,0.0687,0.5563,0.2987,0.4653,0.1357,0.3097,0.2972,0.6202,0.1204,0.3387,0.5775,0.1931,0.2668,0.3019
28,0.2281,0.7771,3.6438,0.2804,0.3993,0.2804,0.2880,0.2102,0.0900,0.5625,0.2870,0.4772,0.2144,0.3366,0.2922,0.6072,0.1055,0.2702,0.4225,0.1583,0.2514,0.3396
29,0.2157,0.7855,3.7011,0.2882,0.4084,0.2882,0.3005,0.2222,0.1161,0.6188,0.3016,0.4157,0.1554,0.3320,0.2821,0.6279,0.1283,0.2657,0.6708,0.2111,0.2340,0.4340
30,0.1926,0.7996,3.6723,0.2990,0.4098,0.2990,0.3038,0.2302,0.0735,0.5750,0.3353,0.4933,0.1269,0.3259,0.3048,0.5866,0.1117,0.2976,0.6438,0.1694,0.2812,0.2736
31,0.1840,0.8050,3.7137,0.2978,0.4068,0.2978,0.3001,0.2282,0.0545,0.5625,0.3192,0.5006,0.1335,0.3363,0.3300,0.5995,0.1067,0.2702,0.6416,0.1583,0.2728,0.3679
