Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5695,0.4201,8.8215,0.2450,0.3482,0.2450,0.1314,0.0018,0.3965,0.0112,0.0005,0.0000,0.0000,0.4789,0.3419,0.8813,0.0171,0.0000,0.0133,0.0123,0.0360
2,1.2427,0.5334,4.2523,0.1881,0.3920,0.1881,0.2014,0.0000,0.4619,0.8811,0.0988,0.0536,0.0694,0.0519,0.2251,0.3116,0.0230,0.0000,0.0046,0.2580,0.0899
3,1.1353,0.5693,2.3062,0.2951,0.3284,0.2951,0.2767,0.0101,0.2397,0.0926,0.4419,0.3216,0.1818,0.0835,0.5197,0.3150,0.0196,0.9961,0.0563,0.3923,0.0854
4,1.0769,0.5897,4.0423,0.2768,0.3561,0.2768,0.2290,0.0014,0.1852,0.3528,0.0625,0.0179,0.1812,0.0177,0.6980,0.3267,0.0088,0.0000,0.0133,0.7721,0.0202
5,1.0327,0.6056,10.2710,0.1260,0.5690,0.1260,0.1197,0.0000,0.0697,0.9113,0.0030,0.0060,0.0045,0.0246,0.5192,0.2554,0.0181,0.0000,0.0096,0.0449,0.0472
6,0.9985,0.6175,6.3600,0.2244,0.5169,0.2244,0.1615,0.0005,0.0109,0.0687,0.0946,0.0352,0.0434,0.0230,0.3552,0.0981,0.2996,0.0000,0.0461,0.9698,0.0315
7,0.9695,0.6268,5.4736,0.2621,0.4402,0.2621,0.2142,0.0000,0.0937,0.0668,0.0251,0.0238,0.1304,0.2515,0.7980,0.2807,0.0279,0.0000,0.0931,0.7920,0.0315
8,0.9051,0.6500,12.1877,0.2654,0.4836,0.2654,0.1685,0.0000,0.3856,0.2544,0.0341,0.0130,0.0672,0.0128,0.2507,0.9150,0.0127,0.0000,0.0013,0.0686,0.0382
9,0.8812,0.6580,10.1591,0.2682,0.4667,0.2682,0.1666,0.0000,0.3595,0.1594,0.0170,0.0097,0.0341,0.0984,0.4064,0.9242,0.0083,0.0000,0.0027,0.0896,0.0202
10,0.8600,0.6655,19.9072,0.2256,0.5003,0.2256,0.1342,0.0000,0.1743,0.2870,0.0006,0.0038,0.0016,0.2445,0.3966,0.7769,0.0049,0.0000,0.0000,0.0366,0.0135
11,0.8392,0.6718,14.2687,0.2501,0.4648,0.2501,0.1537,0.0000,0.2680,0.1218,0.0125,0.0081,0.0294,0.2488,0.2621,0.8762,0.0191,0.0000,0.0000,0.0685,0.0225
