Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5504,0.4237,1.9776,0.3352,0.3538,0.3352,0.3265,0.0307,0.1220,0.1096,0.2894,0.1819,0.3830,0.1637,0.7099,0.4981,0.3583,0.7707,0.1001,0.2074,0.0067
2,1.2025,0.5370,1.7763,0.3825,0.4034,0.3825,0.3795,0.0110,0.3551,0.1184,0.4663,0.3221,0.3726,0.2836,0.7025,0.4962,0.2625,0.7019,0.1093,0.3439,0.2135
3,1.1018,0.5724,1.7248,0.3823,0.4070,0.3823,0.3830,0.0477,0.3595,0.2256,0.3334,0.2588,0.4329,0.2558,0.7448,0.3928,0.2561,0.5945,0.1614,0.5262,0.1640
4,1.0437,0.5935,1.7432,0.4058,0.4245,0.4058,0.4071,0.0528,0.3856,0.1842,0.4094,0.2989,0.4417,0.2440,0.7498,0.4387,0.2947,0.6611,0.1779,0.5034,0.2764
5,1.0003,0.6101,1.8352,0.3844,0.4260,0.3844,0.3903,0.0138,0.4924,0.1827,0.3483,0.2371,0.4009,0.3071,0.7251,0.4693,0.2986,0.5498,0.2233,0.4299,0.1775
6,0.9678,0.6225,1.7553,0.4011,0.4247,0.4011,0.4056,0.1528,0.4510,0.1408,0.4632,0.2144,0.4446,0.3226,0.7631,0.3917,0.2928,0.5224,0.2180,0.4939,0.2697
7,0.9422,0.6327,1.8005,0.4049,0.4302,0.4049,0.4056,0.1431,0.4401,0.2164,0.2724,0.2323,0.4664,0.2509,0.7335,0.4015,0.2346,0.5710,0.2134,0.6435,0.2337
8,0.9212,0.6412,1.8825,0.4007,0.4322,0.4007,0.4057,0.1266,0.4292,0.1618,0.3124,0.3270,0.4656,0.2515,0.7645,0.3901,0.2884,0.6342,0.2184,0.5614,0.2809
9,0.8756,0.6583,1.8755,0.4178,0.4353,0.4178,0.4187,0.1472,0.3791,0.1559,0.4015,0.2377,0.4337,0.2461,0.7611,0.4119,0.2605,0.7136,0.2498,0.5964,0.3371
10,0.8608,0.6641,2.0156,0.3949,0.4283,0.3949,0.3989,0.1193,0.4336,0.1788,0.3261,0.1662,0.4411,0.2980,0.7443,0.3568,0.4106,0.5610,0.2860,0.5729,0.3640
11,0.8498,0.6678,2.0087,0.4045,0.4246,0.4045,0.4060,0.1216,0.4183,0.1462,0.3484,0.1375,0.4082,0.2905,0.7404,0.4534,0.4360,0.5973,0.2402,0.5285,0.2674
12,0.8393,0.6724,2.0351,0.4009,0.4185,0.4009,0.4016,0.1161,0.3987,0.1608,0.3156,0.2187,0.4505,0.2734,0.7305,0.4192,0.3226,0.5173,0.2290,0.5761,0.2809
13,0.8319,0.6756,2.0537,0.4058,0.4305,0.4058,0.4105,0.1248,0.4096,0.1569,0.3539,0.2306,0.4254,0.3328,0.7345,0.4249,0.2732,0.5973,0.2876,0.5479,0.3011
14,0.8057,0.6853,2.0955,0.4077,0.4277,0.4077,0.4092,0.1119,0.4357,0.1701,0.3329,0.1825,0.4383,0.2846,0.7330,0.4184,0.3363,0.6152,0.2455,0.5920,0.2629
15,0.7987,0.6883,2.1517,0.3945,0.4214,0.3945,0.3986,0.1289,0.4379,0.1837,0.3531,0.1808,0.4262,0.2889,0.7409,0.3663,0.3446,0.5850,0.2482,0.5705,0.3596
16,0.7925,0.6909,2.2011,0.3986,0.4186,0.3986,0.4029,0.1188,0.4379,0.1935,0.3737,0.2306,0.4301,0.2777,0.7379,0.4113,0.2527,0.5660,0.2290,0.5381,0.2787
17,0.7875,0.6926,2.1689,0.4044,0.4299,0.4044,0.4082,0.1633,0.4248,0.1876,0.3953,0.1992,0.4213,0.2520,0.7458,0.3804,0.3079,0.5621,0.2793,0.5823,0.3326
