Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5071,0.4461,2.0036,0.3383,0.3710,0.3383,0.3354,0.0005,0.3725,0.1321,0.2203,0.1619,0.4458,0.3403,0.7241,0.4455,0.3622,0.4290,0.0659,0.3166,0.3169
2,1.2082,0.5349,1.9167,0.3802,0.4103,0.3802,0.3838,0.0078,0.5643,0.1808,0.3840,0.4358,0.4065,0.2857,0.6749,0.4613,0.0987,0.2964,0.1534,0.4590,0.5865
3,1.1324,0.5619,1.9593,0.4088,0.4230,0.4088,0.4089,0.0321,0.6536,0.2817,0.3598,0.2084,0.4507,0.1755,0.6793,0.4913,0.2820,0.5682,0.2091,0.4878,0.5685
4,1.0977,0.5742,2.0125,0.4069,0.4251,0.4069,0.4086,0.0050,0.5577,0.2812,0.3760,0.1548,0.4644,0.2472,0.7202,0.4677,0.3866,0.6365,0.3125,0.4121,0.4449
5,1.0770,0.5818,2.1211,0.4032,0.4257,0.4032,0.4040,0.0037,0.4946,0.2593,0.3293,0.2101,0.4089,0.3007,0.6897,0.4775,0.2630,0.3143,0.3141,0.5447,0.6787
6,1.0599,0.5871,2.0959,0.4212,0.4436,0.4212,0.4252,0.0353,0.5795,0.1979,0.4252,0.2404,0.4291,0.2290,0.6813,0.5178,0.3749,0.3965,0.3555,0.4665,0.4989
7,1.0523,0.5907,1.9830,0.4145,0.4416,0.4145,0.4193,0.0720,0.5904,0.2934,0.3714,0.2436,0.4615,0.3002,0.7015,0.3942,0.2326,0.3702,0.4168,0.5798,0.5865
8,1.0406,0.5944,2.0765,0.4252,0.4508,0.4252,0.4316,0.0592,0.6057,0.2222,0.3611,0.3671,0.4713,0.2124,0.6842,0.4545,0.3040,0.6119,0.3936,0.5108,0.5865
9,1.0348,0.5968,2.3700,0.3830,0.4136,0.3830,0.3816,0.0165,0.5773,0.1886,0.2697,0.1965,0.4781,0.3783,0.7074,0.3426,0.3363,0.3428,0.2783,0.5847,0.5281
10,1.0310,0.5983,2.3298,0.4149,0.4415,0.4149,0.4151,0.0518,0.5120,0.2383,0.2794,0.0579,0.4819,0.3333,0.6621,0.4349,0.5166,0.3809,0.3025,0.6065,0.6270
11,1.0259,0.6005,2.4196,0.4302,0.4547,0.4302,0.4266,0.0170,0.5251,0.1433,0.4144,0.0049,0.4114,0.2162,0.6640,0.4654,0.7380,0.5324,0.3946,0.5726,0.6180
12,1.0174,0.6030,2.4390,0.4204,0.4434,0.4204,0.4237,0.0174,0.6471,0.2724,0.3983,0.2112,0.4190,0.3863,0.7054,0.4798,0.2498,0.5291,0.3366,0.5166,0.3326
13,0.9785,0.6168,2.6094,0.4328,0.4477,0.4328,0.4312,0.0326,0.5708,0.1979,0.3843,0.1733,0.4069,0.3258,0.7128,0.5079,0.3123,0.5313,0.3227,0.5944,0.5348
14,0.9746,0.6187,2.5570,0.4345,0.4512,0.4345,0.4343,0.0234,0.5730,0.2100,0.3775,0.1960,0.4226,0.3505,0.6867,0.5065,0.3148,0.4838,0.4185,0.5661,0.5461
15,0.9694,0.6202,2.4074,0.4174,0.4453,0.4174,0.4233,0.0417,0.6623,0.2768,0.3392,0.2388,0.4493,0.2841,0.6724,0.4402,0.3543,0.4603,0.3615,0.5647,0.4449
16,0.9685,0.6209,2.5210,0.4338,0.4579,0.4338,0.4386,0.0555,0.6427,0.2675,0.3498,0.3481,0.4507,0.2162,0.6704,0.4866,0.2370,0.5537,0.3588,0.5904,0.4562
17,0.9637,0.6226,2.5988,0.4328,0.4637,0.4328,0.4379,0.0702,0.6209,0.2193,0.4430,0.3563,0.3951,0.1771,0.7158,0.4601,0.3270,0.5570,0.4009,0.5631,0.6517
18,0.9628,0.6228,2.7878,0.4260,0.4473,0.4260,0.4279,0.0596,0.6492,0.2393,0.3381,0.3525,0.4283,0.2814,0.6926,0.4990,0.1642,0.3971,0.4009,0.5762,0.4090
19,0.9604,0.6237,2.8891,0.4345,0.4654,0.4345,0.4358,0.0252,0.5882,0.2329,0.3831,0.2350,0.3928,0.3028,0.7025,0.4654,0.3710,0.4290,0.3887,0.6526,0.5753
20,0.9591,0.6242,2.8250,0.4317,0.4549,0.4317,0.4327,0.0376,0.6231,0.2568,0.3449,0.2918,0.4482,0.4361,0.6714,0.4823,0.1251,0.5453,0.3048,0.6047,0.5551
21,0.9388,0.6319,3.0494,0.4305,0.4496,0.4305,0.4321,0.0606,0.6253,0.2149,0.3723,0.1873,0.4325,0.3569,0.6901,0.5271,0.3368,0.3803,0.2681,0.5623,0.5191
22,0.9361,0.6328,3.2200,0.4275,0.4592,0.4275,0.4312,0.0569,0.5643,0.2827,0.4658,0.3297,0.3772,0.2006,0.6872,0.4875,0.2468,0.3708,0.3121,0.5789,0.6315
23,0.9349,0.6332,3.1402,0.4364,0.4570,0.4364,0.4370,0.0578,0.6122,0.2076,0.3531,0.2593,0.4348,0.3093,0.6828,0.5066,0.3358,0.3697,0.3277,0.6203,0.5978
24,0.9340,0.6336,3.2252,0.4359,0.4540,0.4359,0.4362,0.0711,0.5490,0.2422,0.3997,0.1868,0.4027,0.2156,0.6921,0.5221,0.3509,0.4004,0.3632,0.5926,0.6000
