Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.5964,0.2452,3.1471,0.1587,0.3257,0.1587,0.1143,0.1159,0.4289,0.7500,0.0337,0.3777,0.1532,0.0435,0.0202,0.3152,0.0040,0.0103,0.8337,0.4208,0.0151,0.6415
2,1.0100,0.3985,2.9869,0.1838,0.4584,0.1838,0.1391,0.1354,0.4360,0.7562,0.0644,0.4737,0.1860,0.0542,0.0605,0.4393,0.0002,0.0205,0.7831,0.4431,0.0465,0.6509
3,0.8679,0.4600,2.8192,0.2127,0.3067,0.2127,0.1697,0.1589,0.4052,0.7875,0.1259,0.5021,0.2801,0.1057,0.0579,0.5814,0.0042,0.0730,0.7775,0.4042,0.0917,0.5283
4,0.7891,0.4939,2.9455,0.2197,0.2848,0.2197,0.1805,0.1668,0.4834,0.8438,0.1274,0.5040,0.1860,0.1479,0.0554,0.5762,0.0005,0.0627,0.7719,0.4583,0.0880,0.4623
5,0.7340,0.5169,2.9467,0.2279,0.3238,0.2279,0.1796,0.1747,0.4692,0.8000,0.1523,0.5286,0.2779,0.0924,0.1637,0.5736,0.0065,0.0525,0.8910,0.3583,0.1252,0.5189
6,0.6806,0.5401,2.9601,0.2293,0.3808,0.2293,0.1702,0.1756,0.3649,0.8063,0.1625,0.6488,0.2998,0.0366,0.1385,0.5788,0.0062,0.0810,0.8079,0.4056,0.1078,0.3774
7,0.6431,0.5568,2.9372,0.2806,0.3432,0.2806,0.2584,0.2189,0.4005,0.7875,0.1728,0.4015,0.2713,0.4209,0.0907,0.5814,0.0122,0.1973,0.8157,0.3361,0.2116,0.2925
8,0.6103,0.5713,2.9321,0.2618,0.3504,0.2618,0.2262,0.2019,0.3365,0.8250,0.1962,0.5413,0.3326,0.1472,0.2015,0.6021,0.0122,0.1300,0.8809,0.3042,0.2447,0.2547
9,0.5836,0.5850,2.9588,0.2566,0.3583,0.2566,0.2101,0.1998,0.3768,0.8500,0.2020,0.6292,0.3217,0.1349,0.1990,0.5581,0.0052,0.1106,0.9011,0.2958,0.1600,0.2547
10,0.5601,0.5969,2.9173,0.2612,0.3123,0.2612,0.2429,0.1893,0.3009,0.8063,0.1962,0.5267,0.2954,0.3058,0.1889,0.5788,0.0231,0.1642,0.3607,0.3417,0.2277,0.2547
11,0.5347,0.6081,3.1395,0.2547,0.3594,0.2547,0.2249,0.1936,0.3602,0.7875,0.2182,0.5754,0.2166,0.1680,0.2393,0.5995,0.0213,0.1220,0.7685,0.3097,0.1825,0.1792
12,0.4889,0.6282,3.1171,0.2767,0.3537,0.2767,0.2465,0.2157,0.4100,0.8000,0.2387,0.5750,0.2254,0.2140,0.2040,0.5995,0.0189,0.1653,0.8528,0.3083,0.2210,0.2547
13,0.4663,0.6381,3.2914,0.2617,0.3444,0.2617,0.2217,0.2010,0.2701,0.8187,0.2416,0.6008,0.2604,0.1942,0.1511,0.6124,0.0151,0.1847,0.8978,0.2847,0.1416,0.1792
14,0.4524,0.6451,3.1887,0.2775,0.3352,0.2775,0.2606,0.2078,0.1896,0.8125,0.2269,0.5466,0.3085,0.2688,0.2670,0.5866,0.0345,0.2269,0.6191,0.2653,0.2494,0.2170
15,0.4379,0.6528,3.2891,0.2780,0.3290,0.2780,0.2612,0.2055,0.2180,0.8000,0.2753,0.4580,0.2560,0.4027,0.2065,0.5866,0.0290,0.2098,0.5225,0.2931,0.2293,0.1698
16,0.4160,0.6625,3.4064,0.2795,0.3625,0.2795,0.2519,0.2159,0.3009,0.8125,0.2504,0.5896,0.2560,0.2403,0.2343,0.5917,0.0174,0.1767,0.7461,0.2931,0.2377,0.2170
17,0.4042,0.6696,3.4203,0.2784,0.3555,0.2784,0.2538,0.2115,0.2773,0.8063,0.2328,0.5931,0.2888,0.2539,0.2368,0.5995,0.0184,0.1813,0.6067,0.2569,0.2628,0.2170
18,0.3959,0.6733,3.4067,0.2856,0.3360,0.2856,0.2724,0.2119,0.2773,0.8000,0.2518,0.4687,0.2560,0.3888,0.2242,0.5969,0.0392,0.1836,0.4899,0.2569,0.2829,0.2358
19,0.3871,0.6781,3.4697,0.2791,0.3482,0.2791,0.2586,0.2092,0.1611,0.8125,0.2562,0.5555,0.2801,0.3090,0.2720,0.6072,0.0283,0.1688,0.5854,0.2597,0.2451,0.2170
20,0.3783,0.6837,3.5008,0.2806,0.3449,0.2806,0.2592,0.2113,0.2654,0.8063,0.2548,0.5658,0.2582,0.2795,0.2191,0.6021,0.0251,0.1916,0.6045,0.2514,0.2678,0.1792
21,0.3726,0.6868,3.5887,0.2834,0.3685,0.2834,0.2566,0.2186,0.2820,0.8125,0.2635,0.6188,0.2429,0.2399,0.2720,0.6047,0.0256,0.1767,0.7011,0.2597,0.2407,0.2170
22,0.3680,0.6888,3.6092,0.2821,0.3380,0.2821,0.2661,0.2102,0.2867,0.7937,0.2635,0.5202,0.2626,0.3470,0.2519,0.6072,0.0347,0.1710,0.5135,0.2458,0.2568,0.2170
