Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.8095,0.3133,2.2450,0.2208,0.2812,0.2208,0.1956,0.4170,0.5272,0.0102,0.2292,0.1364,0.3827,0.0144,0.5103,0.0077,0.0635,0.8619,0.4533,0.1443,0.6966
2,1.6199,0.3745,2.0322,0.2638,0.3080,0.2638,0.2457,0.2982,0.2549,0.0390,0.3573,0.4055,0.3657,0.0540,0.6187,0.0991,0.0005,0.8742,0.4076,0.1856,0.4427
3,1.5591,0.3988,2.2528,0.2465,0.3158,0.2465,0.2281,0.3156,0.4466,0.0531,0.2674,0.3709,0.3624,0.0631,0.6335,0.0395,0.0181,0.9262,0.3562,0.2089,0.7618
4,1.5156,0.4122,2.2260,0.2506,0.3015,0.2506,0.2460,0.2009,0.4597,0.0882,0.2025,0.3942,0.4008,0.1873,0.6901,0.1209,0.0235,0.6913,0.2621,0.1941,0.5101
5,1.4776,0.4213,2.1357,0.2688,0.3289,0.2688,0.2629,0.1940,0.2898,0.0780,0.3819,0.4353,0.3004,0.0546,0.5966,0.0779,0.1046,0.8171,0.3950,0.3100,0.2966
6,1.4408,0.4313,2.2137,0.2615,0.3020,0.2615,0.2500,0.3693,0.3508,0.0692,0.2622,0.2214,0.3115,0.1038,0.6266,0.0618,0.1359,0.9441,0.3032,0.3467,0.3775
7,1.4075,0.4394,2.3609,0.2455,0.3131,0.2455,0.2345,0.4335,0.4031,0.1404,0.1294,0.1830,0.4027,0.0530,0.6631,0.0732,0.0347,0.9088,0.3638,0.2302,0.2539
8,1.3749,0.4481,2.2313,0.2712,0.3273,0.2712,0.2603,0.3830,0.4052,0.1033,0.2645,0.3936,0.3763,0.0385,0.6507,0.0649,0.0508,0.8853,0.3098,0.3325,0.2225
9,1.3424,0.4562,2.2791,0.2637,0.3176,0.2637,0.2622,0.2835,0.3420,0.1019,0.3348,0.3465,0.3285,0.1156,0.6635,0.0853,0.1134,0.8479,0.1849,0.2978,0.3258
10,1.2738,0.4750,2.2913,0.2746,0.3170,0.2746,0.2655,0.2775,0.3399,0.1033,0.3864,0.3119,0.3712,0.1124,0.6246,0.0692,0.1471,0.8585,0.2372,0.3068,0.1730
11,1.2431,0.4833,2.3393,0.2768,0.3205,0.2768,0.2743,0.3252,0.2571,0.0853,0.3027,0.2983,0.4152,0.0936,0.6099,0.1152,0.1520,0.8669,0.1885,0.2968,0.1438
12,1.2192,0.4900,2.3821,0.2754,0.2988,0.2754,0.2594,0.0881,0.2985,0.0692,0.2172,0.5160,0.4310,0.1541,0.6842,0.0799,0.1090,0.8255,0.1892,0.3953,0.1483
13,1.1979,0.4961,2.3856,0.2694,0.3214,0.2694,0.2688,0.1312,0.2919,0.1233,0.2860,0.3221,0.3744,0.2178,0.6468,0.0953,0.1647,0.8624,0.2336,0.3128,0.1393
14,1.1761,0.5018,2.4328,0.2825,0.3194,0.2825,0.2840,0.2541,0.2397,0.0892,0.2764,0.2583,0.4219,0.1332,0.6020,0.1314,0.1950,0.8490,0.2087,0.3286,0.1506
15,1.1578,0.5078,2.4529,0.2691,0.3123,0.2691,0.2658,0.1468,0.2767,0.0833,0.2504,0.3487,0.4399,0.1669,0.6261,0.0823,0.2155,0.7153,0.1856,0.3427,0.2067
16,1.1396,0.5129,2.5619,0.2685,0.3304,0.2685,0.2722,0.2959,0.3268,0.0975,0.2931,0.2805,0.3693,0.1482,0.6025,0.0891,0.1637,0.8065,0.1819,0.3431,0.1438
17,1.1223,0.5178,2.5880,0.2622,0.3237,0.2622,0.2660,0.1115,0.2309,0.1243,0.3101,0.3563,0.3821,0.0984,0.6177,0.1010,0.2102,0.7002,0.2068,0.3004,0.1011
18,1.1068,0.5225,2.4844,0.2674,0.3168,0.2674,0.2722,0.1922,0.2375,0.2022,0.2250,0.2296,0.4096,0.1717,0.6345,0.1166,0.1750,0.8613,0.1269,0.3189,0.1146
19,1.0669,0.5342,2.5965,0.2687,0.3107,0.2687,0.2682,0.2133,0.2484,0.1374,0.2680,0.2003,0.3775,0.1610,0.6296,0.1052,0.2190,0.8227,0.1889,0.3366,0.1461
20,1.0543,0.5385,2.5994,0.2675,0.3130,0.2675,0.2665,0.2312,0.2418,0.1096,0.2755,0.2642,0.3861,0.1594,0.6453,0.1053,0.1725,0.8775,0.1531,0.3126,0.1281
21,1.0444,0.5409,2.6344,0.2668,0.3153,0.2668,0.2702,0.2009,0.2288,0.1394,0.2615,0.2144,0.3916,0.2220,0.6133,0.1078,0.1911,0.8132,0.1468,0.3262,0.1461
22,1.0340,0.5446,2.6380,0.2699,0.3189,0.2699,0.2749,0.1711,0.2898,0.1452,0.3078,0.2518,0.3458,0.1466,0.6113,0.1203,0.2322,0.8361,0.1465,0.3323,0.1820
