Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.2986,0.5095,1.7919,0.3983,0.4213,0.3983,0.3975,0.0372,0.4684,0.1442,0.2992,0.1917,0.4182,0.2611,0.7330,0.5045,0.3905,0.6762,0.1617,0.4853,0.1416
2,1.0784,0.5852,1.7774,0.4118,0.4261,0.4118,0.4092,0.0083,0.3529,0.1296,0.3747,0.3709,0.4514,0.2295,0.7138,0.5563,0.2674,0.4446,0.1286,0.4808,0.1596
3,1.0290,0.6032,1.8532,0.3945,0.4195,0.3945,0.3950,0.0610,0.3900,0.2110,0.2147,0.2496,0.4862,0.2349,0.7389,0.4735,0.3441,0.3859,0.1504,0.5530,0.2180
4,1.0011,0.6134,1.7923,0.4068,0.4269,0.4068,0.4089,0.0106,0.3704,0.1681,0.3851,0.2713,0.4956,0.1637,0.7300,0.5028,0.3807,0.3305,0.1832,0.4687,0.2921
5,0.9837,0.6198,1.9312,0.4033,0.4342,0.4033,0.4043,0.0069,0.3769,0.1467,0.3253,0.2588,0.4059,0.2429,0.7507,0.4935,0.3319,0.4799,0.2170,0.5569,0.1955
6,0.9689,0.6257,1.8960,0.4178,0.4470,0.4178,0.4225,0.0445,0.4009,0.1423,0.4158,0.2599,0.4503,0.2836,0.7330,0.4948,0.3421,0.4575,0.1657,0.5367,0.2135
7,0.9588,0.6286,1.8940,0.4112,0.4430,0.4112,0.4119,0.0390,0.3769,0.2066,0.2946,0.2496,0.4772,0.1996,0.7488,0.4401,0.3387,0.3764,0.1846,0.6557,0.3303
8,0.9494,0.6323,1.9278,0.4262,0.4638,0.4262,0.4301,0.0780,0.3943,0.1447,0.4737,0.3877,0.4232,0.1584,0.7296,0.4504,0.2840,0.6829,0.1355,0.6004,0.3596
9,0.9428,0.6350,1.9361,0.4247,0.4565,0.4247,0.4272,0.0394,0.4139,0.1735,0.3566,0.2323,0.4651,0.2365,0.7502,0.4449,0.3773,0.6762,0.1803,0.6310,0.2584
10,0.9365,0.6373,2.0138,0.4148,0.4489,0.4148,0.4184,0.0294,0.3813,0.1949,0.3892,0.1256,0.4900,0.2536,0.7207,0.4210,0.5068,0.4077,0.1918,0.6011,0.2539
11,0.9310,0.6393,2.0696,0.4287,0.4562,0.4287,0.4265,0.0261,0.3813,0.1608,0.4670,0.0845,0.4436,0.1990,0.7044,0.4930,0.5875,0.5464,0.1428,0.5708,0.2202
12,0.9257,0.6411,2.0520,0.4196,0.4461,0.4196,0.4216,0.0202,0.3747,0.1740,0.3715,0.3048,0.4817,0.2081,0.7458,0.4591,0.3739,0.4681,0.1594,0.5983,0.2876
13,0.8844,0.6557,2.1352,0.4342,0.4554,0.4342,0.4362,0.0372,0.3115,0.1720,0.4740,0.2750,0.4541,0.3071,0.7103,0.4976,0.2160,0.6678,0.1862,0.5557,0.3551
14,0.8752,0.6589,2.0908,0.4350,0.4607,0.4350,0.4359,0.0413,0.4466,0.1501,0.4628,0.1581,0.4569,0.2183,0.7345,0.4472,0.4809,0.6057,0.2303,0.6143,0.3303
15,0.8698,0.6610,2.1706,0.4203,0.4503,0.4203,0.4247,0.0445,0.3704,0.1798,0.3521,0.1695,0.4754,0.2702,0.7236,0.4557,0.4717,0.5453,0.1630,0.5986,0.3483
16,0.8664,0.6622,2.2816,0.4248,0.4543,0.4248,0.4298,0.0239,0.4662,0.1813,0.3705,0.3091,0.4613,0.3002,0.7182,0.4932,0.2346,0.5794,0.1746,0.5805,0.3416
17,0.8629,0.6636,2.1740,0.4281,0.4582,0.4281,0.4310,0.0362,0.3813,0.1642,0.3887,0.2978,0.4593,0.1969,0.7483,0.4460,0.3368,0.5515,0.2266,0.6416,0.4517
18,0.8395,0.6722,2.3468,0.4248,0.4520,0.4248,0.4301,0.0656,0.4052,0.1745,0.4486,0.2501,0.4511,0.2402,0.7463,0.4592,0.3060,0.4732,0.2137,0.5882,0.2944
19,0.8344,0.6736,2.3432,0.4303,0.4555,0.4303,0.4292,0.0390,0.3856,0.1462,0.3922,0.1527,0.4503,0.2953,0.7453,0.4616,0.4370,0.4687,0.1962,0.6584,0.4157
20,0.8323,0.6745,2.4159,0.4315,0.4552,0.4315,0.4329,0.0381,0.4052,0.1803,0.4234,0.2740,0.4522,0.3119,0.7389,0.4607,0.2107,0.5968,0.2011,0.6332,0.3371
21,0.8295,0.6761,2.4460,0.4319,0.4627,0.4319,0.4353,0.0532,0.3747,0.1642,0.4314,0.1337,0.4474,0.2975,0.7340,0.4635,0.4472,0.5011,0.2210,0.6229,0.3236
