Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,2.2235,0.2254,2.2991,0.2294,0.2377,0.2294,0.0946,0.0000,0.0000,0.0000,0.0089,0.0000,0.0174,0.0000,0.0000,0.9877,0.0000,0.0000,0.0000,0.0079,0.0000
2,1.8791,0.3406,2.0257,0.2821,0.2872,0.2821,0.1747,0.0000,0.0000,0.5460,0.0387,0.0000,0.0985,0.0000,0.0000,0.8122,0.0017,1.0000,0.0000,0.0246,0.0000
3,1.6352,0.3894,1.9115,0.3209,0.3236,0.3209,0.2418,0.0000,0.0000,0.3088,0.0437,0.0274,0.2542,0.0000,0.0000,0.7740,0.3941,1.0000,0.1230,0.0472,0.0000
4,1.5421,0.4085,1.9260,0.3225,0.3189,0.3225,0.2635,0.0000,0.0000,0.5124,0.0554,0.0637,0.2549,0.1046,0.0685,0.7315,0.0946,1.0000,0.1145,0.1185,0.0000
5,1.4886,0.4182,1.9166,0.3241,0.3227,0.3241,0.2658,0.0000,0.0000,0.4343,0.0620,0.0659,0.1874,0.1494,0.1266,0.7493,0.2010,1.0000,0.2078,0.1185,0.0000
6,1.4388,0.4301,1.8275,0.3471,0.3564,0.3471,0.2903,0.0000,0.0000,0.4380,0.0581,0.0626,0.3237,0.1519,0.0891,0.7559,0.2429,1.0000,0.2099,0.1006,0.0000
7,1.4037,0.4379,1.8756,0.3111,0.3538,0.3111,0.2218,0.0000,0.0000,0.4883,0.0587,0.0483,0.0482,0.1681,0.0917,0.8380,0.2786,1.0000,0.1435,0.0525,0.0000
8,1.4224,0.4324,1.8330,0.3309,0.3438,0.3309,0.2651,0.0000,0.0000,0.4146,0.0554,0.0351,0.2169,0.1719,0.1912,0.7920,0.2429,1.0000,0.2035,0.0631,0.0000
9,1.3885,0.4407,1.8657,0.3375,0.3512,0.3375,0.2832,0.0000,0.0000,0.4307,0.0970,0.1383,0.2711,0.1806,0.1098,0.7462,0.2248,1.0000,0.2488,0.0564,0.0000
10,1.3676,0.4458,1.8798,0.3197,0.3226,0.3197,0.2397,0.0000,0.0000,0.4759,0.0454,0.0187,0.1906,0.1258,0.0930,0.7997,0.2582,1.0000,0.2191,0.0206,0.0000
11,1.3138,0.4576,1.8157,0.3535,0.3548,0.3535,0.3203,0.0000,0.0000,0.3854,0.1806,0.0296,0.2936,0.1220,0.2274,0.6694,0.1942,1.0000,0.3795,0.1573,0.0000
12,1.2794,0.4664,1.7693,0.3590,0.3632,0.3590,0.3364,0.0000,0.0248,0.4467,0.1887,0.0428,0.3434,0.1781,0.1990,0.5935,0.2050,1.0000,0.4113,0.2021,0.0000
13,1.2759,0.4667,1.7417,0.3561,0.3575,0.3561,0.3318,0.0000,0.0311,0.4095,0.1402,0.0055,0.3774,0.2852,0.1628,0.5748,0.1200,1.0000,0.4424,0.2389,0.0000
14,1.2381,0.4745,1.7217,0.3695,0.3689,0.3695,0.3531,0.0000,0.0435,0.4423,0.1929,0.0209,0.3933,0.1743,0.2584,0.5074,0.1772,1.0000,0.4678,0.3169,0.0048
15,1.2216,0.4778,1.7019,0.3643,0.3695,0.3643,0.3511,0.0000,0.0901,0.4336,0.2068,0.0318,0.3626,0.2615,0.1873,0.5019,0.1931,1.0000,0.5032,0.2953,0.0000
16,1.1971,0.4826,1.6648,0.3680,0.3677,0.3680,0.3555,0.0000,0.1118,0.4285,0.2168,0.0187,0.5165,0.2839,0.1279,0.3950,0.1631,1.0000,0.4608,0.3194,0.0048
17,1.1784,0.4855,1.6771,0.3612,0.3673,0.3612,0.3488,0.0000,0.1460,0.4372,0.2281,0.0209,0.4135,0.2540,0.1783,0.4720,0.1376,1.0000,0.4431,0.2764,0.0000
18,1.1642,0.4888,1.6835,0.3710,0.3716,0.3710,0.3641,0.0000,0.1211,0.3912,0.3005,0.0154,0.3731,0.2291,0.1718,0.4119,0.2299,1.0000,0.4495,0.3830,0.0000
19,1.1519,0.4918,1.6400,0.3754,0.3709,0.3754,0.3670,0.0000,0.1522,0.4613,0.2821,0.0176,0.4484,0.1768,0.1938,0.3698,0.2350,1.0000,0.5046,0.3758,0.0000
20,1.1450,0.4936,1.6225,0.3779,0.3720,0.3779,0.3683,0.0000,0.1366,0.4182,0.2969,0.0351,0.4247,0.2702,0.0801,0.3551,0.1852,1.0000,0.4961,0.4489,0.0000
21,1.1355,0.4957,1.6020,0.3795,0.3820,0.3795,0.3697,0.0000,0.1366,0.4139,0.2445,0.0505,0.3819,0.2017,0.1757,0.3815,0.2050,1.0000,0.5406,0.4914,0.0000
22,1.1293,0.4977,1.6214,0.3706,0.3779,0.3706,0.3616,0.0000,0.1304,0.4124,0.2233,0.0340,0.4348,0.2192,0.1705,0.4548,0.1908,1.0000,0.4905,0.3212,0.0000
23,1.1383,0.4974,1.7272,0.3374,0.3660,0.3374,0.2812,0.0000,0.0342,0.4569,0.1113,0.0022,0.2391,0.2802,0.0594,0.7651,0.1721,1.0000,0.3159,0.0566,0.0000
24,1.1552,0.4954,1.7035,0.3571,0.3792,0.3571,0.3275,0.0000,0.1677,0.4139,0.2707,0.0505,0.3864,0.2677,0.1835,0.5900,0.2152,1.0000,0.5039,0.0430,0.0240
25,1.1138,0.5067,1.6777,0.3658,0.3913,0.3658,0.3498,0.0000,0.1770,0.4453,0.2591,0.0681,0.3851,0.2267,0.1499,0.5555,0.2225,1.0000,0.5166,0.1471,0.0096
26,1.1010,0.5117,1.6729,0.3685,0.3941,0.3685,0.3474,0.0000,0.1770,0.4277,0.2588,0.0505,0.4413,0.1943,0.1550,0.5621,0.2112,1.0000,0.4869,0.1180,0.0048
27,1.0981,0.5128,1.6144,0.3732,0.3976,0.3732,0.3595,0.0000,0.1460,0.4489,0.2509,0.0856,0.4250,0.2017,0.1111,0.5447,0.1025,1.0000,0.4933,0.2200,0.0000
28,1.0957,0.5141,1.6276,0.3790,0.3881,0.3790,0.3701,0.0000,0.1615,0.3985,0.2576,0.0648,0.4174,0.1955,0.1421,0.4913,0.1874,1.0000,0.5138,0.3090,0.0000
29,1.0922,0.5156,1.6182,0.3771,0.4010,0.3771,0.3639,0.0000,0.1429,0.4277,0.2143,0.0922,0.4666,0.1818,0.1512,0.5318,0.1427,1.0000,0.5322,0.2300,0.0000
30,1.0912,0.5164,1.6184,0.3756,0.4004,0.3756,0.3624,0.0000,0.1491,0.4358,0.2720,0.1131,0.4606,0.2067,0.1189,0.5241,0.1523,1.0000,0.5201,0.1829,0.0000
31,1.0875,0.5175,1.6273,0.3833,0.3965,0.3833,0.3726,0.0000,0.1491,0.4146,0.2890,0.0538,0.4822,0.2341,0.1072,0.5002,0.1920,1.0000,0.5074,0.2264,0.0096
32,1.0856,0.5184,1.6618,0.3695,0.4057,0.3695,0.3519,0.0000,0.1894,0.4358,0.2070,0.1207,0.4724,0.1806,0.2171,0.5421,0.1099,1.0000,0.5385,0.1623,0.0048
33,1.0835,0.5197,1.6582,0.3756,0.3936,0.3756,0.3615,0.0000,0.1863,0.4219,0.2988,0.0757,0.4994,0.2229,0.1912,0.4852,0.1693,1.0000,0.5110,0.1638,0.0144
34,1.0815,0.5204,1.6063,0.3883,0.3997,0.3883,0.3771,0.0000,0.1739,0.4212,0.2951,0.0933,0.5169,0.2117,0.1111,0.4817,0.2169,1.0000,0.5336,0.2205,0.0000
35,1.0793,0.5212,1.6048,0.3808,0.3952,0.3808,0.3695,0.0000,0.1522,0.4161,0.2772,0.0582,0.4609,0.2117,0.1331,0.5076,0.1110,1.0000,0.5265,0.2520,0.0000
36,1.0788,0.5225,1.6456,0.3776,0.4037,0.3776,0.3610,0.0000,0.1615,0.4431,0.1950,0.0922,0.4854,0.2005,0.0982,0.5421,0.1506,1.0000,0.5201,0.2163,0.0000
37,1.0751,0.5236,1.5986,0.3827,0.3971,0.3827,0.3699,0.0000,0.1335,0.4124,0.2591,0.0724,0.4734,0.2142,0.0749,0.5130,0.1082,1.0000,0.5032,0.2720,0.0000
