Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,2.2669,0.0642,3.6472,0.0090,0.0001,0.0090,0.0002,-0.0032,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2.2489,0.0680,3.6801,0.0129,0.3839,0.0129,0.0077,0.0162,0.0000,1.0000,0.0000,0.0177,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0074,0.0000
3,2.2280,0.0758,3.6590,0.0199,0.3044,0.0199,0.0179,0.0203,0.0000,1.0000,0.0805,0.0330,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0306,0.0084,0.0000
4,2.1452,0.0987,3.7671,0.0457,0.2781,0.0457,0.0390,0.0515,0.0047,0.9875,0.1508,0.0392,0.1335,0.0029,0.0000,0.0000,0.0000,0.0399,0.0000,0.4250,0.0124,0.0000
5,1.9664,0.1409,3.2994,0.0598,0.3012,0.0598,0.0514,0.0548,0.1588,0.8375,0.1025,0.0672,0.2779,0.0019,0.0000,0.0000,0.0012,0.1003,0.0000,0.5000,0.0110,0.0000
6,1.7540,0.1824,3.5488,0.0695,0.2496,0.0695,0.0573,0.0616,0.1256,0.7688,0.1435,0.0726,0.4179,0.0003,0.0000,0.0000,0.0012,0.0935,0.0000,0.5806,0.0218,0.1132
7,1.6082,0.2230,3.3892,0.0771,0.2640,0.0771,0.0679,0.0625,0.3104,0.5000,0.1845,0.1052,0.3107,0.0055,0.0000,0.0000,0.0050,0.1106,0.0000,0.6083,0.0104,0.1509
8,1.4838,0.2522,4.4886,0.0836,0.3278,0.0836,0.0714,0.0747,0.5782,0.5437,0.2577,0.0691,0.4705,0.0071,0.0000,0.0000,0.0037,0.0810,0.0000,0.5361,0.0278,0.0943
9,1.3768,0.2759,2.9298,0.1051,0.3279,0.1051,0.1021,0.0901,0.5782,0.3563,0.2006,0.1647,0.4311,0.0263,0.0000,0.0026,0.0114,0.1619,0.0000,0.6375,0.0221,0.1132
10,1.2854,0.3056,3.2822,0.1037,0.3355,0.1037,0.1020,0.0909,0.6256,0.3937,0.2562,0.1547,0.4004,0.0149,0.0000,0.0026,0.0146,0.1300,0.0000,0.6056,0.0271,0.1981
11,1.2320,0.3466,3.2091,0.1597,0.4015,0.1597,0.1513,0.1519,0.6445,0.4062,0.2474,0.1697,0.3982,0.0259,0.0000,0.0052,0.0035,0.0912,1.0000,0.6431,0.0556,0.1698
12,1.1718,0.3823,3.2228,0.1623,0.4148,0.1623,0.1591,0.1545,0.6185,0.4188,0.2416,0.1716,0.4551,0.0243,0.0000,0.0207,0.0084,0.1357,1.0000,0.5611,0.0616,0.2642
13,1.1537,0.3865,3.3138,0.1656,0.3548,0.1656,0.1506,0.1537,0.6327,0.3750,0.2518,0.1770,0.4245,0.0259,0.0000,0.0078,0.0102,0.1574,1.0000,0.6611,0.0475,0.2264
14,1.0965,0.4039,2.8194,0.1763,0.3756,0.1763,0.1714,0.1604,0.6161,0.3688,0.2430,0.2369,0.4376,0.0613,0.0000,0.0129,0.0112,0.1357,1.0000,0.5722,0.0502,0.2547
15,1.0690,0.4148,3.5361,0.1640,0.3451,0.1640,0.1453,0.1514,0.6730,0.4000,0.2738,0.1562,0.4223,0.0464,0.0000,0.0103,0.0022,0.1038,1.0000,0.5708,0.0690,0.2925
16,1.0376,0.4233,3.4022,0.1673,0.3650,0.1673,0.1485,0.1526,0.6801,0.4125,0.2796,0.1628,0.3764,0.0383,0.0000,0.0129,0.0117,0.1790,1.0000,0.5431,0.0656,0.3302
17,1.0617,0.4140,3.9315,0.1631,0.3646,0.1631,0.1405,0.1504,0.5829,0.4188,0.2606,0.1428,0.4726,0.0276,0.0000,0.0103,0.0179,0.1916,1.0000,0.5917,0.0485,0.3302
18,1.0601,0.4158,3.2594,0.1698,0.3741,0.1698,0.1549,0.1563,0.6659,0.4062,0.2796,0.1651,0.4158,0.0454,0.0000,0.0284,0.0156,0.1357,1.0000,0.6083,0.0586,0.2925
19,1.0043,0.4291,3.1639,0.1727,0.3698,0.1727,0.1540,0.1565,0.6256,0.3812,0.2811,0.1816,0.4376,0.0470,0.0000,0.0233,0.0107,0.1300,1.0000,0.6264,0.0676,0.2830
20,0.9947,0.4338,3.1930,0.1731,0.3554,0.1731,0.1558,0.1569,0.6232,0.3937,0.2753,0.1942,0.4354,0.0438,0.0000,0.0362,0.0114,0.1391,1.0000,0.6139,0.0613,0.2925
21,0.9908,0.4341,3.0061,0.1782,0.3762,0.1782,0.1639,0.1602,0.6445,0.3625,0.2562,0.1889,0.4376,0.0684,0.0000,0.0207,0.0112,0.1585,1.0000,0.6097,0.0710,0.3019
22,0.9823,0.4383,3.0188,0.1803,0.3651,0.1803,0.1687,0.1625,0.6422,0.3688,0.2635,0.2100,0.4442,0.0720,0.0000,0.0181,0.0159,0.1471,1.0000,0.6069,0.0569,0.2925
23,0.9708,0.4418,3.1446,0.1793,0.3752,0.1793,0.1627,0.1618,0.6114,0.3812,0.2709,0.1850,0.4573,0.0658,0.0000,0.0388,0.0151,0.1528,1.0000,0.6528,0.0653,0.2736
24,0.9592,0.4457,2.8459,0.1920,0.3581,0.1920,0.1806,0.1703,0.5900,0.3625,0.2796,0.2468,0.4551,0.0989,0.0000,0.0568,0.0097,0.1528,1.0000,0.6208,0.0680,0.2830
25,0.9546,0.4476,3.1142,0.1793,0.3691,0.1793,0.1629,0.1613,0.6351,0.3750,0.2840,0.2004,0.4551,0.0587,0.0000,0.0362,0.0122,0.1460,1.0000,0.6125,0.0686,0.3113
26,0.9444,0.4501,3.3211,0.1771,0.3477,0.1771,0.1522,0.1580,0.6351,0.3750,0.2650,0.1766,0.4530,0.0535,0.0025,0.0388,0.0112,0.1380,1.0000,0.6944,0.0696,0.3019
27,0.9344,0.4549,2.7422,0.2047,0.3429,0.2047,0.1934,0.1768,0.6137,0.3688,0.2811,0.2522,0.4508,0.1615,0.0000,0.0388,0.0151,0.1574,1.0000,0.6389,0.0599,0.2925
28,0.9269,0.4574,2.8011,0.2072,0.3642,0.2072,0.1965,0.1803,0.6493,0.3875,0.2723,0.2534,0.4486,0.1634,0.0000,0.0439,0.0074,0.1596,1.0000,0.6292,0.0800,0.2736
29,0.9124,0.4631,2.7231,0.2064,0.3655,0.2064,0.1957,0.1779,0.6327,0.3812,0.2855,0.2580,0.4420,0.1511,0.0076,0.0465,0.0089,0.1722,1.0000,0.5944,0.0844,0.3113
30,0.9116,0.4649,2.7612,0.2070,0.3472,0.2070,0.1939,0.1775,0.6209,0.3563,0.2767,0.2468,0.4617,0.1543,0.0050,0.0491,0.0057,0.1973,1.0000,0.6194,0.0870,0.3208
31,0.9007,0.4675,3.2285,0.1829,0.3421,0.1829,0.1607,0.1618,0.6043,0.4188,0.2943,0.1939,0.4836,0.0590,0.0050,0.0413,0.0109,0.1574,1.0000,0.6347,0.0814,0.3396
32,0.8942,0.4718,2.7610,0.2056,0.3560,0.2056,0.1927,0.1771,0.6280,0.3937,0.2884,0.2434,0.4420,0.1482,0.0101,0.0775,0.0117,0.1631,1.0000,0.6306,0.0793,0.3585
33,0.8831,0.4759,2.8328,0.1966,0.3427,0.1966,0.1817,0.1706,0.6256,0.4000,0.2987,0.2307,0.4661,0.1057,0.0101,0.0439,0.0099,0.1653,1.0000,0.5986,0.0884,0.3585
34,0.8835,0.4772,2.6639,0.2139,0.3435,0.2139,0.2012,0.1815,0.6540,0.3937,0.2811,0.2530,0.4617,0.1887,0.0101,0.0258,0.0112,0.1688,1.0000,0.6167,0.0837,0.3208
35,0.8764,0.4792,2.5785,0.2239,0.3530,0.2239,0.2111,0.1889,0.6351,0.4000,0.2928,0.2925,0.4770,0.2078,0.0076,0.0388,0.0092,0.1722,1.0000,0.6264,0.0850,0.3019
36,0.8742,0.4805,2.9201,0.1950,0.3448,0.1950,0.1758,0.1682,0.6422,0.4188,0.3031,0.2146,0.4398,0.1012,0.0076,0.0439,0.0169,0.1414,1.0000,0.6556,0.0814,0.3491
37,0.8670,0.4823,2.5031,0.2316,0.3551,0.2316,0.2232,0.1958,0.6280,0.3937,0.2826,0.3109,0.4705,0.2432,0.0101,0.0439,0.0094,0.1767,1.0000,0.5903,0.0880,0.3396
38,0.8646,0.4849,2.6965,0.2115,0.3508,0.2115,0.1956,0.1803,0.6469,0.3937,0.2928,0.2618,0.4486,0.1556,0.0151,0.0336,0.0109,0.1619,1.0000,0.6556,0.0864,0.3585
39,0.8624,0.4860,2.5554,0.2285,0.3494,0.2285,0.2139,0.1905,0.6374,0.4188,0.2972,0.2710,0.4333,0.2315,0.0101,0.0310,0.0141,0.1927,1.0000,0.6556,0.0924,0.3019
40,0.8552,0.4891,2.5439,0.2248,0.3488,0.2248,0.2112,0.1891,0.6374,0.3937,0.2899,0.2944,0.4726,0.2101,0.0151,0.0284,0.0129,0.1642,1.0000,0.6375,0.0807,0.3679
41,0.8558,0.4907,2.4773,0.2392,0.3583,0.2392,0.2228,0.1986,0.6493,0.4062,0.2723,0.3263,0.4639,0.2633,0.0076,0.0439,0.0079,0.1870,1.0000,0.6417,0.0867,0.3019
42,0.8480,0.4934,2.4656,0.2355,0.3568,0.2355,0.2196,0.1957,0.6232,0.3937,0.3089,0.3244,0.4705,0.2351,0.0101,0.0388,0.0094,0.1961,1.0000,0.6278,0.0891,0.3208
43,0.8468,0.4931,2.4775,0.2324,0.3587,0.2324,0.2181,0.1946,0.6114,0.4062,0.2972,0.3075,0.4770,0.2208,0.0176,0.0388,0.0139,0.1881,1.0000,0.6625,0.0887,0.3491
44,0.8466,0.4943,2.7726,0.2060,0.3406,0.2060,0.1871,0.1751,0.6493,0.4250,0.3075,0.2311,0.4486,0.1203,0.0101,0.0336,0.0141,0.1642,1.0000,0.6736,0.1024,0.3679
45,0.8394,0.4975,2.4571,0.2368,0.3562,0.2368,0.2218,0.1958,0.6493,0.4250,0.3016,0.2933,0.4530,0.2494,0.0126,0.0698,0.0129,0.1710,1.0000,0.6472,0.1018,0.3208
46,0.8340,0.5001,2.4184,0.2456,0.3588,0.2456,0.2293,0.2027,0.6540,0.4125,0.3001,0.3148,0.4442,0.2870,0.0151,0.0362,0.0139,0.1813,1.0000,0.6667,0.0931,0.3208
47,0.8362,0.5000,2.4807,0.2351,0.3577,0.2351,0.2207,0.1940,0.6517,0.4125,0.3001,0.2933,0.4464,0.2364,0.0151,0.0465,0.0141,0.1859,1.0000,0.6306,0.1061,0.3491
48,0.8307,0.5017,2.5083,0.2311,0.3568,0.2311,0.2164,0.1919,0.6540,0.4125,0.3133,0.2848,0.4442,0.2182,0.0176,0.0465,0.0141,0.1710,1.0000,0.6500,0.1058,0.3208
49,0.8280,0.5026,2.3663,0.2456,0.3633,0.2456,0.2287,0.2025,0.6351,0.4000,0.2914,0.3562,0.4770,0.2613,0.0227,0.0413,0.0114,0.1710,1.0000,0.6472,0.0934,0.3113
50,0.8313,0.5036,2.5216,0.2275,0.3420,0.2275,0.2107,0.1897,0.6398,0.4250,0.3045,0.2898,0.4661,0.2004,0.0151,0.0439,0.0114,0.1790,1.0000,0.6611,0.0974,0.3396
51,0.8258,0.5042,2.3916,0.2375,0.3516,0.2375,0.2216,0.1961,0.6422,0.4250,0.3089,0.3344,0.4573,0.2315,0.0202,0.0543,0.0122,0.1688,1.0000,0.6292,0.0927,0.3585
52,0.8241,0.5056,2.2804,0.2599,0.3606,0.2599,0.2417,0.2128,0.6398,0.4000,0.2914,0.3927,0.4530,0.3145,0.0176,0.0465,0.0084,0.1950,1.0000,0.6194,0.0984,0.3302
53,0.8193,0.5077,2.4237,0.2390,0.3489,0.2390,0.2222,0.1958,0.6517,0.4375,0.3075,0.3163,0.4595,0.2451,0.0202,0.0413,0.0141,0.1767,1.0000,0.6333,0.0978,0.3396
54,0.8212,0.5068,2.3794,0.2438,0.3588,0.2438,0.2259,0.2001,0.6256,0.4125,0.3001,0.3409,0.4770,0.2552,0.0202,0.0439,0.0124,0.1859,1.0000,0.6403,0.0954,0.3585
55,0.8237,0.5055,2.4730,0.2311,0.3508,0.2311,0.2148,0.1915,0.6588,0.4188,0.3089,0.3021,0.4573,0.2140,0.0151,0.0388,0.0161,0.1562,1.0000,0.6542,0.0944,0.3491
56,0.8204,0.5074,2.4711,0.2346,0.3543,0.2346,0.2180,0.1937,0.6540,0.4250,0.3016,0.3036,0.4442,0.2270,0.0151,0.0465,0.0132,0.1767,1.0000,0.6486,0.1028,0.3396
57,0.8191,0.5088,2.3455,0.2488,0.3570,0.2488,0.2306,0.2041,0.6398,0.4188,0.2987,0.3620,0.4639,0.2708,0.0202,0.0491,0.0122,0.1802,1.0000,0.6417,0.0924,0.3491
58,0.8181,0.5079,2.4557,0.2346,0.3619,0.2346,0.2189,0.1943,0.6398,0.4313,0.3089,0.3106,0.4639,0.2166,0.0202,0.0491,0.0161,0.1767,1.0000,0.6472,0.0998,0.3491
59,0.8149,0.5090,2.3332,0.2540,0.3632,0.2540,0.2329,0.2060,0.6517,0.4250,0.2987,0.3578,0.4683,0.3009,0.0176,0.0362,0.0132,0.1676,1.0000,0.6500,0.0957,0.3396
60,0.8174,0.5088,2.3466,0.2498,0.3643,0.2498,0.2311,0.2047,0.6351,0.4250,0.3031,0.3620,0.4617,0.2714,0.0176,0.0439,0.0122,0.1824,1.0000,0.6472,0.0964,0.3491
61,0.8192,0.5087,2.3513,0.2489,0.3602,0.2489,0.2300,0.2028,0.6422,0.4250,0.3031,0.3451,0.4617,0.2766,0.0176,0.0517,0.0127,0.1733,1.0000,0.6458,0.1004,0.3491
62,0.8149,0.5098,2.3563,0.2472,0.3529,0.2472,0.2278,0.2017,0.6374,0.4250,0.3045,0.3493,0.4661,0.2691,0.0151,0.0439,0.0112,0.1813,1.0000,0.6431,0.0961,0.3396
63,0.8149,0.5101,2.3740,0.2436,0.3534,0.2436,0.2244,0.1994,0.6422,0.4250,0.3060,0.3424,0.4617,0.2494,0.0252,0.0362,0.0114,0.1767,1.0000,0.6542,0.0981,0.3585
64,0.8118,0.5096,2.3361,0.2522,0.3616,0.2522,0.2336,0.2064,0.6327,0.4125,0.3031,0.3704,0.4661,0.2795,0.0227,0.0413,0.0114,0.1836,1.0000,0.6375,0.0981,0.3491
65,0.8152,0.5091,2.3594,0.2466,0.3517,0.2466,0.2280,0.2015,0.6445,0.4250,0.3016,0.3463,0.4595,0.2685,0.0151,0.0388,0.0114,0.1802,1.0000,0.6403,0.0978,0.3396
66,0.8192,0.5084,2.3322,0.2531,0.3575,0.2531,0.2331,0.2061,0.6422,0.4188,0.3016,0.3628,0.4639,0.2925,0.0151,0.0388,0.0122,0.1745,1.0000,0.6431,0.0974,0.3396
67,0.8147,0.5093,2.3221,0.2560,0.3703,0.2560,0.2360,0.2089,0.6374,0.4188,0.2987,0.3701,0.4661,0.2990,0.0202,0.0439,0.0124,0.1813,1.0000,0.6472,0.0978,0.3396
