Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.0196,0.5526,1.5380,0.4189,0.4553,0.4189,0.3974,0.0190,0.5000,0.3526,0.1311,0.1361,0.7223,0.4047,0.2274,0.3940,0.1886,0.9994,0.9392,0.3100,0.0577
2,0.9140,0.5986,1.7474,0.3827,0.4724,0.3827,0.3791,0.0107,0.3199,0.4255,0.1871,0.0373,0.2847,0.5504,0.1124,0.5638,0.1959,0.9983,0.8134,0.2951,0.2212
3,0.8798,0.6166,1.4536,0.4173,0.4724,0.4173,0.4050,0.0095,0.2516,0.3226,0.2087,0.0231,0.4409,0.7385,0.0801,0.3189,0.1353,0.9989,0.8283,0.6704,0.3413
4,0.8586,0.6264,1.7290,0.4121,0.4385,0.4121,0.3948,0.0060,0.5776,0.4759,0.1382,0.0263,0.5331,0.5741,0.1344,0.3434,0.2055,0.9994,0.8862,0.4991,0.3750
5,0.8416,0.6356,1.6267,0.4055,0.4518,0.4055,0.3884,0.0000,0.4565,0.3131,0.1854,0.0483,0.5501,0.8070,0.0401,0.4650,0.1750,1.0000,0.9498,0.2550,0.3173
6,0.8280,0.6427,1.5785,0.4272,0.4517,0.4272,0.4124,0.0155,0.4534,0.4569,0.2016,0.0790,0.6825,0.4122,0.1744,0.3662,0.2350,0.9871,0.9088,0.3570,0.3606
7,0.8160,0.6487,1.4951,0.4285,0.4609,0.4285,0.4092,0.0024,0.4503,0.4365,0.1717,0.0274,0.6437,0.6239,0.1951,0.2928,0.3216,1.0000,0.8926,0.4877,0.3606
8,0.8050,0.6548,1.6599,0.4224,0.4567,0.4224,0.4039,0.0119,0.6677,0.3460,0.1631,0.0911,0.6463,0.6052,0.1977,0.3051,0.2361,1.0000,0.9102,0.4634,0.2981
9,0.7963,0.6593,1.6299,0.4249,0.4593,0.4249,0.4142,0.0107,0.4596,0.3628,0.1785,0.1273,0.4919,0.6189,0.1563,0.3531,0.2508,1.0000,0.8784,0.5702,0.2404
10,0.7863,0.6651,1.6929,0.4190,0.4537,0.4190,0.3946,0.0071,0.6988,0.4299,0.1313,0.0483,0.6801,0.5554,0.1705,0.3388,0.2322,0.9989,0.9152,0.3863,0.3269
11,0.7768,0.6703,1.6868,0.4298,0.4795,0.4298,0.4133,0.0190,0.4845,0.3343,0.1648,0.0154,0.6372,0.7360,0.1705,0.3815,0.1614,0.9989,0.9731,0.4184,0.5817
12,0.7684,0.6749,1.6373,0.4227,0.4459,0.4227,0.4034,0.0083,0.4689,0.4285,0.1509,0.1460,0.6327,0.5729,0.1576,0.4088,0.2503,1.0000,0.9286,0.3273,0.5048
13,0.7587,0.6805,1.5527,0.4270,0.4784,0.4270,0.4002,0.0250,0.5342,0.5153,0.1802,0.0933,0.7943,0.6040,0.1034,0.2412,0.1631,1.0000,0.9286,0.3945,0.6010
14,0.7277,0.6954,1.6411,0.4373,0.4546,0.4373,0.4341,0.0262,0.4255,0.4314,0.3073,0.1175,0.5818,0.5031,0.2455,0.4156,0.2225,1.0000,0.8530,0.3527,0.4087
15,0.7189,0.7010,1.6876,0.4308,0.4580,0.4308,0.4134,0.0143,0.5000,0.4518,0.1675,0.1076,0.6759,0.5716,0.2080,0.3737,0.2559,1.0000,0.9102,0.3621,0.4087
16,0.7106,0.7050,1.5035,0.4310,0.4813,0.4310,0.4113,0.0286,0.5559,0.4723,0.1869,0.1394,0.8154,0.6426,0.1460,0.2948,0.1931,1.0000,0.8431,0.3257,0.4519
17,0.7037,0.7084,1.7064,0.4145,0.4642,0.4145,0.3811,0.0238,0.6553,0.5051,0.0857,0.0274,0.7557,0.5392,0.1731,0.3112,0.1608,0.9994,0.9329,0.3602,0.4038
18,0.6973,0.7123,1.5618,0.4242,0.4476,0.4242,0.4048,0.0429,0.5373,0.4540,0.1962,0.0988,0.6879,0.6015,0.1292,0.2550,0.2265,0.9994,0.9173,0.4526,0.4423
19,0.6780,0.7220,1.5292,0.4197,0.4724,0.4197,0.3920,0.0238,0.6770,0.4978,0.1355,0.0757,0.7726,0.5965,0.1486,0.2693,0.1920,1.0000,0.9258,0.3629,0.5385
20,0.6722,0.7245,1.5891,0.4128,0.4704,0.4128,0.3739,0.0095,0.6398,0.5518,0.1246,0.0483,0.8014,0.6912,0.0775,0.1894,0.1704,0.9972,0.9463,0.4032,0.5625
21,0.6680,0.7267,1.6440,0.4310,0.4544,0.4310,0.4140,0.0310,0.5093,0.4474,0.1662,0.0856,0.6827,0.5255,0.2248,0.3620,0.2684,1.0000,0.8919,0.3795,0.4038
22,0.6632,0.7288,1.6481,0.4265,0.4541,0.4265,0.4055,0.0179,0.5807,0.4825,0.1725,0.0977,0.7205,0.5766,0.1615,0.3196,0.2265,1.0000,0.9180,0.3577,0.4904
