Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,0.7984,0.4880,5.0024,0.1544,0.3787,0.1544,0.1611,0.1281,0.0237,0.9688,0.1537,0.0522,0.0263,0.4063,0.1889,0.0026,0.0486,0.0365,0.0000,0.7875,0.0355,0.9528
2,0.5521,0.5916,2.9332,0.2547,0.3962,0.2547,0.2349,0.1949,0.2275,0.5375,0.2474,0.3804,0.2144,0.6115,0.2418,0.0207,0.0099,0.1494,0.0000,0.7361,0.1018,0.9340
3,0.4894,0.6285,2.5184,0.2914,0.3832,0.2914,0.2595,0.2389,0.7299,0.0813,0.1537,0.3739,0.4683,0.1077,0.0252,0.1654,0.0410,0.3113,1.0000,0.9639,0.3760,0.2170
4,0.4462,0.6518,2.3021,0.3371,0.4269,0.3371,0.2770,0.2857,0.8128,0.1375,0.4451,0.9083,0.2319,0.1255,0.0428,0.1370,0.0191,0.1927,0.9989,0.5750,0.2732,0.3585
5,0.4085,0.6710,2.3347,0.3451,0.4110,0.3451,0.3221,0.2810,0.7820,0.0813,0.2108,0.6284,0.5755,0.2247,0.0605,0.0207,0.1033,0.1893,1.0000,0.8486,0.2913,0.7453
6,0.3803,0.6859,2.6124,0.3630,0.3625,0.3630,0.2979,0.2998,0.2417,0.1250,0.2679,0.6514,0.1532,0.1096,0.0403,0.3540,0.0184,0.5838,1.0000,0.8903,0.5969,0.0000
7,0.3494,0.7034,2.9474,0.3040,0.4355,0.3040,0.2994,0.2608,0.2062,0.7812,0.5007,0.5313,0.3917,0.3181,0.0504,0.1034,0.0630,0.2144,0.9764,0.8486,0.0827,0.8113
8,0.3239,0.7175,2.2998,0.3236,0.3681,0.3236,0.2898,0.2445,0.3602,0.7875,0.3338,0.2223,0.0613,0.7837,0.3552,0.2429,0.0896,0.4014,0.0000,0.7347,0.2226,0.8396
9,0.3019,0.7304,2.6569,0.3354,0.3778,0.3354,0.3353,0.2528,0.2607,0.2562,0.2577,0.2975,0.2166,0.1180,0.3174,0.4238,0.2703,0.4208,0.9989,0.8653,0.3740,0.2830
10,0.2792,0.7448,2.3618,0.3930,0.4514,0.3930,0.3689,0.3178,0.2251,0.1000,0.3367,0.6438,0.0219,0.1514,0.6751,0.2326,0.2120,0.4937,0.9989,0.9889,0.3930,0.7736
11,0.2573,0.7565,2.5233,0.4064,0.4456,0.4064,0.3837,0.3374,0.0853,0.2500,0.2416,0.6626,0.1182,0.4335,0.3275,0.4729,0.1363,0.6921,1.0000,0.8056,0.3080,0.1698
12,0.2369,0.7696,2.8021,0.3916,0.4390,0.3916,0.3728,0.3144,0.0592,0.7125,0.2430,0.3221,0.5711,0.5665,0.1662,0.2119,0.1358,0.3204,1.0000,0.9000,0.4268,0.2925
13,0.2179,0.7814,3.2487,0.3225,0.4371,0.3225,0.2919,0.2508,0.0616,0.9062,0.2211,0.1090,0.3917,0.7338,0.1134,0.5556,0.0779,0.2611,0.0865,0.8972,0.3656,0.7075
14,0.2028,0.7894,2.9016,0.3539,0.4307,0.3539,0.3279,0.2703,0.4076,0.1062,0.5769,0.6161,0.0416,0.0707,0.2141,0.2558,0.2931,0.4299,1.0000,0.8375,0.2092,0.1415
15,0.1891,0.7983,2.5124,0.3873,0.4380,0.3873,0.3634,0.3157,0.2559,0.6500,0.4070,0.7340,0.3348,0.4420,0.2620,0.3514,0.1862,0.2007,1.0000,0.7500,0.1148,0.3585
16,0.1472,0.8247,2.9713,0.3851,0.4212,0.3851,0.3799,0.3077,0.0474,0.5687,0.3909,0.5060,0.1028,0.4043,0.2343,0.7183,0.2534,0.2782,0.9989,0.9083,0.2116,0.5189
17,0.1371,0.8320,2.6583,0.4064,0.4306,0.4064,0.3998,0.3216,0.1043,0.6000,0.2592,0.4161,0.4201,0.4854,0.6549,0.0853,0.2815,0.2885,1.0000,0.8514,0.3144,0.2170
18,0.1328,0.8351,2.6805,0.4011,0.4438,0.4011,0.3689,0.3278,0.1445,0.1375,0.3441,0.5946,0.0656,0.1349,0.4836,0.1473,0.1847,0.6990,1.0000,0.8861,0.5564,0.3113
19,0.1263,0.8392,2.9870,0.4025,0.4289,0.4025,0.3798,0.3312,0.0308,0.0625,0.3587,0.6868,0.2166,0.3288,0.6272,0.0904,0.1261,0.5108,0.8090,0.9250,0.4362,0.6415
20,0.1071,0.8530,2.7914,0.4113,0.4343,0.4113,0.4004,0.3337,0.0237,0.4375,0.3485,0.4019,0.2538,0.3855,0.5945,0.3333,0.1852,0.2759,0.9966,0.9167,0.5678,0.5377
21,0.1034,0.8563,3.0144,0.4053,0.4142,0.4053,0.3887,0.3249,0.1303,0.5563,0.3572,0.4372,0.0306,0.4887,0.5038,0.1912,0.1986,0.6351,1.0000,0.9125,0.3234,0.2264
22,0.1012,0.8574,2.8040,0.3937,0.4102,0.3937,0.3816,0.3133,0.1351,0.2875,0.5286,0.6115,0.2560,0.3372,0.3929,0.1370,0.2467,0.3512,0.9989,0.8986,0.2320,0.5189
23,0.0997,0.8582,2.8067,0.4058,0.4118,0.4058,0.3967,0.3183,0.1872,0.2812,0.3865,0.5063,0.1816,0.2445,0.2947,0.2171,0.3465,0.5872,1.0000,0.9222,0.3291,0.2925
24,0.0895,0.8664,2.8085,0.4173,0.4170,0.4173,0.4104,0.3332,0.0995,0.5062,0.3880,0.3720,0.2473,0.4682,0.1612,0.4832,0.2777,0.4515,1.0000,0.9097,0.3920,0.3113
25,0.0870,0.8692,2.8479,0.4052,0.4114,0.4052,0.3933,0.3243,0.1019,0.5000,0.4758,0.4280,0.2079,0.5175,0.3174,0.3359,0.2117,0.3808,1.0000,0.9111,0.3113,0.3962
26,0.0844,0.8709,2.9390,0.4147,0.4168,0.4147,0.4034,0.3324,0.0640,0.4250,0.4187,0.3651,0.2998,0.5107,0.3350,0.1783,0.2477,0.4424,0.9989,0.9194,0.3850,0.4811
