Mode,Sensor,Model,Accuracy,F1-Score,Precision,Recall,MCC,ROC-AUC,Latency_ms,FAR,Timestamp
category,seismic,InceptionTime,0.6326,0.6413,0.6732,0.6326,0.4481,0.8419,0.1601,,20260418_031006
category,seismic,InceptionTime,0.6189,0.633,0.6682,0.6189,0.4478,0.8711,0.0533,,20260413_154038
category,seismic,InceptionTime,0.617,0.6222,0.6423,0.617,0.4077,0.8398,0.0272,,20260418_072806
category,audio,DetectionCNN,0.5984,0.6112,0.6553,0.5984,0.4276,0.8551,0.0888,,20260413_154040
category,audio,ClassificationLSTM,0.5809,0.5977,0.6427,0.5809,0.4025,0.8375,0.0839,,20260413_154043
category,audio,BiGRU,0.5759,0.5927,0.6442,0.5759,0.4018,0.8381,0.0987,,20260413_154045
category,audio,WaveformClassificationCNN,0.5621,0.5816,0.641,0.5621,0.3871,0.8256,0.0938,,20260413_154042
category,seismic,DetectionCNN,0.5496,0.5669,0.6022,0.5496,0.3453,0.816,0.0471,,20260413_154034
category,audio,BiGRU,0.5307,0.5305,0.5472,0.5307,0.2871,0.7553,0.0953,,20260418_072813
category,audio,DetectionCNN,0.5324,0.5265,0.5994,0.5324,0.3348,0.7836,0.114,,20260418_072808
category,seismic,WaveformClassificationCNN,0.5226,0.5141,0.6348,0.5226,0.3692,0.8277,0.025,,20260418_072804
category,audio,ClassificationLSTM,0.489,0.5039,0.5892,0.489,0.2982,0.7542,0.1303,,20260418_072811
category,audio,WaveformClassificationCNN,0.4924,0.5008,0.5768,0.4924,0.2921,0.7575,0.0973,,20260418_072810
category,audio,ClassificationCNN,0.5291,0.4992,0.5325,0.5291,0.2289,0.7223,0.099,,20260413_154041
category,audio,InceptionTime,0.4675,0.4738,0.4943,0.4675,0.1988,0.6836,0.0915,,20260413_154044
category,audio,BiGRU,0.4335,0.4708,0.6723,0.4335,0.3084,0.7446,0.5421,,20260418_031013
category,seismic,DetectionCNN,0.4653,0.4395,0.5717,0.4653,0.2842,0.7834,0.0252,,20260418_072802
category,seismic,WaveformClassificationCNN,0.4381,0.4203,0.563,0.4381,0.274,0.7889,0.164,,20260418_031004
