Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8505,0.5420,1.1391,0.5570,0.4594,0.5570,0.4877,0.0003,0.0000,0.8686,0.4528
2,0.7340,0.6289,1.0349,0.5844,0.6153,0.5844,0.5413,0.0020,0.0922,0.6187,0.8210
3,0.6870,0.6560,0.9477,0.6154,0.5917,0.6154,0.5708,0.0000,0.1581,0.7823,0.6793
4,0.6597,0.6738,0.9042,0.6346,0.6623,0.6346,0.6039,0.1372,0.1720,0.7589,0.7280
5,0.6335,0.6851,0.8919,0.6435,0.6689,0.6435,0.6155,0.2133,0.1442,0.7600,0.7429
6,0.6206,0.6924,0.9085,0.6474,0.6751,0.6474,0.6153,0.2103,0.1373,0.8158,0.6850
7,0.6036,0.6991,0.9143,0.6387,0.6758,0.6387,0.6019,0.2120,0.1203,0.8663,0.6010
8,0.5884,0.7066,0.8698,0.6596,0.7072,0.6596,0.6312,0.1899,0.1713,0.7542,0.7925
9,0.5755,0.7110,0.8182,0.6697,0.7045,0.6697,0.6446,0.2473,0.1857,0.7847,0.7646
10,0.5619,0.7152,0.8285,0.6651,0.6905,0.6651,0.6387,0.2762,0.1842,0.8353,0.6809
11,0.5532,0.7187,0.8419,0.6639,0.6974,0.6639,0.6341,0.2541,0.1599,0.8450,0.6774
12,0.5453,0.7210,0.8091,0.6726,0.7078,0.6726,0.6453,0.2415,0.1862,0.8203,0.7284
13,0.5348,0.7245,0.8370,0.6681,0.7137,0.6681,0.6411,0.2877,0.1373,0.7607,0.7962
14,0.5277,0.7282,0.7935,0.6766,0.6910,0.6766,0.6581,0.4382,0.1991,0.8040,0.7120
15,0.5203,0.7288,0.7972,0.6764,0.7119,0.6764,0.6546,0.3539,0.1680,0.7595,0.7967
16,0.5116,0.7324,0.7900,0.6842,0.7151,0.6842,0.6629,0.3692,0.1801,0.7853,0.7786
17,0.5052,0.7356,0.7911,0.6830,0.7125,0.6830,0.6638,0.4035,0.1862,0.7615,0.7961
18,0.4971,0.7370,0.7798,0.6789,0.6963,0.6789,0.6651,0.4915,0.2354,0.7747,0.7328
19,0.4897,0.7406,0.7710,0.6866,0.7062,0.6866,0.6668,0.4351,0.2057,0.8300,0.7054
20,0.4840,0.7432,0.7597,0.6847,0.7025,0.6847,0.6712,0.5571,0.2303,0.7876,0.7194
21,0.4788,0.7460,0.7873,0.6850,0.7121,0.6850,0.6641,0.5007,0.1553,0.7921,0.7499
22,0.4701,0.7483,0.7390,0.6932,0.7072,0.6932,0.6780,0.5003,0.2452,0.8231,0.7063
23,0.4628,0.7511,0.7461,0.6893,0.7066,0.6893,0.6732,0.5353,0.2311,0.8315,0.6809
24,0.4584,0.7547,0.7309,0.6940,0.7155,0.6940,0.6761,0.3923,0.2420,0.8197,0.7383
25,0.4559,0.7556,0.7539,0.6902,0.7152,0.6902,0.6727,0.4433,0.2113,0.7798,0.7763
26,0.4461,0.7599,0.7741,0.6906,0.7143,0.6906,0.6698,0.3886,0.2090,0.8280,0.7289
27,0.4227,0.7722,0.7366,0.6969,0.7151,0.6969,0.6839,0.5031,0.2584,0.7834,0.7627
28,0.4160,0.7750,0.7457,0.6982,0.7152,0.6982,0.6840,0.4966,0.2546,0.7985,0.7498
29,0.4104,0.7788,0.7496,0.6946,0.7111,0.6946,0.6804,0.5085,0.2485,0.8057,0.7296
30,0.4045,0.7813,0.7507,0.6973,0.7178,0.6973,0.6841,0.5048,0.2554,0.7797,0.7693
31,0.4002,0.7846,0.7682,0.6949,0.7128,0.6949,0.6793,0.5088,0.2349,0.8062,0.7338
32,0.3928,0.7870,0.7675,0.6945,0.7131,0.6945,0.6812,0.5048,0.2549,0.7843,0.7557
33,0.3884,0.7897,0.7691,0.6959,0.7151,0.6959,0.6803,0.4959,0.2376,0.8070,0.7377
34,0.3848,0.7915,0.7764,0.6878,0.7061,0.6878,0.6716,0.4762,0.2521,0.8368,0.6770
35,0.3677,0.8014,0.7840,0.6948,0.7119,0.6948,0.6805,0.5153,0.2506,0.8067,0.7266
36,0.3608,0.8040,0.7824,0.6942,0.7107,0.6942,0.6812,0.4983,0.2645,0.7885,0.7480
37,0.3569,0.8055,0.7837,0.6945,0.7130,0.6945,0.6815,0.5316,0.2554,0.7830,0.7509
38,0.3536,0.8078,0.7875,0.6936,0.7108,0.6936,0.6818,0.5526,0.2663,0.7911,0.7300
