Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.6459,0.6622,0.8495,0.6324,0.7021,0.6324,0.6079,0.1919,0.1956,0.6467,0.8458
2,0.5588,0.7091,0.7846,0.6837,0.7062,0.6837,0.6709,0.3893,0.3005,0.7766,0.7475
3,0.5330,0.7235,0.7172,0.6902,0.7104,0.6902,0.6770,0.3726,0.3309,0.8190,0.7059
4,0.5171,0.7325,0.7011,0.6958,0.7157,0.6958,0.6857,0.4806,0.3175,0.7956,0.7311
5,0.5058,0.7399,0.8198,0.6818,0.7120,0.6818,0.6710,0.5211,0.2536,0.7508,0.7595
6,0.4964,0.7436,0.7601,0.6929,0.7204,0.6929,0.6749,0.3067,0.3175,0.8718,0.6649
7,0.4874,0.7483,0.7014,0.7021,0.7243,0.7021,0.6911,0.5618,0.2985,0.8278,0.6952
8,0.4814,0.7524,0.7625,0.6977,0.7187,0.6977,0.6836,0.4280,0.2957,0.8289,0.7126
9,0.4727,0.7564,0.7419,0.6989,0.7198,0.6989,0.6885,0.5037,0.3106,0.7887,0.7456
10,0.4654,0.7586,0.7203,0.7059,0.7250,0.7059,0.6947,0.4531,0.3702,0.8701,0.6546
11,0.4600,0.7621,0.6699,0.7143,0.7310,0.7143,0.7072,0.4918,0.3861,0.7987,0.7558
12,0.4584,0.7640,0.7113,0.7088,0.7272,0.7088,0.6954,0.3638,0.3610,0.8488,0.7129
13,0.4499,0.7666,0.7327,0.7061,0.7304,0.7061,0.6921,0.3699,0.3661,0.8744,0.6695
14,0.4434,0.7698,0.7502,0.6989,0.7255,0.6989,0.6842,0.3961,0.3349,0.8789,0.6471
15,0.4415,0.7731,0.7368,0.7070,0.7275,0.7070,0.6948,0.4124,0.3466,0.8377,0.7155
16,0.4064,0.7894,0.8108,0.7064,0.7292,0.7064,0.6953,0.4548,0.3674,0.8629,0.6656
17,0.3972,0.7933,0.7411,0.7151,0.7323,0.7151,0.7087,0.5357,0.3881,0.7972,0.7495
18,0.3866,0.7994,0.7535,0.7117,0.7265,0.7117,0.7060,0.5360,0.4066,0.7878,0.7462
19,0.3790,0.8026,0.7643,0.7137,0.7296,0.7137,0.7052,0.4806,0.3899,0.8230,0.7245
20,0.3723,0.8063,0.7941,0.7106,0.7261,0.7106,0.7026,0.4935,0.3897,0.8201,0.7168
21,0.3627,0.8103,0.8159,0.7148,0.7294,0.7148,0.7079,0.5251,0.3968,0.8117,0.7298
22,0.3401,0.8214,0.8742,0.7140,0.7276,0.7140,0.7060,0.4674,0.4039,0.8176,0.7310
23,0.3313,0.8265,0.8962,0.7148,0.7291,0.7148,0.7077,0.5082,0.4033,0.8140,0.7288
24,0.3225,0.8303,0.9377,0.7122,0.7256,0.7122,0.7043,0.4752,0.4122,0.8325,0.7028
25,0.3158,0.8343,0.9498,0.7142,0.7255,0.7142,0.7079,0.5146,0.4216,0.8221,0.7099
