Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9251,0.4724,1.2524,0.4555,0.2107,0.4555,0.2853,0.0003,0.0000,0.9996,0.0000
2,0.8890,0.4854,1.2387,0.4275,0.3558,0.4275,0.3776,0.0034,0.0000,0.6420,0.3782
3,0.8753,0.4864,1.2188,0.4229,0.3475,0.4229,0.3780,0.0003,0.0000,0.5709,0.4572
4,0.8618,0.5011,1.1729,0.4568,0.3771,0.4568,0.3983,0.0000,0.0000,0.7229,0.3579
5,0.8302,0.5458,1.0580,0.5298,0.5177,0.5298,0.4943,0.0000,0.1784,0.6854,0.5570
6,0.7359,0.6285,0.9629,0.6060,0.6171,0.6060,0.5676,0.0071,0.1910,0.7406,0.6948
7,0.6847,0.6619,0.9394,0.6172,0.6333,0.6172,0.5813,0.0734,0.1979,0.8220,0.6049
8,0.6688,0.6706,0.9370,0.6232,0.6547,0.6232,0.5865,0.0720,0.1533,0.7605,0.7143
9,0.6539,0.6765,0.9386,0.6287,0.6433,0.6287,0.5948,0.1294,0.1756,0.8343,0.6158
10,0.6458,0.6802,0.9028,0.6355,0.6473,0.6355,0.6097,0.1664,0.2002,0.7582,0.7163
11,0.6406,0.6832,0.9281,0.6329,0.6772,0.6329,0.6010,0.1240,0.1644,0.7471,0.7436
12,0.6268,0.6888,0.9021,0.6421,0.6853,0.6421,0.6082,0.1165,0.1644,0.7840,0.7238
13,0.6187,0.6935,0.8700,0.6469,0.6793,0.6469,0.6187,0.1726,0.1756,0.7607,0.7510
14,0.6082,0.6964,0.9068,0.6443,0.6719,0.6443,0.6115,0.1994,0.1629,0.8584,0.6168
15,0.6047,0.6987,0.8922,0.6475,0.6710,0.6475,0.6183,0.2188,0.1685,0.8197,0.6690
16,0.5954,0.7017,0.8790,0.6512,0.6658,0.6512,0.6262,0.2945,0.1756,0.8281,0.6494
17,0.5842,0.7066,0.8234,0.6616,0.6742,0.6616,0.6419,0.2819,0.2174,0.7630,0.7521
18,0.5798,0.7066,0.8525,0.6578,0.6885,0.6578,0.6390,0.3475,0.1756,0.7178,0.7971
19,0.5858,0.7023,0.8680,0.6537,0.6909,0.6537,0.6242,0.2164,0.1459,0.7622,0.7675
20,0.5663,0.7115,0.8171,0.6687,0.6896,0.6687,0.6489,0.3441,0.1926,0.7627,0.7659
21,0.5523,0.7163,0.8483,0.6587,0.6762,0.6587,0.6354,0.4022,0.1733,0.8461,0.6239
22,0.5458,0.7178,0.7949,0.6772,0.6953,0.6772,0.6577,0.3896,0.1918,0.7866,0.7492
23,0.5376,0.7193,0.7787,0.6774,0.6932,0.6774,0.6560,0.3383,0.2062,0.8126,0.7237
24,0.5295,0.7219,0.7899,0.6787,0.6978,0.6787,0.6587,0.4327,0.1832,0.7992,0.7301
25,0.5222,0.7239,0.7835,0.6764,0.6997,0.6764,0.6551,0.3774,0.1789,0.7845,0.7564
