Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9387,0.5401,1.1222,0.5367,0.5719,0.5367,0.4780,0.0340,0.0296,0.8460,0.4082
2,0.7533,0.6105,1.0606,0.5765,0.5938,0.5765,0.5331,0.1053,0.0492,0.7804,0.5819
3,0.6935,0.6352,1.0627,0.5788,0.6344,0.5788,0.5175,0.0785,0.0084,0.8987,0.4554
4,0.6661,0.6453,0.9636,0.5903,0.6320,0.5903,0.5585,0.2401,0.0621,0.6266,0.7828
5,0.6481,0.6564,0.9535,0.6009,0.6286,0.6009,0.5776,0.2602,0.1363,0.6729,0.7263
6,0.6405,0.6604,0.9431,0.6106,0.6388,0.6106,0.5854,0.2599,0.1325,0.7123,0.7044
7,0.6183,0.6730,0.8939,0.6180,0.6493,0.6180,0.5847,0.1450,0.1317,0.7555,0.6960
8,0.6082,0.6789,0.8685,0.6322,0.6558,0.6322,0.6121,0.3050,0.1984,0.7701,0.6609
9,0.6117,0.6760,0.9461,0.6160,0.6494,0.6160,0.5937,0.3037,0.1429,0.6896,0.7357
10,0.6019,0.6837,0.9312,0.6162,0.6319,0.6162,0.5898,0.1855,0.1880,0.7845,0.6277
11,0.5874,0.6890,0.8858,0.6341,0.6690,0.6341,0.6213,0.4052,0.2143,0.6780,0.7568
12,0.6051,0.6831,0.8922,0.6303,0.6583,0.6303,0.6120,0.3278,0.1920,0.7162,0.7215
13,0.5851,0.6892,0.8581,0.6422,0.6679,0.6422,0.6235,0.3271,0.2032,0.7396,0.7217
14,0.5811,0.6916,0.9209,0.6268,0.6539,0.6268,0.6068,0.3325,0.1753,0.7501,0.6723
15,0.5924,0.6893,0.8370,0.6487,0.6737,0.6487,0.6261,0.2143,0.2402,0.7883,0.6919
16,0.5689,0.6990,0.8446,0.6499,0.6703,0.6499,0.6338,0.3444,0.2430,0.7751,0.6820
17,0.5992,0.6850,0.8391,0.6446,0.6651,0.6446,0.6315,0.3665,0.2602,0.7807,0.6498
18,0.5750,0.6957,0.8360,0.6514,0.6836,0.6514,0.6440,0.5526,0.2597,0.7236,0.7001
19,0.5704,0.6963,0.8546,0.6455,0.6709,0.6455,0.6223,0.2371,0.2166,0.7946,0.6770
20,0.5733,0.6975,0.8643,0.6436,0.6776,0.6436,0.6304,0.3821,0.2366,0.6827,0.7760
21,0.5591,0.7025,0.8640,0.6485,0.6733,0.6485,0.6307,0.3767,0.2047,0.7699,0.6889
22,0.5740,0.6946,0.8727,0.6473,0.6741,0.6473,0.6312,0.4331,0.2032,0.7492,0.6998
23,0.5390,0.7132,0.8491,0.6599,0.6825,0.6599,0.6458,0.4358,0.2483,0.7928,0.6652
24,0.5352,0.7151,0.8571,0.6639,0.6879,0.6639,0.6493,0.3988,0.2417,0.7654,0.7218
25,0.5361,0.7151,0.8311,0.6636,0.6913,0.6636,0.6529,0.4351,0.2665,0.7310,0.7491
26,0.5280,0.7193,0.8667,0.6582,0.6873,0.6582,0.6470,0.4623,0.2483,0.7203,0.7472
27,0.5341,0.7169,0.8467,0.6661,0.6877,0.6661,0.6542,0.4178,0.2751,0.7628,0.7167
28,0.5282,0.7197,0.8350,0.6678,0.6884,0.6678,0.6569,0.4484,0.2858,0.7709,0.7010
29,0.5264,0.7206,0.8398,0.6687,0.6956,0.6687,0.6593,0.4698,0.2805,0.7330,0.7489
30,0.5227,0.7219,0.8652,0.6576,0.6897,0.6576,0.6438,0.3424,0.2534,0.7132,0.7801
31,0.5323,0.7200,0.8337,0.6629,0.6851,0.6629,0.6494,0.4144,0.2567,0.7675,0.7081
32,0.5294,0.7198,0.8488,0.6659,0.6884,0.6659,0.6536,0.4535,0.2620,0.7678,0.7057
33,0.5251,0.7216,0.8613,0.6655,0.6908,0.6655,0.6519,0.3804,0.2597,0.7547,0.7386
34,0.5120,0.7276,0.8409,0.6701,0.6899,0.6701,0.6576,0.4290,0.2795,0.7897,0.6899
35,0.5063,0.7295,0.8507,0.6724,0.6925,0.6724,0.6593,0.3984,0.2810,0.7855,0.7080
36,0.5062,0.7309,0.8620,0.6705,0.6913,0.6705,0.6583,0.4137,0.2792,0.7721,0.7172
37,0.5021,0.7310,0.8918,0.6704,0.6893,0.6704,0.6566,0.3886,0.2789,0.7958,0.6920
38,0.4974,0.7338,0.8730,0.6709,0.6915,0.6709,0.6590,0.4141,0.2878,0.7712,0.7166
39,0.4972,0.7344,0.8743,0.6712,0.6907,0.6712,0.6590,0.4351,0.2807,0.7888,0.6924
40,0.4955,0.7357,0.8698,0.6718,0.6893,0.6718,0.6601,0.4372,0.2959,0.7956,0.6803
41,0.4935,0.7358,0.8831,0.6703,0.6913,0.6703,0.6570,0.3801,0.2800,0.7709,0.7255
42,0.4957,0.7361,0.8921,0.6726,0.6914,0.6726,0.6603,0.4253,0.2858,0.7913,0.6938
43,0.4942,0.7365,0.8865,0.6711,0.6920,0.6711,0.6598,0.4344,0.2840,0.7651,0.7216
44,0.4928,0.7378,0.8821,0.6708,0.6910,0.6708,0.6587,0.4062,0.2873,0.7701,0.7198
45,0.4923,0.7379,0.8862,0.6680,0.6921,0.6680,0.6543,0.3516,0.2797,0.7516,0.7502
46,0.4911,0.7373,0.8913,0.6738,0.6959,0.6738,0.6625,0.4372,0.2845,0.7658,0.7274
47,0.4892,0.7380,0.8995,0.6717,0.6941,0.6717,0.6597,0.4090,0.2802,0.7606,0.7360
48,0.4892,0.7393,0.9035,0.6738,0.6938,0.6738,0.6624,0.4507,0.2871,0.7841,0.7003
49,0.4876,0.7396,0.9107,0.6681,0.6889,0.6681,0.6554,0.3906,0.2838,0.7662,0.7218
50,0.4881,0.7395,0.8874,0.6726,0.6922,0.6726,0.6610,0.4382,0.2896,0.7833,0.7000
