Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7905,0.5896,1.0614,0.5355,0.5491,0.5355,0.4793,0.0173,0.0106,0.7805,0.4981
2,0.7383,0.6231,1.0296,0.5739,0.5999,0.5739,0.5115,0.0255,0.0654,0.9138,0.4170
3,0.7000,0.6345,0.8506,0.6161,0.6447,0.6161,0.5843,0.1950,0.1084,0.7427,0.7030
4,0.6099,0.6566,0.8235,0.6343,0.6773,0.6343,0.6032,0.6552,0.0301,0.7778,0.6290
5,0.5682,0.6777,0.7993,0.6439,0.6849,0.6439,0.6171,0.4419,0.1211,0.8364,0.6016
6,0.5408,0.6933,0.7628,0.6493,0.6757,0.6493,0.6241,0.5832,0.1059,0.7983,0.6381
7,0.5265,0.7004,0.7737,0.6567,0.6897,0.6567,0.6321,0.4868,0.1153,0.7549,0.7335
8,0.5116,0.7072,0.7023,0.6725,0.7036,0.6725,0.6480,0.4093,0.1903,0.8861,0.6046
9,0.5021,0.7133,0.6810,0.6776,0.6860,0.6776,0.6604,0.4552,0.2121,0.7796,0.7382
10,0.4942,0.7176,0.7631,0.6772,0.7197,0.6772,0.6535,0.6053,0.1115,0.6979,0.8382
11,0.4891,0.7205,0.7553,0.6723,0.7099,0.6723,0.6438,0.4609,0.0940,0.7682,0.7723
12,0.4806,0.7251,0.6748,0.6963,0.7207,0.6963,0.6747,0.5370,0.1766,0.8476,0.6960
13,0.4780,0.7285,0.7240,0.6911,0.7194,0.6911,0.6626,0.6372,0.0889,0.8221,0.7179
14,0.4716,0.7311,0.6870,0.6967,0.7233,0.6967,0.6719,0.5666,0.1388,0.8479,0.7016
15,0.4693,0.7321,0.7672,0.6789,0.7106,0.6789,0.6559,0.6790,0.1171,0.7338,0.7788
16,0.4647,0.7345,0.6692,0.6972,0.7198,0.6972,0.6779,0.6179,0.1913,0.8391,0.6868
17,0.4625,0.7352,0.6708,0.6973,0.7222,0.6973,0.6768,0.5785,0.1903,0.8662,0.6618
18,0.4592,0.7375,0.6682,0.7037,0.7275,0.7037,0.6802,0.5132,0.1518,0.8166,0.7693
19,0.4550,0.7406,0.7002,0.6918,0.7174,0.6918,0.6718,0.5265,0.1776,0.8015,0.7446
20,0.4545,0.7419,0.7629,0.6794,0.7192,0.6794,0.6533,0.5812,0.1416,0.8848,0.6016
21,0.4535,0.7408,0.6862,0.7028,0.7268,0.7028,0.6790,0.5360,0.1490,0.8347,0.7394
22,0.4467,0.7445,0.6946,0.7054,0.7303,0.7054,0.6835,0.6675,0.1477,0.7947,0.7686
23,0.4460,0.7459,0.6843,0.7011,0.7244,0.7011,0.6779,0.6206,0.1462,0.8337,0.7176
24,0.4431,0.7465,0.7002,0.6911,0.7231,0.6911,0.6696,0.4575,0.1705,0.7592,0.8143
25,0.4415,0.7475,0.7189,0.6986,0.7267,0.6986,0.6724,0.5302,0.1310,0.8539,0.7099
26,0.4384,0.7499,0.6911,0.7023,0.7290,0.7023,0.6794,0.5190,0.1591,0.8287,0.7466
27,0.4251,0.7574,0.6904,0.7041,0.7349,0.7041,0.6840,0.5785,0.1644,0.7561,0.8295
28,0.4237,0.7588,0.6650,0.7141,0.7371,0.7141,0.6943,0.6179,0.1771,0.7908,0.8003
29,0.4169,0.7627,0.6776,0.7105,0.7335,0.7105,0.6897,0.6824,0.1616,0.8115,0.7538
30,0.4153,0.7633,0.6959,0.7053,0.7294,0.7053,0.6843,0.5849,0.1685,0.8044,0.7683
31,0.4123,0.7648,0.6735,0.7180,0.7457,0.7180,0.6980,0.6722,0.1670,0.7730,0.8248
32,0.4113,0.7657,0.6675,0.7126,0.7366,0.7126,0.6935,0.6016,0.1844,0.7772,0.8151
33,0.4081,0.7687,0.6794,0.7095,0.7338,0.7095,0.6876,0.5625,0.1685,0.8350,0.7459
34,0.4061,0.7697,0.7066,0.7078,0.7341,0.7078,0.6844,0.6743,0.1424,0.8386,0.7192
35,0.4024,0.7699,0.6998,0.7024,0.7320,0.7024,0.6795,0.5798,0.1627,0.8666,0.6836
36,0.3906,0.7779,0.6749,0.7118,0.7320,0.7118,0.6921,0.6131,0.1867,0.8284,0.7439
37,0.3909,0.7778,0.6619,0.7158,0.7349,0.7158,0.6968,0.5985,0.1936,0.8090,0.7811
38,0.3904,0.7778,0.6737,0.7144,0.7362,0.7144,0.6948,0.5948,0.1903,0.8282,0.7547
39,0.3843,0.7805,0.6892,0.7119,0.7357,0.7119,0.6903,0.5632,0.1751,0.8435,0.7396
