Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9031,0.5125,1.1615,0.4924,0.4247,0.4924,0.4480,0.0934,0.0000,0.7077,0.4561
2,0.8692,0.5222,1.1414,0.4820,0.4523,0.4820,0.4513,0.3139,0.0000,0.4490,0.7080
3,0.8645,0.5216,1.1612,0.4855,0.4502,0.4855,0.4566,0.3370,0.0000,0.4757,0.6787
4,0.8599,0.5226,1.1157,0.5117,0.4662,0.5117,0.4544,0.2792,0.0000,0.8422,0.2964
5,0.8580,0.5229,1.1513,0.4933,0.4518,0.4933,0.4673,0.3913,0.0000,0.5259,0.6241
6,0.8595,0.5221,1.1621,0.5025,0.4427,0.5025,0.4680,0.1824,0.0000,0.6061,0.5943
7,0.8537,0.5237,1.1311,0.4711,0.4815,0.4711,0.3493,0.3033,0.0000,0.9380,0.0545
8,0.8545,0.5234,1.1167,0.5003,0.4506,0.5003,0.4688,0.2317,0.0000,0.5479,0.6517
9,0.8551,0.5245,1.1259,0.5080,0.4469,0.5080,0.4740,0.2167,0.0000,0.6377,0.5618
10,0.8563,0.5222,1.1154,0.4979,0.4688,0.4979,0.4197,0.2272,0.0000,0.8944,0.2025
11,0.8548,0.5239,1.1451,0.4938,0.4417,0.4938,0.4646,0.4215,0.0000,0.6432,0.4685
12,0.8564,0.5228,1.1306,0.5068,0.4536,0.5068,0.4768,0.2796,0.0000,0.5828,0.6143
13,0.8525,0.5251,1.1424,0.5150,0.4659,0.5150,0.4882,0.4959,0.0000,0.6299,0.5282
14,0.8532,0.5229,1.1241,0.4935,0.4569,0.4935,0.4037,0.1185,0.0000,0.9192,0.1830
15,0.8528,0.5235,1.1423,0.5184,0.4610,0.5184,0.4831,0.3641,0.0000,0.7213,0.4507
16,0.8509,0.5253,1.1387,0.4603,0.4692,0.4603,0.4162,0.3193,0.0000,0.3173,0.8144
17,0.8527,0.5246,1.1204,0.4803,0.4442,0.4803,0.4471,0.2541,0.0000,0.4508,0.7145
18,0.8504,0.5278,1.1357,0.4900,0.4520,0.4900,0.4594,0.2972,0.0000,0.4833,0.6905
19,0.8456,0.5310,1.1317,0.5219,0.4633,0.5219,0.4895,0.3502,0.0000,0.6900,0.5035
20,0.8491,0.5286,1.1412,0.4720,0.4529,0.4720,0.4353,0.2857,0.0000,0.3895,0.7625
21,0.8468,0.5283,1.1300,0.5035,0.4513,0.5035,0.4742,0.3006,0.0000,0.5735,0.6122
22,0.8491,0.5288,1.1389,0.5055,0.4484,0.5055,0.4751,0.2993,0.0000,0.6240,0.5534
23,0.8457,0.5288,1.1304,0.4914,0.4390,0.4914,0.4610,0.2510,0.0000,0.5556,0.6122
24,0.8478,0.5303,1.1244,0.4915,0.4537,0.4915,0.4626,0.3332,0.0000,0.4908,0.6769
25,0.8480,0.5299,1.1371,0.4874,0.4620,0.4874,0.4572,0.3699,0.0000,0.4451,0.7156
26,0.8461,0.5320,1.1504,0.4932,0.4522,0.4932,0.4658,0.3689,0.0000,0.5116,0.6470
27,0.8455,0.5302,1.1192,0.5017,0.4457,0.5017,0.4715,0.2775,0.0000,0.6025,0.5752
