Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9058,0.5189,1.2098,0.4456,0.3906,0.4456,0.4146,0.1080,0.0000,0.4939,0.5950
2,0.8054,0.5764,1.1364,0.4960,0.4230,0.4960,0.4534,0.0543,0.0000,0.6383,0.5638
3,0.7781,0.5936,1.0685,0.5599,0.5821,0.5599,0.4892,0.0000,0.0454,0.9157,0.3869
4,0.7583,0.6110,1.0044,0.5810,0.5864,0.5810,0.5388,0.0357,0.1545,0.8395,0.5025
5,0.7404,0.6257,1.0210,0.5766,0.6061,0.5766,0.5101,0.0014,0.1262,0.9493,0.3661
6,0.7281,0.6341,1.0382,0.5751,0.6299,0.5751,0.5024,0.0010,0.1305,0.9787,0.3233
7,0.7258,0.6350,1.0394,0.5807,0.6126,0.5807,0.5244,0.0265,0.1254,0.9253,0.4030
8,0.7125,0.6407,1.0637,0.5776,0.6453,0.5776,0.5161,0.0489,0.1330,0.9629,0.3387
9,0.6974,0.6466,0.9988,0.5970,0.6157,0.5970,0.5672,0.1461,0.1561,0.8159,0.5524
10,0.6961,0.6483,1.0830,0.5862,0.6309,0.5862,0.5299,0.0448,0.1112,0.9334,0.4080
11,0.6906,0.6498,1.0161,0.5934,0.6137,0.5934,0.5568,0.1022,0.1363,0.8325,0.5369
12,0.6906,0.6502,0.9806,0.5975,0.6222,0.5975,0.5541,0.0917,0.1231,0.8787,0.4956
13,0.6876,0.6511,1.0005,0.5992,0.6268,0.5992,0.5567,0.0822,0.1642,0.8880,0.4781
14,0.6788,0.6554,1.0057,0.5907,0.6449,0.5907,0.5344,0.0744,0.1181,0.9456,0.3965
15,0.6788,0.6555,1.0983,0.5847,0.6384,0.5847,0.5187,0.0312,0.0740,0.9525,0.3938
16,0.6761,0.6566,0.9973,0.6009,0.6262,0.6009,0.5549,0.0788,0.1082,0.8729,0.5201
17,0.6742,0.6564,0.9964,0.6064,0.6384,0.6064,0.5704,0.1912,0.1279,0.8738,0.5031
18,0.6736,0.6570,0.9972,0.6009,0.6300,0.6009,0.5562,0.1019,0.1262,0.8935,0.4829
19,0.6706,0.6580,0.9342,0.6114,0.6311,0.6114,0.5759,0.1420,0.1406,0.8383,0.5696
20,0.6705,0.6587,1.0394,0.6022,0.6319,0.6022,0.5564,0.0995,0.1034,0.8841,0.5060
21,0.6676,0.6584,0.9544,0.6129,0.6353,0.6129,0.5789,0.1855,0.1366,0.8491,0.5515
22,0.6673,0.6581,1.0014,0.6049,0.6442,0.6049,0.5636,0.1916,0.1100,0.8969,0.4747
23,0.6689,0.6580,1.0123,0.6056,0.6425,0.6056,0.5627,0.1454,0.1249,0.9026,0.4752
24,0.6660,0.6589,0.9993,0.6069,0.6455,0.6069,0.5626,0.1287,0.1401,0.9164,0.4603
25,0.6653,0.6598,0.9311,0.6118,0.6447,0.6118,0.5752,0.2072,0.1437,0.8892,0.4900
26,0.6607,0.6619,0.9438,0.6147,0.6348,0.6147,0.5820,0.1885,0.1376,0.8346,0.5743
27,0.6588,0.6630,1.0433,0.6028,0.6482,0.6028,0.5535,0.1267,0.0945,0.9168,0.4625
28,0.6567,0.6642,0.9927,0.6099,0.6476,0.6099,0.5752,0.2870,0.1193,0.8844,0.4802
29,0.6565,0.6638,1.0024,0.6090,0.6499,0.6090,0.5684,0.2181,0.1079,0.8993,0.4778
30,0.6567,0.6643,0.9718,0.6131,0.6394,0.6131,0.5748,0.1695,0.1163,0.8627,0.5445
31,0.6535,0.6655,0.9943,0.6094,0.6539,0.6094,0.5688,0.2204,0.1165,0.9076,0.4651
32,0.6505,0.6669,0.9682,0.6112,0.6503,0.6112,0.5764,0.2677,0.1343,0.8889,0.4780
33,0.6522,0.6649,0.9733,0.6133,0.6503,0.6133,0.5771,0.2391,0.1279,0.8886,0.4926
34,0.6511,0.6660,0.9952,0.6079,0.6506,0.6079,0.5661,0.2140,0.1102,0.9087,0.4629
