Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8073,0.5714,1.0061,0.5960,0.5904,0.5960,0.5460,0.0054,0.1188,0.8356,0.5673
2,0.6754,0.6659,0.9571,0.6068,0.6371,0.6068,0.5701,0.0187,0.1295,0.6581,0.8185
3,0.6353,0.6789,0.8596,0.6340,0.6466,0.6340,0.5999,0.0703,0.1715,0.7475,0.7562
4,0.6048,0.6881,0.8560,0.6363,0.6497,0.6363,0.6038,0.1518,0.1556,0.8235,0.6518
5,0.5869,0.6967,0.8414,0.6414,0.6765,0.6414,0.6182,0.1776,0.1933,0.6837,0.8276
6,0.5702,0.7030,0.8431,0.6449,0.6642,0.6449,0.6240,0.2748,0.1855,0.7577,0.7234
7,0.5582,0.7077,0.8417,0.6543,0.6898,0.6543,0.6196,0.1328,0.1604,0.7995,0.7360
8,0.5432,0.7133,0.8238,0.6514,0.6835,0.6514,0.6350,0.4681,0.1495,0.7663,0.6978
9,0.5353,0.7165,0.7996,0.6607,0.6787,0.6607,0.6336,0.2585,0.1690,0.8222,0.6938
10,0.5231,0.7224,0.7663,0.6728,0.6930,0.6728,0.6504,0.2857,0.2090,0.8045,0.7322
11,0.5136,0.7260,0.7784,0.6631,0.7124,0.6631,0.6429,0.2840,0.1956,0.6928,0.8523
12,0.5059,0.7297,0.7563,0.6783,0.7010,0.6783,0.6657,0.4256,0.2452,0.7502,0.7745
13,0.4959,0.7345,0.7743,0.6763,0.6977,0.6763,0.6549,0.3013,0.2174,0.7974,0.7449
14,0.4878,0.7374,0.7630,0.6796,0.6962,0.6796,0.6630,0.4062,0.2344,0.8065,0.7138
15,0.4814,0.7407,0.7839,0.6757,0.6995,0.6757,0.6565,0.4100,0.1827,0.7715,0.7624
16,0.4730,0.7455,0.7859,0.6766,0.6966,0.6766,0.6566,0.4416,0.1865,0.8220,0.6921
17,0.4463,0.7598,0.7528,0.6830,0.7014,0.6830,0.6697,0.4891,0.2417,0.7905,0.7229
18,0.4362,0.7636,0.7794,0.6788,0.6967,0.6788,0.6629,0.4531,0.2214,0.8046,0.7073
19,0.4268,0.7681,0.8016,0.6832,0.7019,0.6832,0.6659,0.3930,0.2273,0.7866,0.7544
20,0.4213,0.7719,0.7984,0.6812,0.6989,0.6812,0.6654,0.4545,0.2262,0.8018,0.7159
21,0.4141,0.7749,0.7986,0.6809,0.6976,0.6809,0.6638,0.4198,0.2260,0.8099,0.7126
22,0.3984,0.7828,0.8140,0.6850,0.7032,0.6850,0.6695,0.4541,0.2268,0.7916,0.7395
23,0.3881,0.7879,0.8341,0.6797,0.7018,0.6797,0.6636,0.4219,0.2174,0.7717,0.7602
24,0.3848,0.7898,0.8491,0.6816,0.6986,0.6816,0.6654,0.4484,0.2250,0.8030,0.7171
25,0.3794,0.7918,0.8490,0.6822,0.6984,0.6822,0.6688,0.4715,0.2498,0.7919,0.7204
