Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.6197,0.6532,0.9186,0.6589,0.7063,0.6589,0.6295
2,1.00e-03,0.5464,0.6998,0.6646,0.6922,0.6971,0.6922,0.6845
3,1.00e-03,0.5211,0.7138,0.9031,0.6160,0.7183,0.6160,0.5711
4,1.00e-03,0.5024,0.7249,0.7907,0.6972,0.7217,0.6972,0.6769
5,1.00e-03,0.4888,0.7336,0.6516,0.6957,0.7261,0.6957,0.6791
6,1.00e-03,0.4757,0.7414,0.6628,0.7000,0.7431,0.7000,0.6831
7,5.00e-04,0.4485,0.7567,0.6043,0.7235,0.7364,0.7235,0.7134
8,5.00e-04,0.4337,0.7645,0.6375,0.7111,0.7460,0.7111,0.6993
9,5.00e-04,0.4229,0.7703,0.6528,0.7169,0.7311,0.7169,0.7052
10,5.00e-04,0.4129,0.7764,0.6535,0.7233,0.7376,0.7233,0.7131
11,5.00e-04,0.4023,0.7813,0.6516,0.7196,0.7403,0.7196,0.7074
12,2.50e-04,0.3737,0.7977,0.6513,0.7185,0.7453,0.7185,0.7092
13,2.50e-04,0.3624,0.8031,0.6341,0.7261,0.7321,0.7261,0.7205
14,2.50e-04,0.3513,0.8084,0.7640,0.7176,0.7346,0.7176,0.7051
15,2.50e-04,0.3400,0.8151,0.8172,0.7013,0.7458,0.7013,0.6888
16,2.50e-04,0.3297,0.8196,0.7535,0.7165,0.7295,0.7165,0.7077
17,2.50e-04,0.3210,0.8251,0.6958,0.7194,0.7278,0.7194,0.7147
18,1.25e-04,0.2954,0.8379,0.7741,0.7187,0.7340,0.7187,0.7107
19,1.25e-04,0.2865,0.8425,0.8907,0.7143,0.7339,0.7143,0.7045
20,1.25e-04,0.2791,0.8459,0.9135,0.7148,0.7319,0.7148,0.7057
21,1.25e-04,0.2726,0.8494,0.8443,0.7127,0.7170,0.7127,0.7066
