Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.7074,0.5874,0.7973,0.6130,0.6361,0.6130,0.5868
2,1.00e-03,0.6058,0.6637,0.8234,0.5900,0.6117,0.5900,0.5385
3,1.00e-03,0.5783,0.6834,0.7445,0.6547,0.6517,0.6547,0.6285
4,1.00e-03,0.5602,0.6939,0.7425,0.6550,0.6691,0.6550,0.6317
5,1.00e-03,0.5479,0.7011,0.7030,0.6827,0.7026,0.6827,0.6618
6,1.00e-03,0.5361,0.7069,0.7108,0.6826,0.7032,0.6826,0.6666
7,1.00e-03,0.5283,0.7112,0.7295,0.6575,0.6719,0.6575,0.6382
8,1.00e-03,0.5200,0.7151,0.7328,0.6731,0.6970,0.6731,0.6502
9,1.00e-03,0.5135,0.7200,0.6579,0.6964,0.7198,0.6964,0.6832
10,1.00e-03,0.5082,0.7236,0.6656,0.6977,0.7120,0.6977,0.6833
11,1.00e-03,0.5031,0.7263,0.6616,0.6932,0.7085,0.6932,0.6803
12,1.00e-03,0.4962,0.7292,0.8600,0.6390,0.7080,0.6390,0.6157
13,1.00e-03,0.4928,0.7309,0.6506,0.6988,0.7064,0.6988,0.6916
14,1.00e-03,0.4889,0.7334,0.6513,0.6976,0.7106,0.6976,0.6845
15,1.00e-03,0.4828,0.7363,0.6711,0.6734,0.7040,0.6734,0.6605
16,1.00e-03,0.4776,0.7395,0.6805,0.6803,0.7198,0.6803,0.6653
17,1.00e-03,0.4741,0.7417,0.6542,0.7018,0.7317,0.7018,0.6897
18,5.00e-04,0.4576,0.7511,0.6498,0.6980,0.7264,0.6980,0.6894
19,5.00e-04,0.4549,0.7530,0.6312,0.7133,0.7231,0.7133,0.7016
20,5.00e-04,0.4495,0.7558,0.6448,0.7090,0.7181,0.7090,0.6977
21,5.00e-04,0.4469,0.7576,0.6317,0.7139,0.7246,0.7139,0.7028
22,5.00e-04,0.4443,0.7588,0.6491,0.7144,0.7195,0.7144,0.7053
23,5.00e-04,0.4415,0.7594,0.6245,0.7135,0.7253,0.7135,0.7036
24,5.00e-04,0.4384,0.7618,0.6770,0.7088,0.7182,0.7088,0.6972
25,5.00e-04,0.4358,0.7633,0.6583,0.7092,0.7265,0.7092,0.6976
26,5.00e-04,0.4327,0.7655,0.6443,0.7156,0.7292,0.7156,0.7042
27,2.50e-04,0.4220,0.7708,0.6629,0.7113,0.7218,0.7113,0.7000
28,2.50e-04,0.4196,0.7716,0.6573,0.7122,0.7243,0.7122,0.7020
29,2.50e-04,0.4168,0.7724,0.6845,0.7113,0.7303,0.7113,0.6994
30,2.50e-04,0.4150,0.7739,0.6515,0.7162,0.7295,0.7162,0.7066
