Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.5925,0.6746,0.9740,0.5877,0.6449,0.5877,0.5272
2,1.00e-03,0.5465,0.7010,0.8650,0.6281,0.6626,0.6281,0.5922
3,1.00e-03,0.5325,0.7093,0.7038,0.6680,0.6712,0.6680,0.6418
4,1.00e-03,0.5206,0.7159,0.7417,0.6525,0.6698,0.6525,0.6241
5,1.00e-03,0.5096,0.7212,0.9413,0.6175,0.6563,0.6175,0.5770
6,1.00e-03,0.5037,0.7254,0.6692,0.6896,0.6934,0.6896,0.6730
7,1.00e-03,0.4958,0.7298,0.6573,0.6888,0.6926,0.6888,0.6767
8,1.00e-03,0.4914,0.7327,0.7114,0.6617,0.6973,0.6617,0.6465
9,1.00e-03,0.4843,0.7360,0.6295,0.7095,0.7201,0.7095,0.6926
10,1.00e-03,0.4787,0.7398,0.6460,0.7067,0.7411,0.7067,0.6926
11,1.00e-03,0.4758,0.7415,0.6862,0.6777,0.7494,0.6777,0.6585
12,1.00e-03,0.4694,0.7450,0.5901,0.7279,0.7302,0.7279,0.7201
13,1.00e-03,0.4662,0.7470,0.6260,0.7122,0.7271,0.7122,0.6953
14,1.00e-03,0.4613,0.7488,0.5976,0.7221,0.7312,0.7221,0.7094
15,1.00e-03,0.4567,0.7521,0.6053,0.7154,0.7381,0.7154,0.7124
16,1.00e-03,0.4549,0.7537,0.6531,0.6988,0.7111,0.6988,0.6917
17,5.00e-04,0.4390,0.7617,0.5972,0.7223,0.7466,0.7223,0.7080
18,5.00e-04,0.4342,0.7649,0.5973,0.7307,0.7411,0.7307,0.7181
19,5.00e-04,0.4315,0.7664,0.5802,0.7328,0.7430,0.7328,0.7201
20,5.00e-04,0.4297,0.7674,0.6050,0.7204,0.7550,0.7204,0.7076
