Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.7433,0.5136,0.8738,0.5243,0.5007,0.5243,0.5023
2,1.00e-03,0.7095,0.5401,0.8547,0.5435,0.5224,0.5435,0.5237
3,1.00e-03,0.6990,0.5519,0.8464,0.5446,0.5206,0.5446,0.5258
4,1.00e-03,0.6889,0.5626,0.8349,0.5572,0.5418,0.5572,0.5322
5,1.00e-03,0.6812,0.5674,0.8367,0.5660,0.5542,0.5660,0.5452
6,1.00e-03,0.6779,0.5708,0.8210,0.5641,0.5401,0.5641,0.5368
7,1.00e-03,0.6706,0.5764,0.8112,0.5677,0.5473,0.5677,0.5453
8,1.00e-03,0.6685,0.5769,0.9268,0.5157,0.5637,0.5157,0.4471
9,1.00e-03,0.6664,0.5795,0.8134,0.5746,0.5432,0.5746,0.5576
10,1.00e-03,0.6633,0.5805,0.8482,0.5386,0.5572,0.5386,0.4894
11,1.00e-03,0.6615,0.5833,0.8050,0.5738,0.5426,0.5738,0.5571
12,1.00e-03,0.6605,0.5837,0.8144,0.5719,0.5737,0.5719,0.5454
13,1.00e-03,0.6578,0.5848,0.7980,0.5847,0.5619,0.5847,0.5666
14,1.00e-03,0.6564,0.5865,0.8041,0.5793,0.5635,0.5793,0.5574
15,1.00e-03,0.6546,0.5883,0.8065,0.5771,0.5719,0.5771,0.5513
16,1.00e-03,0.6530,0.5905,0.8432,0.5435,0.5806,0.5435,0.4937
17,1.00e-03,0.6522,0.5909,0.7959,0.5897,0.5700,0.5897,0.5708
18,1.00e-03,0.6505,0.5924,0.8063,0.5729,0.5483,0.5729,0.5397
19,1.00e-03,0.6481,0.5944,0.8295,0.5441,0.5630,0.5441,0.4972
20,1.00e-03,0.6485,0.5940,0.8057,0.5755,0.5539,0.5755,0.5468
21,1.00e-03,0.6475,0.5961,0.7936,0.5851,0.5706,0.5851,0.5617
22,5.00e-04,0.6417,0.5991,0.7949,0.5924,0.5716,0.5924,0.5731
23,5.00e-04,0.6396,0.6013,0.7947,0.5901,0.5826,0.5901,0.5669
24,5.00e-04,0.6407,0.6022,0.7916,0.5906,0.5795,0.5906,0.5679
25,5.00e-04,0.6381,0.6041,0.7918,0.5911,0.5755,0.5911,0.5700
26,5.00e-04,0.6381,0.6034,0.7952,0.5913,0.5693,0.5913,0.5697
27,2.50e-04,0.6343,0.6070,0.7924,0.5921,0.5832,0.5921,0.5688
28,2.50e-04,0.6342,0.6063,0.7852,0.5969,0.5702,0.5969,0.5788
29,2.50e-04,0.6328,0.6074,0.7836,0.5981,0.5730,0.5981,0.5789
30,2.50e-04,0.6335,0.6074,0.7817,0.6003,0.5736,0.6003,0.5813
