Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.7709,0.5125,0.9421,0.4884,0.4898,0.4884,0.4175
2,1.00e-03,0.7539,0.5214,0.9202,0.5275,0.5014,0.5275,0.5035
3,1.00e-03,0.7534,0.5191,0.9143,0.5281,0.4995,0.5281,0.5127
4,1.00e-03,0.7521,0.5226,0.9195,0.5305,0.5010,0.5305,0.5112
5,1.00e-03,0.7530,0.5228,0.9310,0.4867,0.4997,0.4867,0.3888
6,1.00e-03,0.7527,0.5221,0.9246,0.5209,0.5070,0.5209,0.4867
7,1.00e-03,0.7518,0.5221,0.9157,0.5243,0.5030,0.5243,0.4992
8,5.00e-04,0.7469,0.5262,0.9166,0.5276,0.5054,0.5276,0.5028
9,5.00e-04,0.7467,0.5266,0.9144,0.5280,0.5044,0.5280,0.5041
10,5.00e-04,0.7453,0.5281,0.9326,0.5054,0.5071,0.5054,0.4469
11,5.00e-04,0.7456,0.5268,0.9206,0.5099,0.5073,0.5099,0.4603
