Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.6987,0.5627,0.8345,0.5803,0.5614,0.5803,0.5593
2,1.00e-03,0.6642,0.5847,0.8008,0.5929,0.5667,0.5929,0.5730
3,1.00e-03,0.6500,0.5942,0.7739,0.6018,0.5814,0.6018,0.5830
4,1.00e-03,0.6404,0.6002,0.7699,0.6065,0.5835,0.6065,0.5877
5,1.00e-03,0.6341,0.6073,0.7729,0.6106,0.5985,0.6106,0.5888
6,1.00e-03,0.6289,0.6106,0.7604,0.6138,0.5895,0.6138,0.5951
7,1.00e-03,0.6240,0.6132,0.7628,0.6185,0.5974,0.6185,0.5992
8,1.00e-03,0.6199,0.6171,0.7531,0.6225,0.6023,0.6225,0.6024
9,1.00e-03,0.6155,0.6210,0.7548,0.6218,0.6039,0.6218,0.6013
10,1.00e-03,0.6137,0.6228,0.7651,0.6203,0.5956,0.6203,0.6001
11,1.00e-03,0.6106,0.6255,0.7578,0.6237,0.6062,0.6237,0.6029
12,1.00e-03,0.6082,0.6267,0.7470,0.6239,0.6051,0.6239,0.6033
13,1.00e-03,0.6056,0.6279,0.7560,0.6226,0.6044,0.6226,0.6020
14,1.00e-03,0.6022,0.6318,0.7490,0.6256,0.6014,0.6256,0.6060
15,1.00e-03,0.5996,0.6331,0.7477,0.6245,0.6001,0.6245,0.6055
16,1.00e-03,0.5969,0.6354,0.7531,0.6223,0.6032,0.6223,0.6009
17,1.00e-03,0.5935,0.6389,0.7524,0.6266,0.6007,0.6266,0.6071
18,1.00e-03,0.5908,0.6398,0.7466,0.6297,0.6046,0.6297,0.6104
19,1.00e-03,0.5885,0.6417,0.7484,0.6306,0.6034,0.6306,0.6114
20,1.00e-03,0.5846,0.6441,0.7482,0.6254,0.6037,0.6254,0.6058
21,1.00e-03,0.5824,0.6477,0.7507,0.6276,0.6051,0.6276,0.6083
22,1.00e-03,0.5798,0.6493,0.7495,0.6302,0.6036,0.6302,0.6110
23,1.00e-03,0.5758,0.6513,0.7674,0.6185,0.5986,0.6185,0.5999
24,5.00e-04,0.5625,0.6621,0.7556,0.6312,0.6064,0.6312,0.6121
25,5.00e-04,0.5574,0.6652,0.7652,0.6178,0.6021,0.6178,0.5955
26,5.00e-04,0.5524,0.6684,0.7612,0.6267,0.6016,0.6267,0.6077
27,5.00e-04,0.5475,0.6719,0.7728,0.6231,0.6056,0.6231,0.6027
28,5.00e-04,0.5444,0.6738,0.7733,0.6227,0.6005,0.6227,0.6034
29,2.50e-04,0.5348,0.6808,0.7822,0.6250,0.6002,0.6250,0.6061
30,2.50e-04,0.5296,0.6844,0.7918,0.6233,0.5984,0.6233,0.6042
