Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.7049,0.5595,0.8432,0.5534,0.5346,0.5534,0.5292
2,1.00e-03,0.6721,0.5767,0.8159,0.5688,0.5528,0.5688,0.5372
3,1.00e-03,0.6599,0.5864,0.7906,0.5957,0.5727,0.5957,0.5749
4,1.00e-03,0.6517,0.5915,0.7919,0.5888,0.5707,0.5888,0.5661
5,1.00e-03,0.6464,0.5946,0.7828,0.5991,0.5755,0.5991,0.5802
6,1.00e-03,0.6413,0.5987,0.7925,0.5939,0.5706,0.5939,0.5737
7,1.00e-03,0.6359,0.6022,0.7867,0.5994,0.5908,0.5994,0.5728
8,1.00e-03,0.6333,0.6053,0.7656,0.6125,0.5937,0.6125,0.5917
9,1.00e-03,0.6308,0.6073,0.7808,0.6015,0.5846,0.6015,0.5763
10,1.00e-03,0.6293,0.6085,0.7629,0.6150,0.5926,0.6150,0.5951
11,1.00e-03,0.6252,0.6121,0.7645,0.6148,0.5931,0.6148,0.5940
12,1.00e-03,0.6240,0.6140,0.7634,0.6081,0.5945,0.6081,0.5842
13,1.00e-03,0.6216,0.6157,0.7540,0.6191,0.6005,0.6191,0.5984
14,1.00e-03,0.6198,0.6171,0.7603,0.6121,0.6038,0.6121,0.5880
15,1.00e-03,0.6185,0.6181,0.7710,0.6119,0.5915,0.6119,0.5917
16,1.00e-03,0.6180,0.6195,0.7487,0.6231,0.5991,0.6231,0.6035
17,1.00e-03,0.6150,0.6208,0.7419,0.6217,0.6034,0.6217,0.6005
18,1.00e-03,0.6137,0.6219,0.7482,0.6224,0.6026,0.6224,0.6021
19,1.00e-03,0.6127,0.6235,0.7439,0.6260,0.6021,0.6260,0.6062
20,1.00e-03,0.6104,0.6243,0.7474,0.6169,0.6040,0.6169,0.5946
21,1.00e-03,0.6094,0.6241,0.7523,0.6228,0.5968,0.6228,0.6039
22,1.00e-03,0.6102,0.6252,0.7431,0.6278,0.6037,0.6278,0.6079
23,1.00e-03,0.6089,0.6256,0.7462,0.6233,0.6036,0.6233,0.6024
24,1.00e-03,0.6060,0.6275,0.7489,0.6255,0.6003,0.6255,0.6064
25,1.00e-03,0.6057,0.6291,0.7401,0.6275,0.6028,0.6275,0.6073
26,1.00e-03,0.6065,0.6285,0.7396,0.6285,0.6027,0.6285,0.6092
27,1.00e-03,0.6041,0.6297,0.7466,0.6210,0.6064,0.6210,0.6000
28,1.00e-03,0.6037,0.6308,0.7369,0.6299,0.6055,0.6299,0.6100
29,1.00e-03,0.6025,0.6315,0.7329,0.6311,0.6071,0.6311,0.6110
30,1.00e-03,0.6024,0.6306,0.7373,0.6320,0.6045,0.6320,0.6128
