Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0491,0.8378,0.4352,0.8061,0.9403,0.8061,0.8477
2,1.00e-03,0.0351,0.8877,0.2766,0.8929,0.9478,0.8929,0.9101
3,1.00e-03,0.0307,0.9020,0.5744,0.7950,0.9416,0.7950,0.8398
4,1.00e-03,0.0272,0.9129,0.1899,0.9230,0.9491,0.9230,0.9317
5,1.00e-03,0.0246,0.9217,0.2462,0.9141,0.9515,0.9141,0.9258
6,1.00e-03,0.0227,0.9280,0.3412,0.8969,0.9491,0.8969,0.9132
7,1.00e-03,0.0210,0.9338,0.3641,0.8933,0.9502,0.8933,0.9108
8,1.00e-03,0.0196,0.9386,0.2819,0.8814,0.9473,0.8814,0.9019
9,5.00e-04,0.0155,0.9517,0.2195,0.9273,0.9540,0.9273,0.9358
10,5.00e-04,0.0139,0.9573,0.2130,0.9317,0.9534,0.9317,0.9388
11,5.00e-04,0.0127,0.9614,0.2165,0.9364,0.9528,0.9364,0.9420
12,5.00e-04,0.0117,0.9646,0.2194,0.9332,0.9536,0.9332,0.9399
13,5.00e-04,0.0109,0.9673,0.2193,0.9400,0.9546,0.9400,0.9449
14,5.00e-04,0.0099,0.9705,0.2419,0.9371,0.9536,0.9371,0.9427
15,5.00e-04,0.0093,0.9722,0.2259,0.9493,0.9534,0.9493,0.9510
16,5.00e-04,0.0087,0.9742,0.2462,0.9365,0.9532,0.9365,0.9422
17,5.00e-04,0.0080,0.9762,0.2669,0.9382,0.9544,0.9382,0.9437
18,5.00e-04,0.0074,0.9782,0.2774,0.9425,0.9527,0.9425,0.9462
19,5.00e-04,0.0070,0.9792,0.2916,0.9331,0.9527,0.9331,0.9396
20,2.50e-04,0.0046,0.9866,0.2484,0.9465,0.9514,0.9465,0.9485
21,2.50e-04,0.0039,0.9885,0.3065,0.9458,0.9535,0.9458,0.9487
22,2.50e-04,0.0035,0.9901,0.3375,0.9434,0.9524,0.9434,0.9467
23,2.50e-04,0.0030,0.9914,0.3196,0.9506,0.9524,0.9506,0.9514
24,2.50e-04,0.0030,0.9916,0.3271,0.9469,0.9525,0.9469,0.9491
25,2.50e-04,0.0026,0.9926,0.3484,0.9482,0.9523,0.9482,0.9499
26,2.50e-04,0.0024,0.9933,0.3530,0.9514,0.9522,0.9514,0.9518
27,2.50e-04,0.0023,0.9937,0.3764,0.9484,0.9524,0.9484,0.9501
28,2.50e-04,0.0022,0.9940,0.3654,0.9507,0.9508,0.9507,0.9508
29,2.50e-04,0.0020,0.9945,0.3781,0.9502,0.9514,0.9502,0.9507
30,2.50e-04,0.0020,0.9946,0.5708,0.9333,0.9528,0.9333,0.9398
