Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.1411,0.5122,2.0858,0.1238,0.9205,0.1238,0.0972
2,1.00e-03,0.1378,0.5178,1.7528,0.1424,0.9203,0.1424,0.1308
3,1.00e-03,0.1375,0.5189,1.9293,0.1322,0.9210,0.1322,0.1125
4,1.00e-03,0.1372,0.5199,2.3268,0.1184,0.9208,0.1184,0.0871
5,1.00e-03,0.1372,0.5199,2.1710,0.1276,0.9211,0.1276,0.1041
6,1.00e-03,0.1370,0.5204,1.9373,0.1435,0.9216,0.1435,0.1325
7,1.00e-03,0.1370,0.5206,2.0479,0.1338,0.9212,0.1338,0.1153
8,1.00e-03,0.1372,0.5201,2.2278,0.1278,0.9214,0.1278,0.1045
9,1.00e-03,0.1369,0.5200,2.1414,0.1306,0.9208,0.1306,0.1096
10,1.00e-03,0.1370,0.5206,1.7350,0.1531,0.9205,0.1531,0.1496
11,1.00e-03,0.1370,0.5205,2.0255,0.1396,0.9218,0.1396,0.1256
12,1.00e-03,0.1368,0.5208,1.8493,0.1494,0.9206,0.1494,0.1432
13,1.00e-03,0.1370,0.5205,2.0499,0.1355,0.9217,0.1355,0.1184
14,1.00e-03,0.1371,0.5209,2.0147,0.1367,0.9215,0.1367,0.1205
15,5.00e-04,0.1362,0.5208,1.9781,0.1402,0.9211,0.1402,0.1268
16,5.00e-04,0.1367,0.5199,2.0431,0.1368,0.9212,0.1368,0.1207
17,5.00e-04,0.1366,0.5206,1.9969,0.1398,0.9218,0.1398,0.1260
18,5.00e-04,0.1363,0.5211,2.0334,0.1362,0.9217,0.1362,0.1197
