Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0454,0.8544,0.4293,0.8443,0.9459,0.8443,0.8754
2,1.00e-03,0.0324,0.8993,0.4528,0.8584,0.9476,0.8584,0.8857
3,1.00e-03,0.0296,0.9081,0.6496,0.7708,0.9408,0.7708,0.8221
4,1.00e-03,0.0279,0.9129,0.4928,0.8132,0.9438,0.8132,0.8530
5,1.00e-03,0.0269,0.9160,0.2733,0.8976,0.9535,0.8976,0.9144
6,1.00e-03,0.0257,0.9186,0.4160,0.8606,0.9484,0.8606,0.8873
7,1.00e-03,0.0250,0.9204,0.2883,0.8919,0.9529,0.8919,0.9102
8,1.00e-03,0.0246,0.9220,0.3649,0.8666,0.9494,0.8666,0.8917
9,1.00e-03,0.0239,0.9239,0.1572,0.9342,0.9569,0.9342,0.9413
10,1.00e-03,0.0238,0.9239,0.2365,0.9149,0.9563,0.9149,0.9273
11,1.00e-03,0.0231,0.9260,0.3139,0.8898,0.9526,0.8898,0.9087
12,1.00e-03,0.0228,0.9274,0.3077,0.8917,0.9526,0.8917,0.9100
13,1.00e-03,0.0226,0.9280,0.2119,0.9191,0.9572,0.9191,0.9305
14,5.00e-04,0.0209,0.9324,0.2911,0.8990,0.9544,0.8990,0.9155
15,5.00e-04,0.0205,0.9334,0.3712,0.8776,0.9512,0.8776,0.8997
16,5.00e-04,0.0203,0.9347,0.4189,0.8648,0.9495,0.8648,0.8904
17,5.00e-04,0.0201,0.9347,0.2623,0.9059,0.9557,0.9059,0.9207
