Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0475,0.8478,0.2855,0.8843,0.9482,0.8843,0.9041
2,1.00e-03,0.0339,0.8962,0.2893,0.8855,0.9503,0.8855,0.9053
3,1.00e-03,0.0311,0.9033,0.2927,0.8832,0.9505,0.8832,0.9036
4,1.00e-03,0.0293,0.9080,0.4505,0.8472,0.9466,0.8472,0.8776
5,1.00e-03,0.0286,0.9097,0.3720,0.8749,0.9498,0.8749,0.8976
6,1.00e-03,0.0277,0.9122,0.1786,0.9236,0.9561,0.9236,0.9335
7,1.00e-03,0.0271,0.9144,0.4495,0.8550,0.9479,0.8550,0.8833
8,1.00e-03,0.0268,0.9149,0.1733,0.9281,0.9573,0.9281,0.9370
9,1.00e-03,0.0262,0.9167,0.3950,0.8574,0.9482,0.8574,0.8850
10,1.00e-03,0.0257,0.9180,0.4688,0.8484,0.9473,0.8484,0.8785
11,1.00e-03,0.0252,0.9194,0.3724,0.8710,0.9499,0.8710,0.8949
12,1.00e-03,0.0250,0.9200,0.1412,0.9399,0.9587,0.9399,0.9458
13,1.00e-03,0.0248,0.9203,0.3103,0.8869,0.9523,0.8869,0.9065
14,1.00e-03,0.0243,0.9221,0.2848,0.8988,0.9533,0.8988,0.9152
15,1.00e-03,0.0241,0.9226,0.1292,0.9420,0.9596,0.9420,0.9475
16,1.00e-03,0.0239,0.9230,0.3432,0.8752,0.9502,0.8752,0.8979
17,1.00e-03,0.0237,0.9242,0.3619,0.8764,0.9508,0.8764,0.8989
18,1.00e-03,0.0235,0.9250,0.3058,0.8945,0.9532,0.8945,0.9121
19,1.00e-03,0.0235,0.9244,0.6920,0.7644,0.9404,0.7644,0.8174
20,5.00e-04,0.0220,0.9285,0.5381,0.8328,0.9459,0.8328,0.8673
21,5.00e-04,0.0216,0.9299,0.2353,0.9106,0.9563,0.9106,0.9241
22,5.00e-04,0.0217,0.9296,0.2351,0.9106,0.9561,0.9106,0.9241
23,5.00e-04,0.0216,0.9303,0.3541,0.8820,0.9517,0.8820,0.9030
