Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0857,0.6277,1.2771,0.2968,0.9279,0.2968,0.3663
2,1.00e-03,0.0793,0.6655,0.8461,0.5909,0.9316,0.5909,0.6799
3,1.00e-03,0.0788,0.6675,1.2113,0.3364,0.9284,0.3364,0.4171
4,1.00e-03,0.0790,0.6675,0.8791,0.5658,0.9312,0.5658,0.6578
5,1.00e-03,0.0792,0.6650,1.3303,0.2713,0.9279,0.2713,0.3317
6,1.00e-03,0.0791,0.6669,1.1094,0.4007,0.9289,0.4007,0.4930
7,5.00e-04,0.0783,0.6672,1.0077,0.4781,0.9299,0.4781,0.5750
8,5.00e-04,0.0783,0.6665,1.0576,0.4362,0.9293,0.4362,0.5318
9,5.00e-04,0.0783,0.6664,0.9895,0.4889,0.9301,0.4889,0.5857
10,5.00e-04,0.0784,0.6662,0.9980,0.4820,0.9300,0.4820,0.5789
