Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0325,0.8991,0.3502,0.8641,0.9483,0.8641,0.8898
2,1.00e-03,0.0260,0.9152,0.3697,0.8728,0.9496,0.8728,0.8961
3,1.00e-03,0.0238,0.9224,0.3280,0.8872,0.9521,0.8872,0.9067
4,1.00e-03,0.0228,0.9252,0.2871,0.8863,0.9519,0.8863,0.9060
5,1.00e-03,0.0221,0.9278,0.2622,0.8972,0.9539,0.8972,0.9141
6,1.00e-03,0.0213,0.9307,0.3008,0.8819,0.9516,0.8819,0.9029
7,1.00e-03,0.0205,0.9328,0.3606,0.8773,0.9513,0.8773,0.8996
8,1.00e-03,0.0202,0.9332,0.2598,0.8911,0.9530,0.8911,0.9096
9,1.00e-03,0.0196,0.9355,0.2439,0.9154,0.9573,0.9154,0.9277
10,1.00e-03,0.0194,0.9366,0.2539,0.9107,0.9566,0.9107,0.9243
11,1.00e-03,0.0190,0.9374,0.3195,0.8867,0.9526,0.8867,0.9064
12,1.00e-03,0.0187,0.9380,0.3190,0.8871,0.9525,0.8871,0.9067
13,1.00e-03,0.0183,0.9396,0.2510,0.9187,0.9582,0.9187,0.9303
14,1.00e-03,0.0183,0.9399,0.2352,0.9103,0.9566,0.9103,0.9240
15,1.00e-03,0.0179,0.9414,0.2807,0.9062,0.9559,0.9062,0.9209
16,1.00e-03,0.0178,0.9422,0.2303,0.9182,0.9584,0.9182,0.9300
17,1.00e-03,0.0176,0.9424,0.2056,0.9157,0.9578,0.9157,0.9281
18,5.00e-04,0.0166,0.9454,0.2015,0.9266,0.9604,0.9266,0.9364
19,5.00e-04,0.0163,0.9466,0.2011,0.9232,0.9595,0.9232,0.9338
20,5.00e-04,0.0161,0.9472,0.2095,0.9225,0.9591,0.9225,0.9332
21,5.00e-04,0.0162,0.9473,0.2137,0.9187,0.9581,0.9187,0.9303
22,5.00e-04,0.0161,0.9476,0.2147,0.9216,0.9591,0.9216,0.9325
23,2.50e-04,0.0154,0.9499,0.2098,0.9298,0.9608,0.9298,0.9388
24,2.50e-04,0.0154,0.9498,0.1980,0.9290,0.9605,0.9290,0.9382
25,2.50e-04,0.0151,0.9509,0.2031,0.9308,0.9610,0.9308,0.9396
26,2.50e-04,0.0150,0.9507,0.1960,0.9308,0.9612,0.9308,0.9397
27,2.50e-04,0.0149,0.9514,0.2163,0.9256,0.9602,0.9256,0.9356
28,2.50e-04,0.0150,0.9512,0.2034,0.9305,0.9613,0.9305,0.9394
29,2.50e-04,0.0150,0.9508,0.1853,0.9347,0.9621,0.9347,0.9427
30,2.50e-04,0.0149,0.9516,0.1807,0.9344,0.9619,0.9344,0.9424
