Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.8020,0.3439,1.6940,0.3805,0.3851,0.3805,0.3515,0.0140,0.0321,0.3610,0.4642,0.1235,0.3373,0.0565,0.6005,0.6319,0.0049,0.7211,0.0223,0.3222,0.0000
2,1.5103,0.4424,1.5464,0.4217,0.4567,0.4217,0.4048,0.0148,0.2988,0.0721,0.4038,0.1160,0.4339,0.1627,0.5685,0.7001,0.3543,0.7939,0.2154,0.3511,0.0056
3,1.3598,0.4831,1.3967,0.4560,0.4565,0.4560,0.4446,0.0000,0.4123,0.3274,0.5544,0.0093,0.5351,0.2144,0.5832,0.4944,0.3660,0.9165,0.4870,0.4788,0.2278
4,1.2510,0.5098,1.3121,0.4856,0.5094,0.4856,0.4784,0.0023,0.3802,0.1516,0.5680,0.1963,0.5795,0.2988,0.5685,0.5638,0.2821,0.9103,0.4659,0.5267,0.4139
5,1.1771,0.5347,1.2659,0.4958,0.5056,0.4958,0.4885,0.0039,0.6025,0.1556,0.5103,0.1451,0.5812,0.3989,0.6082,0.5214,0.1957,0.9203,0.5552,0.6515,0.4444
6,1.1247,0.5542,1.1966,0.5130,0.5295,0.5130,0.5048,0.0062,0.6025,0.1936,0.5139,0.0284,0.5915,0.4738,0.6332,0.6004,0.2370,0.9625,0.6234,0.5797,0.5806
7,1.0819,0.5685,1.2077,0.5185,0.5191,0.5185,0.5009,0.0047,0.6543,0.1773,0.6641,0.1451,0.6385,0.1777,0.6831,0.6022,0.1994,0.9372,0.5866,0.5185,0.5222
8,1.0476,0.5806,1.1303,0.5455,0.5532,0.5455,0.5375,0.0039,0.7679,0.2425,0.5712,0.1099,0.6862,0.3118,0.6402,0.6151,0.4037,0.9732,0.6892,0.5691,0.5556
9,1.0205,0.5917,1.1176,0.5427,0.5498,0.5427,0.5359,0.0031,0.7654,0.3067,0.5604,0.0938,0.6460,0.3649,0.7010,0.5647,0.3241,0.9571,0.6663,0.6513,0.5278
10,0.9958,0.6019,1.1077,0.5501,0.5456,0.5501,0.5404,0.0000,0.6519,0.2533,0.5468,0.3735,0.6650,0.4493,0.7164,0.6348,0.0494,0.9808,0.6814,0.5788,0.5806
11,0.9721,0.6098,1.0868,0.5597,0.5728,0.5597,0.5574,0.0023,0.7951,0.2928,0.6421,0.1864,0.6404,0.3315,0.6588,0.5873,0.4716,0.9556,0.6868,0.6097,0.6639
12,0.9499,0.6179,1.1195,0.5456,0.5550,0.5456,0.5375,0.0016,0.6790,0.2188,0.6522,0.2309,0.6620,0.3717,0.7580,0.4909,0.2901,0.9724,0.5963,0.7054,0.4611
13,0.9377,0.6230,1.0757,0.5646,0.5726,0.5646,0.5582,0.0357,0.7778,0.2904,0.6889,0.1117,0.6539,0.3615,0.6876,0.6472,0.3407,0.9709,0.7230,0.5352,0.5472
14,0.9181,0.6304,1.0575,0.5693,0.5801,0.5693,0.5656,0.0287,0.7407,0.3501,0.5945,0.1173,0.6922,0.3996,0.7042,0.6517,0.3302,0.9678,0.7821,0.5504,0.6722
15,0.9032,0.6366,1.1030,0.5650,0.5582,0.5650,0.5571,0.0186,0.6988,0.3437,0.6357,0.2667,0.7082,0.3016,0.6754,0.6287,0.2037,0.9870,0.6814,0.5688,0.6639
16,0.8912,0.6422,1.0710,0.5687,0.5785,0.5687,0.5623,0.0070,0.6617,0.2444,0.5841,0.2821,0.6691,0.3853,0.7125,0.6519,0.2099,0.9854,0.6789,0.6360,0.5556
17,0.8770,0.6466,1.0817,0.5678,0.5793,0.5678,0.5619,0.0070,0.8099,0.3373,0.6423,0.1463,0.7283,0.3642,0.7273,0.6063,0.3870,0.9632,0.7176,0.5556,0.5167
18,0.8625,0.6544,1.0765,0.5761,0.5783,0.5761,0.5693,0.0085,0.7827,0.3259,0.5858,0.3235,0.6511,0.2866,0.7382,0.6179,0.2562,0.9801,0.6801,0.7012,0.5861
19,0.8514,0.6575,1.0741,0.5764,0.5746,0.5764,0.5672,0.0521,0.7975,0.2756,0.6442,0.1611,0.6851,0.3479,0.6645,0.6499,0.2401,0.9770,0.7423,0.6284,0.5778
20,0.8378,0.6647,1.1045,0.5744,0.5711,0.5744,0.5634,0.0140,0.7111,0.2696,0.6726,0.4364,0.6672,0.3247,0.6703,0.6138,0.0784,0.9893,0.7049,0.6594,0.5528
21,0.8277,0.6687,1.0700,0.5801,0.5885,0.5801,0.5711,0.0085,0.6790,0.2612,0.5977,0.4574,0.7375,0.4050,0.7759,0.6002,0.1228,0.9785,0.7550,0.6465,0.6083
22,0.8171,0.6720,1.0584,0.5801,0.5966,0.5801,0.5801,0.0645,0.7259,0.2928,0.6677,0.3358,0.6513,0.3710,0.6748,0.6882,0.2735,0.9793,0.7302,0.5399,0.5694
