Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.2954,0.5015,1.1329,0.5431,0.5639,0.5431,0.5355,0.0031,0.6074,0.1615,0.7100,0.1556,0.5460,0.3315,0.7222,0.6979,0.2802,0.8184,0.4737,0.5493,0.6806
2,1.0721,0.5823,1.0803,0.5671,0.5815,0.5671,0.5574,0.0016,0.7580,0.1960,0.5258,0.4173,0.7210,0.4282,0.7369,0.5242,0.1093,0.9073,0.8002,0.7781,0.7028
3,1.0114,0.6059,1.0540,0.5830,0.5765,0.5830,0.5657,0.0016,0.8395,0.2000,0.5786,0.0358,0.6749,0.1722,0.7049,0.6519,0.4093,0.8989,0.7821,0.7697,0.7806
4,0.9771,0.6179,1.0742,0.5792,0.5866,0.5792,0.5628,0.0023,0.7654,0.1580,0.6119,0.1623,0.5479,0.3288,0.7362,0.7407,0.1389,0.8605,0.6023,0.7596,0.7000
5,0.9516,0.6289,1.0658,0.5786,0.6404,0.5786,0.5727,0.0186,0.7580,0.1496,0.6107,0.0216,0.6719,0.8530,0.7279,0.6260,0.0531,0.9402,0.5655,0.7481,0.9056
6,0.9272,0.6370,1.0555,0.5947,0.5981,0.5947,0.5835,0.0870,0.7778,0.2647,0.6832,0.2475,0.7435,0.3826,0.7868,0.6928,0.0759,0.8805,0.5045,0.6526,0.8278
7,0.9118,0.6426,1.0132,0.6047,0.6161,0.6047,0.6004,0.0559,0.8370,0.2958,0.6571,0.1364,0.7240,0.5167,0.7362,0.6410,0.1093,0.9188,0.7043,0.7502,0.9167
8,0.8946,0.6506,1.0266,0.6026,0.6116,0.6026,0.5969,0.0435,0.7975,0.3328,0.5616,0.1315,0.6903,0.4050,0.7759,0.7137,0.2080,0.9425,0.6530,0.7279,0.8389
9,0.8791,0.6565,1.0481,0.6046,0.6105,0.6046,0.5869,0.0350,0.8642,0.1709,0.6395,0.0932,0.6935,0.4350,0.7644,0.6487,0.1377,0.9326,0.7737,0.8186,0.8194
10,0.8640,0.6624,1.0770,0.6050,0.6025,0.6050,0.5976,0.1896,0.8346,0.2519,0.6234,0.1728,0.7071,0.3308,0.7036,0.6974,0.1747,0.9433,0.6252,0.7431,0.8139
11,0.8482,0.6697,1.0768,0.6044,0.6184,0.6044,0.6012,0.2572,0.7012,0.2563,0.6289,0.2105,0.7527,0.4690,0.7561,0.6711,0.0586,0.9134,0.7447,0.6823,0.7889
12,0.8365,0.6726,1.1184,0.6032,0.6165,0.6032,0.5962,0.2214,0.7407,0.2499,0.4978,0.1963,0.7499,0.4581,0.7433,0.6742,0.0784,0.9004,0.6669,0.8102,0.7417
13,0.8265,0.6784,1.0569,0.6041,0.6019,0.6041,0.5935,0.0474,0.8370,0.3096,0.6431,0.0951,0.6947,0.3295,0.7612,0.7226,0.2210,0.9080,0.7284,0.6786,0.8278
14,0.8146,0.6826,1.2035,0.5995,0.6044,0.5995,0.5895,0.2036,0.7309,0.2232,0.6323,0.0790,0.7097,0.4799,0.7407,0.6912,0.0704,0.9226,0.7320,0.7067,0.8028
15,0.8100,0.6841,1.1716,0.5991,0.6041,0.5991,0.5891,0.0622,0.8000,0.2341,0.5966,0.1389,0.6896,0.4568,0.7638,0.7009,0.1475,0.8920,0.6439,0.7452,0.8361
16,0.7319,0.7146,1.0988,0.6126,0.6174,0.6126,0.6078,0.0987,0.7951,0.3067,0.6257,0.1790,0.7159,0.4146,0.7791,0.6771,0.1611,0.9126,0.7640,0.7473,0.8028
17,0.7082,0.7225,1.2605,0.6068,0.6068,0.6068,0.5990,0.2222,0.7901,0.2237,0.6416,0.2191,0.6800,0.3860,0.7772,0.6963,0.1099,0.9387,0.7839,0.7023,0.7611
18,0.6901,0.7322,1.1862,0.6123,0.6101,0.6123,0.6049,0.1080,0.8198,0.3111,0.6123,0.1901,0.7328,0.4241,0.7644,0.6949,0.1401,0.9310,0.7188,0.7233,0.8194
19,0.6703,0.7395,1.2519,0.6076,0.6110,0.6076,0.6012,0.1321,0.7827,0.2375,0.5729,0.1821,0.7330,0.4500,0.7478,0.7052,0.1543,0.9211,0.7550,0.7207,0.8000
20,0.6594,0.7435,1.3754,0.6094,0.6096,0.6094,0.6014,0.1779,0.7531,0.2978,0.6036,0.1864,0.6877,0.4261,0.7580,0.7119,0.0858,0.9303,0.7139,0.7283,0.9056
21,0.6105,0.7645,1.3002,0.6107,0.6163,0.6107,0.6058,0.0995,0.7975,0.2627,0.6329,0.2309,0.6954,0.4010,0.7522,0.7066,0.1630,0.8874,0.7815,0.7141,0.7889
22,0.5914,0.7719,1.4094,0.6080,0.6132,0.6080,0.6011,0.1515,0.7728,0.2375,0.6107,0.1531,0.7005,0.4752,0.7798,0.7039,0.1210,0.9180,0.7556,0.7217,0.7806
23,0.5800,0.7768,1.4256,0.6092,0.6129,0.6092,0.6040,0.1461,0.7605,0.2760,0.5820,0.1784,0.7249,0.4438,0.7689,0.6955,0.1272,0.9195,0.7121,0.7471,0.7722
24,0.5679,0.7825,1.4014,0.6077,0.6120,0.6077,0.6027,0.1220,0.7630,0.2627,0.5933,0.2198,0.7193,0.4357,0.7516,0.6803,0.1556,0.9019,0.7833,0.7373,0.7806
