Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,2.0576,0.2697,1.9147,0.2966,0.2886,0.2966,0.2201,0.0179,0.0000,0.0000,0.0766,0.0068,0.2490,0.0830,0.2855,0.8366,0.1377,0.7019,0.0000,0.0716,0.0000
2,1.7495,0.3508,1.8235,0.3358,0.3970,0.3358,0.2915,0.0552,0.0000,0.1052,0.1209,0.0586,0.3589,0.2212,0.4872,0.7567,0.0006,0.6613,0.0000,0.2153,0.0000
3,1.6113,0.4001,1.6859,0.3753,0.3771,0.3753,0.3326,0.0000,0.1901,0.0109,0.3717,0.0914,0.4767,0.1600,0.6389,0.7035,0.1136,0.6851,0.0314,0.2092,0.0000
4,1.5364,0.4306,1.6049,0.4079,0.4017,0.4079,0.3748,0.0023,0.3309,0.1486,0.3187,0.3136,0.4831,0.1069,0.5941,0.7298,0.0000,0.7862,0.0278,0.3264,0.0000
5,1.4719,0.4550,1.5413,0.4244,0.4249,0.4244,0.3952,0.0000,0.4000,0.0835,0.4152,0.1111,0.5141,0.0803,0.6504,0.7242,0.2340,0.8100,0.1400,0.3053,0.0000
6,1.4175,0.4709,1.4975,0.4369,0.4623,0.4369,0.4185,0.0062,0.3457,0.0731,0.4176,0.0117,0.5304,0.3097,0.5730,0.7129,0.3494,0.7471,0.2426,0.3361,0.0028
7,1.3571,0.4892,1.4159,0.4631,0.4763,0.4631,0.4508,0.0000,0.4642,0.1121,0.4957,0.2642,0.5690,0.3138,0.6069,0.6520,0.1556,0.9073,0.2969,0.3959,0.1417
8,1.2937,0.5079,1.3622,0.4734,0.4907,0.4734,0.4575,0.0000,0.4123,0.0938,0.5383,0.1648,0.5671,0.2668,0.6268,0.6724,0.2346,0.9180,0.3084,0.4083,0.2306
9,1.2464,0.5233,1.3613,0.4820,0.4918,0.4820,0.4746,0.0000,0.4741,0.1314,0.4797,0.3377,0.6154,0.3744,0.7279,0.6010,0.1568,0.9287,0.4273,0.4386,0.3722
10,1.2046,0.5363,1.3070,0.4930,0.5018,0.4930,0.4800,0.0000,0.4691,0.1610,0.5809,0.0667,0.5455,0.2355,0.5615,0.6387,0.3136,0.9356,0.4104,0.5272,0.3389
11,1.1726,0.5454,1.2638,0.5067,0.5187,0.5067,0.4950,0.0000,0.5654,0.1442,0.5920,0.0438,0.6603,0.4309,0.6786,0.6018,0.3772,0.9425,0.5546,0.4359,0.4444
12,1.1440,0.5543,1.2359,0.5094,0.5203,0.5094,0.4980,0.0000,0.5951,0.1077,0.5150,0.2531,0.6283,0.3846,0.6549,0.4860,0.1796,0.9425,0.5166,0.7347,0.4917
13,1.1156,0.5638,1.1984,0.5276,0.5416,0.5276,0.5219,0.0000,0.6617,0.1230,0.5315,0.2858,0.7044,0.3799,0.6485,0.6171,0.2759,0.9402,0.5456,0.5385,0.4806
14,1.0924,0.5710,1.1946,0.5319,0.5462,0.5319,0.5252,0.0000,0.6963,0.1235,0.5786,0.2333,0.6319,0.4575,0.6991,0.6023,0.2463,0.9617,0.5450,0.5875,0.5028
