Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.7077,0.3781,1.5374,0.4181,0.4363,0.4181,0.4003,0.0132,0.5185,0.6227,0.4415,0.0099,0.4607,0.0429,0.3425,0.5687,0.0204,0.8797,0.4737,0.3788,0.2056
2,1.2832,0.4860,1.2339,0.4917,0.5219,0.4917,0.4805,0.0000,0.5086,0.1817,0.4267,0.0123,0.6240,0.4466,0.4706,0.6566,0.3481,0.9548,0.5709,0.4910,0.0278
3,1.1311,0.5352,1.2487,0.4777,0.5080,0.4777,0.4619,0.0000,0.7877,0.4657,0.5099,0.0056,0.5889,0.2226,0.2708,0.6593,0.1654,0.7073,0.5474,0.4532,0.2333
4,1.0720,0.5591,1.7176,0.4016,0.5041,0.4016,0.3745,0.6721,0.7506,0.1279,0.1288,0.0506,0.7640,0.0939,0.5583,0.3176,0.0698,1.0000,0.5794,0.5219,0.1361
5,1.0319,0.5753,1.3033,0.4547,0.4981,0.4547,0.4377,0.0000,0.4469,0.2760,0.3091,0.0704,0.7482,0.4438,0.4257,0.5184,0.3932,0.9808,0.9668,0.3020,0.1333
6,1.0089,0.5865,1.1862,0.5159,0.5542,0.5159,0.5067,0.0000,0.5926,0.2830,0.3832,0.8210,0.8384,0.2369,0.6012,0.5571,0.0630,0.9701,0.6107,0.4727,0.2000
7,0.9848,0.5957,1.3597,0.4483,0.5202,0.4483,0.4268,0.0016,0.9037,0.2296,0.1632,0.0000,0.6558,0.3901,0.4251,0.4209,0.6673,0.7134,0.4629,0.7238,0.0833
8,0.9670,0.6043,1.4480,0.4564,0.4997,0.4564,0.4447,0.0575,0.8864,0.2726,0.4940,0.0506,0.8598,0.3199,0.5294,0.3579,0.1944,0.9533,0.3917,0.4972,0.2056
9,0.9513,0.6098,1.2038,0.5227,0.5430,0.5227,0.5046,0.0047,0.6296,0.5467,0.5309,0.3179,0.6240,0.2192,0.5826,0.6700,0.1191,0.0605,0.7333,0.5935,0.2139
10,0.9385,0.6151,1.1263,0.5225,0.5577,0.5225,0.5166,0.0614,0.4099,0.2993,0.5343,0.0549,0.3720,0.6542,0.5256,0.6573,0.1833,0.9954,0.8063,0.6196,0.3667
11,0.9281,0.6198,1.0794,0.5437,0.5691,0.5437,0.5293,0.0287,0.8148,0.4736,0.5455,0.0636,0.6413,0.4187,0.5064,0.3783,0.3815,1.0000,0.8847,0.8386,0.5806
12,0.9194,0.6227,1.2236,0.5112,0.5415,0.5112,0.5053,0.0023,0.9160,0.4543,0.6928,0.1154,0.5457,0.2961,0.5294,0.5996,0.2790,0.6820,0.5558,0.4896,0.3250
13,0.9091,0.6279,1.1043,0.5403,0.5651,0.5403,0.5294,0.0023,0.8025,0.2825,0.4390,0.0796,0.6546,0.5174,0.6005,0.6468,0.3759,1.0000,0.8576,0.5349,0.4111
14,0.9010,0.6308,1.0727,0.5537,0.5675,0.5537,0.5455,0.2137,0.7877,0.3852,0.5188,0.1494,0.6171,0.2124,0.8067,0.5364,0.1315,0.9916,0.7598,0.7599,0.4444
15,0.8934,0.6346,1.1859,0.5156,0.5624,0.5156,0.4990,0.0031,0.8938,0.3956,0.5124,0.0253,0.4365,0.4098,0.5787,0.7697,0.1895,0.6559,0.9191,0.4149,0.5083
16,0.8882,0.6368,1.0193,0.5763,0.5867,0.5763,0.5609,0.0047,0.6938,0.3333,0.5336,0.1414,0.6268,0.4656,0.6607,0.7224,0.0741,0.9946,0.8588,0.6483,0.3444
17,0.8809,0.6406,1.1053,0.5507,0.5773,0.5507,0.5472,0.1803,0.7309,0.3990,0.4000,0.1457,0.8065,0.3485,0.5493,0.5877,0.4241,1.0000,0.7984,0.5694,0.3833
18,0.8774,0.6417,1.0622,0.5572,0.5935,0.5572,0.5502,0.0140,0.5506,0.1738,0.5998,0.0809,0.5472,0.6651,0.5359,0.6221,0.3654,0.9992,0.8793,0.6667,0.2944
19,0.8692,0.6455,1.0619,0.5569,0.5724,0.5569,0.5465,0.0047,0.8988,0.3254,0.5124,0.1173,0.6571,0.2206,0.7145,0.6804,0.6185,0.9962,0.8123,0.4962,0.3056
20,0.8639,0.6468,0.9794,0.5950,0.6144,0.5950,0.5912,0.0186,0.8123,0.3481,0.6230,0.1426,0.6191,0.5432,0.7055,0.6035,0.3753,0.9992,0.8069,0.7407,0.7194
21,0.8606,0.6502,1.0421,0.5664,0.5745,0.5664,0.5525,0.0637,0.9531,0.3309,0.4558,0.0981,0.7856,0.4139,0.6556,0.5429,0.2926,1.0000,0.8063,0.7352,0.4306
22,0.8541,0.6520,1.0581,0.5588,0.5755,0.5588,0.5455,0.0054,0.8247,0.2593,0.6452,0.0309,0.5714,0.5514,0.6613,0.5580,0.3241,0.9992,0.7435,0.7199,0.4417
23,0.8495,0.6544,1.1270,0.5460,0.5535,0.5460,0.5300,0.0241,0.7951,0.2099,0.3618,0.2327,0.6888,0.3975,0.7618,0.5671,0.2796,0.9985,0.8962,0.6978,0.4639
24,0.8432,0.6572,1.0828,0.5637,0.5737,0.5637,0.5600,0.1259,0.9580,0.4375,0.5434,0.2228,0.7388,0.3472,0.5224,0.4987,0.2920,0.9985,0.8135,0.7065,0.6500
25,0.8132,0.6695,1.0086,0.5856,0.5830,0.5856,0.5712,0.0132,0.8667,0.2835,0.6210,0.1000,0.7159,0.5296,0.6812,0.5950,0.2506,0.9985,0.8950,0.6847,0.5000
26,0.8093,0.6710,0.9468,0.6022,0.6186,0.6022,0.5956,0.0295,0.8420,0.3002,0.5792,0.1389,0.7007,0.5391,0.6466,0.6833,0.3210,0.9962,0.8358,0.6946,0.3889
27,0.8038,0.6739,0.9707,0.5957,0.6031,0.5957,0.5893,0.0241,0.7012,0.3116,0.6302,0.1660,0.7232,0.5269,0.6799,0.6538,0.3117,0.9885,0.8606,0.6278,0.4861
28,0.8002,0.6760,0.9346,0.6111,0.6280,0.6111,0.6087,0.0544,0.8691,0.3417,0.6312,0.2259,0.6960,0.5984,0.6357,0.6951,0.2611,0.9962,0.7900,0.6559,0.6167
29,0.7957,0.6780,0.9652,0.5972,0.6026,0.5972,0.5889,0.0738,0.8370,0.3467,0.6060,0.1123,0.7360,0.4609,0.6146,0.6105,0.3691,1.0000,0.8485,0.7078,0.5278
30,0.7931,0.6788,0.9681,0.6020,0.6170,0.6020,0.6021,0.0987,0.8543,0.4331,0.6556,0.2309,0.7093,0.4125,0.6069,0.5920,0.4049,0.9977,0.8063,0.6909,0.6222
31,0.7890,0.6811,0.9598,0.6018,0.6012,0.6018,0.5916,0.0334,0.6914,0.3521,0.5852,0.1630,0.6992,0.4248,0.7254,0.6380,0.3278,0.9954,0.8920,0.7289,0.4278
