Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.9866,0.2975,1.9052,0.2956,0.4463,0.2956,0.2124,0.0280,0.0000,0.0020,0.3552,0.1426,0.1567,0.0123,0.0038,0.7809,0.1309,0.9425,0.0084,0.0021,0.0000
2,1.8704,0.3186,1.8463,0.3092,0.3492,0.3092,0.2710,0.0412,0.0000,0.0904,0.4613,0.0000,0.5513,0.0088,0.0749,0.4236,0.3938,0.9333,0.1521,0.1095,0.0000
3,1.8405,0.3240,1.8130,0.3218,0.4159,0.3218,0.2554,0.0583,0.0000,0.0430,0.2837,0.0481,0.2354,0.0456,0.0423,0.8229,0.1593,0.9678,0.0797,0.0519,0.0000
4,1.8294,0.3259,1.7990,0.3228,0.3858,0.3228,0.2753,0.0723,0.0000,0.0499,0.3174,0.3444,0.4927,0.0442,0.1748,0.6030,0.0000,0.9839,0.1056,0.0737,0.0000
5,1.8192,0.3294,1.7985,0.3056,0.4392,0.3056,0.2148,0.1018,0.0000,0.0237,0.0176,0.0105,0.2277,0.0320,0.0685,0.9070,0.1679,0.9586,0.1147,0.0332,0.0000
6,1.8186,0.3279,1.7927,0.3321,0.4219,0.3321,0.2729,0.1166,0.0000,0.0227,0.3792,0.1327,0.2860,0.0163,0.1428,0.7652,0.1407,0.9609,0.1267,0.0361,0.0000
7,1.8174,0.3286,1.7880,0.3314,0.3561,0.3314,0.3010,0.2106,0.0000,0.1595,0.0999,0.1809,0.5222,0.0000,0.1882,0.5276,0.0401,0.9556,0.1460,0.3485,0.0000
8,1.8152,0.3285,1.7899,0.3179,0.4773,0.3179,0.2396,0.1399,0.0000,0.0780,0.0117,0.1037,0.3869,0.0048,0.2222,0.8318,0.1327,0.9471,0.1479,0.0226,0.0000
9,1.8141,0.3296,1.7966,0.3268,0.4213,0.3268,0.2710,0.1935,0.0000,0.0667,0.4261,0.1111,0.3696,0.0361,0.1357,0.6770,0.0469,0.9418,0.2148,0.0106,0.0000
10,1.8138,0.3285,1.7989,0.3043,0.4807,0.3043,0.2068,0.1476,0.0000,0.0405,0.0023,0.0000,0.3266,0.0000,0.0327,0.8732,0.2463,0.9502,0.0863,0.0044,0.0000
11,1.8141,0.3297,1.7992,0.2994,0.4193,0.2994,0.2283,0.1834,0.0000,0.0232,0.0276,0.2691,0.6693,0.0402,0.1620,0.5977,0.0111,0.9502,0.1400,0.0297,0.0000
12,1.8051,0.3324,1.7909,0.3225,0.4481,0.3225,0.2474,0.1507,0.0000,0.0360,0.2684,0.0043,0.1975,0.0054,0.0832,0.8557,0.2432,0.9586,0.0736,0.0245,0.0000
13,1.8032,0.3339,1.7918,0.2951,0.4971,0.2951,0.1884,0.1251,0.0000,0.0375,0.0117,0.0340,0.1084,0.0041,0.0339,0.9413,0.1846,0.9801,0.0966,0.0094,0.0000
14,1.8047,0.3326,1.7831,0.3315,0.3863,0.3315,0.2846,0.1228,0.0000,0.1407,0.1233,0.0000,0.4333,0.0143,0.1332,0.7226,0.1556,0.9785,0.1690,0.1563,0.0000
15,1.8042,0.3315,1.7802,0.3280,0.4065,0.3280,0.2833,0.1826,0.0000,0.0667,0.3433,0.0167,0.4384,0.0048,0.1300,0.6327,0.2623,0.9808,0.1328,0.0863,0.0000
