Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,2.0416,0.2987,1.9751,0.3256,0.3737,0.3256,0.2675,0.3201,0.0000,0.0005,0.1456,0.0000,0.3375,0.0334,0.4136,0.7769,0.0000,0.7648,0.0000,0.1569,0.0000
2,1.7834,0.3816,1.9115,0.3506,0.3900,0.3506,0.3065,0.2106,0.0025,0.0237,0.2043,0.0000,0.3925,0.0334,0.7215,0.7304,0.0864,0.7264,0.0000,0.2145,0.0000
3,1.6719,0.4083,1.9554,0.3619,0.3503,0.3619,0.3047,0.0513,0.0765,0.0301,0.2132,0.0049,0.6560,0.0007,0.5467,0.6239,0.0000,0.8628,0.0000,0.2933,0.1667
4,1.5916,0.4281,1.6559,0.4104,0.4476,0.4104,0.3715,0.1181,0.1778,0.0617,0.3694,0.0006,0.4459,0.1321,0.6210,0.7186,0.0006,0.8513,0.0151,0.4093,0.1917
5,1.5498,0.4391,1.7732,0.3919,0.4034,0.3919,0.3512,0.0979,0.2642,0.0484,0.2998,0.0006,0.5945,0.0654,0.5423,0.5703,0.0000,0.7793,0.0151,0.4994,0.3139
6,1.5180,0.4464,1.7246,0.4054,0.4100,0.4054,0.3761,0.1531,0.3086,0.1719,0.3985,0.0000,0.5353,0.0422,0.4885,0.5185,0.0025,0.7962,0.1171,0.5701,0.1389
7,1.4944,0.4519,1.6076,0.4245,0.4047,0.4245,0.3966,0.1150,0.4123,0.1862,0.5160,0.0006,0.6186,0.1491,0.6268,0.3729,0.0000,0.7701,0.3265,0.6212,0.3333
8,1.4694,0.4566,1.5642,0.4247,0.4307,0.4247,0.4008,0.1228,0.4346,0.0973,0.3372,0.0080,0.6216,0.2233,0.5935,0.4473,0.0160,0.7908,0.3042,0.6473,0.5583
9,1.4488,0.4621,1.5784,0.4225,0.4259,0.4225,0.3949,0.0793,0.5160,0.0874,0.6370,0.0025,0.6227,0.1940,0.6280,0.4034,0.0006,0.7862,0.4134,0.4506,0.5722
10,1.4330,0.4653,1.5543,0.4398,0.4186,0.4398,0.4106,0.0699,0.5852,0.1151,0.3295,0.0000,0.6263,0.2029,0.6229,0.6165,0.0012,0.7548,0.2933,0.5125,0.4278
11,1.4171,0.4689,1.5594,0.4329,0.4543,0.4329,0.4053,0.0451,0.5580,0.0884,0.2470,0.0019,0.5284,0.4227,0.6364,0.5282,0.0000,0.8153,0.3380,0.6697,0.4444
12,1.4041,0.4725,1.4775,0.4442,0.4392,0.4442,0.4204,0.0482,0.6099,0.1037,0.4872,0.0222,0.5782,0.3581,0.6069,0.4063,0.0000,0.7502,0.3476,0.7084,0.5583
13,1.3896,0.4773,1.5454,0.4413,0.4373,0.4413,0.4202,0.1204,0.6272,0.0810,0.5886,0.0395,0.5145,0.2185,0.5359,0.4578,0.0037,0.7556,0.4116,0.5985,0.6806
14,1.3817,0.4779,1.4710,0.4466,0.4687,0.4466,0.4278,0.0513,0.5259,0.0726,0.4967,0.0247,0.4900,0.3928,0.5640,0.5978,0.0056,0.8636,0.4049,0.4746,0.6611
15,1.3713,0.4811,1.5137,0.4364,0.4387,0.4364,0.4166,0.0808,0.4519,0.1067,0.4229,0.0049,0.6319,0.3547,0.6120,0.4890,0.0222,0.9188,0.3663,0.5085,0.5722
16,1.3653,0.4844,1.3994,0.4592,0.4746,0.4592,0.4386,0.0396,0.5802,0.1432,0.6117,0.0747,0.3884,0.2410,0.5954,0.6548,0.0037,0.8375,0.5130,0.4375,0.4694
17,1.3514,0.4884,1.4754,0.4529,0.4477,0.4529,0.4338,0.0528,0.5975,0.1699,0.4097,0.0543,0.6402,0.3111,0.5928,0.5923,0.0000,0.8690,0.3766,0.4614,0.4556
18,1.3416,0.4916,1.5107,0.4355,0.4437,0.4355,0.4203,0.1026,0.5852,0.2079,0.3482,0.1123,0.7281,0.3016,0.5813,0.3903,0.0000,0.8383,0.5613,0.5536,0.4639
19,1.3363,0.4923,1.4526,0.4501,0.4712,0.4501,0.4257,0.0746,0.5037,0.1037,0.3781,0.0346,0.6206,0.2893,0.5698,0.6451,0.0179,0.8766,0.1756,0.4781,0.7111
20,1.3290,0.4957,1.5580,0.4351,0.4629,0.4351,0.4113,0.1096,0.5333,0.1807,0.3968,0.0000,0.3463,0.1967,0.5224,0.7115,0.0080,0.8636,0.2674,0.4931,0.3556
