Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.4484,0.5042,1.4928,0.4669,0.4801,0.4669,0.4255
2,1.00e-03,1.2162,0.5721,1.4672,0.4893,0.5444,0.4893,0.4851
3,1.00e-03,1.1478,0.5945,1.3647,0.5040,0.5730,0.5040,0.4830
4,1.00e-03,1.1013,0.6099,1.3845,0.5135,0.5611,0.5135,0.4750
5,1.00e-03,1.0660,0.6216,1.6673,0.4818,0.5583,0.4818,0.4765
6,1.00e-03,1.0354,0.6317,1.2774,0.5430,0.5527,0.5430,0.5276
7,1.00e-03,1.0095,0.6416,1.2904,0.5431,0.5579,0.5431,0.5226
8,1.00e-03,0.9852,0.6498,5.1601,0.1347,0.6774,0.1347,0.1439
9,1.00e-03,0.9640,0.6576,1.3166,0.5459,0.5684,0.5459,0.5181
10,1.00e-03,0.9444,0.6637,1.8036,0.5240,0.5545,0.5240,0.4900
11,5.00e-04,0.8794,0.6879,1.2376,0.5664,0.5863,0.5664,0.5537
12,5.00e-04,0.8533,0.6967,1.4468,0.5328,0.5893,0.5328,0.5275
13,5.00e-04,0.8364,0.7034,1.3083,0.5516,0.5818,0.5516,0.5437
14,5.00e-04,0.8151,0.7113,1.4779,0.5457,0.5887,0.5457,0.5445
15,5.00e-04,0.7995,0.7171,1.5718,0.5214,0.5850,0.5214,0.5251
16,2.50e-04,0.7512,0.7356,1.3193,0.5657,0.5817,0.5657,0.5540
17,2.50e-04,0.7349,0.7417,1.3638,0.5593,0.5786,0.5593,0.5510
18,2.50e-04,0.7216,0.7458,1.3582,0.5641,0.5795,0.5641,0.5591
19,2.50e-04,0.7106,0.7497,1.3745,0.5639,0.5758,0.5639,0.5545
20,2.50e-04,0.6997,0.7542,1.4465,0.5587,0.5750,0.5587,0.5493
21,2.50e-04,0.6885,0.7580,1.4419,0.5600,0.5703,0.5600,0.5509
22,2.50e-04,0.6755,0.7631,1.5184,0.5516,0.5735,0.5516,0.5430
23,1.25e-04,0.6461,0.7744,1.4834,0.5558,0.5710,0.5558,0.5485
24,1.25e-04,0.6360,0.7781,1.5032,0.5566,0.5718,0.5566,0.5478
25,1.25e-04,0.6294,0.7807,1.5781,0.5541,0.5756,0.5541,0.5467
26,1.25e-04,0.6216,0.7832,1.5235,0.5574,0.5700,0.5574,0.5505
