Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.8494,0.3577,1.9940,0.2990,0.2409,0.2990,0.2476
2,1.00e-03,1.5931,0.4354,1.8563,0.3444,0.4244,0.3444,0.2992
3,1.00e-03,1.4684,0.4843,1.6024,0.4184,0.4640,0.4184,0.3701
4,1.00e-03,1.3947,0.5127,1.7777,0.3779,0.4539,0.3779,0.3336
5,1.00e-03,1.3302,0.5353,1.5224,0.4391,0.5067,0.4391,0.4083
6,1.00e-03,1.2884,0.5509,1.6010,0.4296,0.4885,0.4296,0.4117
7,1.00e-03,1.2564,0.5616,1.5309,0.4492,0.5231,0.4492,0.4094
8,1.00e-03,1.2302,0.5716,1.3955,0.5069,0.5132,0.5069,0.4878
9,1.00e-03,1.2011,0.5812,1.4988,0.4704,0.5272,0.4704,0.4419
10,1.00e-03,1.1817,0.5878,1.6108,0.4325,0.5077,0.4325,0.4029
11,1.00e-03,1.1618,0.5961,1.3595,0.5185,0.5491,0.5185,0.4902
12,1.00e-03,1.1433,0.6021,1.4374,0.5011,0.5501,0.5011,0.4729
13,1.00e-03,1.1280,0.6056,1.4497,0.4910,0.5485,0.4910,0.4567
14,1.00e-03,1.1156,0.6101,1.5146,0.4910,0.5445,0.4910,0.4569
15,1.00e-03,1.1039,0.6153,1.3244,0.5327,0.5676,0.5327,0.5038
16,1.00e-03,1.0942,0.6177,1.4267,0.5208,0.5286,0.5208,0.4964
17,1.00e-03,1.0834,0.6221,1.4061,0.5209,0.5438,0.5209,0.4962
18,1.00e-03,1.0756,0.6245,1.3101,0.5371,0.5535,0.5371,0.5118
19,1.00e-03,1.0642,0.6280,1.2978,0.5334,0.5633,0.5334,0.5170
20,1.00e-03,1.0562,0.6307,1.2861,0.5441,0.5810,0.5441,0.5216
21,1.00e-03,1.0460,0.6347,1.3268,0.5362,0.5543,0.5362,0.5133
22,1.00e-03,1.0427,0.6365,1.3096,0.5447,0.5727,0.5447,0.5289
23,1.00e-03,1.0311,0.6395,1.3439,0.5270,0.5583,0.5270,0.4993
24,1.00e-03,1.0260,0.6415,1.2789,0.5513,0.5675,0.5513,0.5335
25,1.00e-03,1.0192,0.6448,1.3284,0.5300,0.5646,0.5300,0.5088
26,1.00e-03,1.0123,0.6466,1.3211,0.5466,0.5638,0.5466,0.5332
27,1.00e-03,1.0095,0.6478,1.5936,0.4911,0.5642,0.4911,0.4552
28,1.00e-03,1.0035,0.6497,1.3317,0.5394,0.5754,0.5394,0.5199
29,5.00e-04,0.9633,0.6630,1.2701,0.5618,0.5821,0.5618,0.5489
30,5.00e-04,0.9544,0.6664,1.3152,0.5535,0.5748,0.5535,0.5333
